page 2	社評東條組閣
page 3	日本軍人正面出場東條英機受命組閣海陸軍巨頭分別舉行談話
page 3	受命組閣之東條英機
page 3	遵守三國協定侵略政策不變
page 3	倫敦評論近衛辭職係軍部極端派促成
page 3	倫敦日證券跌價滬市場亦受波動
page 3	泥足無翼
page 3	日將南侵倫敦泰晤士報發出嚴重警告
page 3	泰人準備隨時應變曼谷電台發出警告
page 3	參政會駐委會孔部長報告財政收支
page 3	白宮召集會議商討遠東局勢美議員主張先解除日本武裝
page 3	美觀察日新閣更具有侵略性
page 3	陪都各報評論近衛辭職原因
page 3	日政局混沌軍部與文治派明爭暗鬥近衛下台一般不覺驚奇
page 3	柏林羅馬保持緘默
page 3	美軍事團擬赴前方一行
page 3	檢討太平洋防務英澳舉行會議遠東聯軍地位大見增強
page 3	格拉第返抵舊金山
page 3	德夫古柏飛抵仰光
page 3	倪邁雅談話願助中國發展經濟
page 4	蘇聯傳已遷都政府機關移往加善莫斯科全部要塞化
page 4	兩軍鏖戰激烈德軍前進已漸形弛緩
page 4	蘇軍英勇無匹決不輕易放棄莫斯科
page 4	美驅逐艦又被魚雷襲擊在冰島以西三百餘哩
page 4	弗蘭德之役經有過情形發表證明必須縝密準備對德不能倉卒進攻
page 4	論德國民族性一
page 4	挪南德軍作軍事準備提防英軍進攻
page 4	美將在巴拿馬設空軍根據地雙方談判已重新展開
page 4	美潛艇兩艘將轉讓予英
page 4	我軍的敵後轉進控制鄂中交通線沙市殘敵傷亡極慘重
page 4	軍委會發表一週戰況十月十日至十六日
page 4	甘茂林等被拘砲壘中靜候最後審判
page 4	羅斯福總統抵海德公園度週末休假
page 4	古巴外長柯蒂那頌揚我偉大贊成推行一碗飯運動
page 4	納粹榨取荷人強迫認購公債荷民眾奮起打擊內奸
page 4	無獨有偶
page 5	今日國軍兩路開出東方布陣戰九龍南華在銅鑼灣畔對水兵工程米杜息分戰警察香港會
page 5	加山麓九龍逢東方
page 5	論明天兩戰
page 5	罌花節足球義演港聯人選產生下月十一日在愉園對陸軍聯總會函滬派隊來港作埠際賽
page 5	落花繽紛集
page 5	銀牌籃球賽星島勝僑星
page 5	居聯冬泳團定期練習明日旅行鑽石谷
page 5	感應篇懶才太懶失眾望對抗約瑟要當心
page 5	籃球友誼賽康元勝本報
page 5	千五百公尺泳打開新局面劉帝炳造成廿二分三十秒四五十公尺泳高妙玲第一
page 5	鐘聲水藝會秩序豐富
page 6	日政潮下日僑集會各日商店多已歇業留港日僑剩百九十餘人
page 6	劉美美陳永安夫人雙雙出庭作供昨晨開審時旁聽者擁擠都要一睹兩女士之丰采
page 6	港府澄清吏治設懲治貪污局但輔政司表示未有所聞警方先設立懲治貪污部
page 6	陳永安夫人
page 6	我外交法律耆宿羅文幹在樂昌逝世因虐病致疾數日即不起羅氏弟長女昨飛韶奔喪
page 6	滬籍舞女引賊劫掠同居女子因染鴉片煙癖結識匪黨法綱難逃終被拘獲判罪
page 6	南開校友盛大慶祝校慶
page 6	入境事務局便利領證者採用函件通知辦法
page 6	廣州灣傳禁牲口輸出當局邀牲口商談話豬牛羊肉商對記者談最近港牲口供應情形
page 6	香港大學增設經濟講座黃菩生任教授
page 6	明日魯迅忌辰文藝界紀念
page 6	淺水灣巨竊案昨日判決劫匪判入獄一年
page 6	港軍事當局招募華人步兵第一批五十名訓練伍長大批印軍陸續調港增防
page 7	馬來亞軍力雄厚決抵抗任何侵略潘錫福發表嚴正談話將注意敵跳傘兵侵襲
page 7	一年以來續四十懷感之作
page 7	粵省企業公司設遂溪辦事處並在南路設立土製紙廠粵明年度施政計劃正草擬中
page 7	馬來亞鑛產完全停止輸日日人鑛場大部已停工
page 7	柳州火災損失甚重波及華星戲院擠死觀眾兩人
page 7	張迦陵談威寧草海可為西南農礦中心勘測工作現已竣事
page 7	韶興公路運輸業衰落
page 7	貴陽一週
page 7	曲江人口逾二十二萬名
page 7	粵各地響應獻機運動如每人獻金一元可購戰機一百架
page 7	申匯市況微趨鬆弛英匯美匯依然靜寂
page 7	股票市況呆滯昨日成立五萬餘元
