page 2	歐戰中的西班牙
page 3	蔣委員長發表談話相信各友邦將合作制止侵略蘇聯始終熱烈同情我國抗戰
page 3	美對華藥物救濟數量將增加貝克日內由昆赴渝
page 3	日機一再窺滇在蒙自附近墮落一架
page 3	後宮淳赴越巡視本間任台灣司令　
page 3	陳儀談閩政
page 3	余漢謀氏報告最近粵省軍政我軍養精蓄銳准備完密鹽糧調節統制亦有進步
page 3	沙魚涌韶關間交通漸復常態
page 3	冀民軍眷屬步行抵陝西安各界熱烈慰勞
page 3	平空氣緊張交通斷絕城門緊閉傳附日軍已有舉行
page 3	西安創設軍人食堂發起軍人集團結婚
page 3	滬租界學校汪組織企圖干涉
page 3	日政局之動盪海陸相忽稱支持現閣聲斥陰謀Ｘ者
page 3	中美文協電謝美總統此次貸款意義重大合作禦暴大有裨益
page 3	襄河之役赫赫戰功殘滅日軍逾萬湘北鄂南我軍又獲勝
page 3	以倫理基礎建立東亞新秩序日汪協定之明文與密件第一論
page 3	寧波鼠疫完全撲滅
page 3	日機一架跌落朝鮮軍官四名畢命
page 3	滬西被封鎖範圍愈擴大
page 3	倫敦泰晤士報評論英美立場始終堅定
page 3	美參院外委會主席主張美應盡力援華
page 4	希軍勢如破竹向阿首都推進義軍不支全線退卻中奧列德湖畔陳屍遍野
page 4	蘇桑普頓城遭德機濫炸兇殺為開戰來僅見
page 4	墨新總統統就職發表演說列舉六點政綱美墨關係今後可望好轉
page 4	德義的宣傳美國將向英要求在加設走廊
page 4	泰越戰機危迫湄公河沿岸泰軍雲集雙方陸空軍繼續報復
page 4	義國實行計口授糧
page 4	荷印獻機為邱吉爾祝壽
page 4	德參謀總長赴羅馬尼亞協助解決鐵衛軍之糾紛羅總理播廣向匈提警告
page 4	史托克發表美國新海軍計劃完成世界無匹
page 4	澳駐日公使由菲來港轉日
page 4	日越談判主要為經濟須磨如此表示
page 4	美駐英大使甘納第辭職
page 4	南攝政廣播保守中立政策
page 4	美輪被扣事已對日兩度抗議
page 4	印人百名被捕下獄
page 4	蔣委員長談話
page 4	美在加設走廊
page 4	德國閃電外交暫時又趨沉寂
page 4	論日汪條約本港英文南華早報二日社評
page 4	四十種小機械美又將禁運日本想買人家卻不賣了
page 4	阿爾巴尼亞形勢簡圖
