page 2	怎樣培養法幣的根基
page 3	桐柏山兩麓鏖戰中日軍仍圖冒險西犯我外翼大軍正向其側背猛攻 
page 3	粵行政會議已圓滿閉幕通過議案八十餘件
page 3	桂省學生軍作戰成績甚佳現奉命作全部整編並將追悼陣亡團員
page 3	五原戰役中綏西女同胞義勇可嘉抬送傷兵不辭勞苦傳副長官特予獎勵
page 3	調查西北經濟西北經濟研究所在蘭州設辦事處
page 3	桂省防瘧特劃防瘧實驗區
page 3	廣東省銀行信託部照常營業
page 3	邵力子大使旬日後赴蘇就任
page 3	渝市新聞界同業公祭李劉兩同志
page 3	日機襲滇在昆明郊外投彈
page 3	農林部將成立內部組織及人選已決定陳部長將發表整頓計劃 
page 3	滇緬邊境將設中學中英庚款委會派員赴滇接洽
page 3	上海各界紀念五九
page 3	南僑慰勞團第二團抵湘
page 3	討汪之聲
page 3	滬特二法院戒備突加嚴傳重要人員曾受到恐嚇一棉紗商在滬西被綁架
page 3	山雨欲來的巴爾幹一
page 3	川經濟建設蔣兼主席核定綱要
page 4	張伯倫晉謁英王內閣或將改組工黨堅決拒絕入閣
page 4	美德義瑞各報注意辯論情形
page 4	英振華會在倫敦舉行年會費利浦發表演說
page 4	荷空氣稍弛目前尚無被侵象徵荷軍隊達六十萬人 
page 4	賽雅將繼續會見美駐遠東各代表
page 4	保護荷印美國具有決心政府贊同艦隊留守夏威夷小磯又放出南侵論調
page 4	英蘇商約問題迄無進步徵象蘇大使曾訪英外相英仍堅持原有立場
page 4	德軍企圖固守那維克軍隊器械大批北運德軍掌握挪瑞鐵路
page 4	挪外長等飛抵巴黎
page 4	東京物價續趨高漲
page 4	美各州初選中民主黨佔優勢共和黨首領藍登頗活動
page 4	鄂北大戰
page 4	英國政情 
page 4	邱吉爾答辯
page 4	英眾院賡續辯論挪威戰局問題路易喬治勸首相辭職邱吉爾承認空軍軟弱 
page 4	英首相答辭
page 4	賀爾之演講
page 4	達爾頓質問
page 4	路易喬治言
page 4	墨索里尼演講仍採不參戰政策對歐戰態度將守緘默美否認曾向義作和平試探
page 5	增從線我軍揚威東江各縣遭狂炸
page 5	滬金融劇變中市場呈混亂日商自食其果遭遇打擊物價狂漲生活益難
page 5	投機家的尾巴
page 5	市場千變萬化
page 5	日艦艇虛張聲勢竄擾鶴山邊境我游擊隊夜襲江門南岸白蕉河面日艦又劫貨艇
page 5	物價劇烈昇騰
page 5	僑教函授學校報名參加踴躍僑務委員會決以全力推進
page 5	日人在海口偽造法幣我已嚴加防範
page 5	西康日記八七
page 5	日方作繭自縛
page 6	節約建國儲蓄運動會港分會今日成立總會函聘宋漢章郭泉等為理事節建儲券在本港發售成績甚佳
page 6	顏惠慶講演環遊世界之觀感印度領袖關切中印邦交美國報紙常見孔子日
page 6	梁謙武之支票等警探昨晨繳收鹽業銀行經理昨被傳訊稽核梁氏所得善款數目
page 6	皮膚病專藥源豐行等大批運到 
page 6	四十年來之中國出版界上王雲五昨晚在本港播音台講演
page 6	遼吉黑熱東北四省省府改組旅港同鄉準備慶祝
page 6	歐戰爆發
page 6	精誠團結 
page 6	遠東戰事
page 6	亦至冒險 
page 6	嚴重抨擊
page 6	優異成績
page 6	對日禁運
page 6	同情中國
page 6	一無所得 
page 7	各足球隊籌備南遊最近進行動態東方為加強實力決計借兵星島異軍突起擬征馬來亞
page 7	馬來亞足球埠際賽本月底爆發
page 7	全馬二屆游泳賽顏清源出色四百公尺泳創新紀錄粵僑會榮獲團體冠軍
page 7	女籃義賽培道再逢思思隊
page 7	新嘉坡各華校聯合運動會男女四十一校選手六百人成績比去年進步
page 7	優異成績
page 7	港圓外匯牌價續縮美匯趨緊申匯好轉
page 7	股票市仍靜寂人心不寧買賣清淡
page 7	八九金市復形堅挺價較上日再略上漲
page 7	滬匯市穩定國幣續漲最高價到達二三○
page 7	學界高級排球西南贏仗三比一敗皇仁
page 7	南華籃球隊退出林中煖發表意見 
page 7	競賽情形
