page 1	"社評選戰中的美國經濟與政治"
page 2	"經濟改革如箭在弦政院延緩討論再加考慮張群昨抵京宋子文今晨前往上海市場在期待中醞釀漲風"
page 2	"討論國營事業概算立院三委會開聯席會決定分四個小組初步審查財金委會草擬財產稅施行條例"
page 2	"北平通信像血一樣的油下"
page 2	"監察院各委會十日開始工作"
page 2	"在各方指摘下國代一番辯白設戡建會是政府的意思要求歲費為了打擊立委"
page 2	"國民黨即開革新會上次座談會文件呈總統有人主張公布黨的財產"
page 2	"傳馮玉祥離美或將到香港來"
page 2	"公務員命運悲慘青浦一科員叫幼子去乞食妻和長子到鄉下檢柴拾荒"
page 2	"又是一種謠言蘇大使館否認"
page 2	"鐵路運費調整辦法業已決定"
page 2	"全經會辦理結束"
page 2	"實施農村復興計劃有待中美委會決策傳晏陽初將出任主委"
page 2	"司徒飛青島萊普漢赴滬"
page 2	"民航隊飛機運鈔票走私經海關查出後扣留"
page 2	"陳誠即赴台休養"
page 2	"平學生代表抵滬即晉京向當局請願希望解決七五事件平各校空氣又見緊張"
page 2	"出版法不必要人民言論自由不容剝削本報滬館座談會的結論"
page 2	"回胞開齋"
page 2	"士兵發神經病槍殺路人三名結果被圍捕擊斃事情發生在高雄"
page 2	"豫北水災嚴重四十萬人無家可歸"
page 2	"今年棉減產水災與戰事影響都大新棉將上市棉商籌資金"
page 2	"義人告絲一批以易貨方式輸入"
page 2	"國軍進入襄陽南漳濟南外圍風雲緊急"
page 2	"林可勝即返國在美曾購軍用醫藥用品"
page 2	"紡建公司津青廠缺乏原棉苦撐中津廠每週只開工三天唯一希望是美棉濟急"
page 2	"石油增產玉門油礦產量打破紀錄"
page 2	"勸募救濟特捐天津成績最佳"
page 2	"國疆勘測隊昨自昆飛京"
page 3	"美總選期近兩黨鬥爭短兵相接杜魯門指共和黨捏造間諜案說國會誣蔑政府官員的聲譽"
page 3	"反通貨膨脹美眾院通過修正案與杜魯門所提面目全非"
page 3	"美共產黨的方向組織部長主張積極建黨指出戰後增加黨員一萬"
page 3	"仰光通信緬甸兩年經濟計劃上"
page 3	"美貸款聯合國眾院通過六千萬撥款"
page 3	"賴伊也是共產黨美議員史密斯硬說他是理由是史達林不反對他"
page 3	"緬共襲巴仙港據說搶走食米五萬噸"
page 3	"爭多瑙河航權美也提出公約草案主張在聯合國下組管制委會"
page 3	"四強似皆有意重商德局條件談妥後外長即開會傳史達林曾提出具體建議三使節將晤蘇外長再會談"
page 3	"西德組府決不延遲英外交部重申立場華府觀察家的看法不同"
page 3	"日本對外貿易數量今年可望增加一倍"
page 3	"中日貿易不夠興旺日人要我多運煤鐵永井說日有大量消費品可運華"
page 3	"無名氏搶劫無名英雄墓電影迷嚇怕電影大明星"
page 3	"我以大批貨物運日償還債務"
page 3	"人工受孕術英大主教認為可行"
page 3	"廣島敲響和平鍾紀念挨炸三週年"
page 3	"以色列盼和平願與阿人談判"
page 3	"日二三流戰犯明春可望審完"
page 4	"英屬東南亞首長會議港督昨飛星洲參加傳將討論有關亞洲問題麥道高暫署理總督職務"
page 4	"旅業代表今謁限價委員陳述業務情形決定成立搜集整理兩股限期店號填報有關資料"
page 4	"戰時房租法案擬好業主不得向住客追討房租已繳了房租的亦不得索還"
page 4	"中華戲院建築完成"
page 4	"寇維控告港府案高庭昨繼續審訊"
page 4	"張維翰日前由京來港醫腸胃病即將赴昆主持監委行署"
page 4	"為防癆而工作港府徵求女性六人去訪問病人及宣傳"
page 4	"請求放寬管理條例燒烤業第四次遞呈"
page 4	"德士古工潮勞方代表昨謁鶴健士鶴氏表示願設法調解"
page 4	"國貨展覽積極籌備各部人員全部決定第一次會議十二日召開"
page 4	"殖民地展拓公司新設立六個分行"
page 4	"太平戲院附近昨有汽車傷人"
page 4	"電話按金增多三倍僑商認為數目太多假如有電話用戶二萬個就有三百萬港幣要凍結"
page 4	"六五老人服毒自殺"
page 4	"軍塢工人恩恤金增加"
page 4	"裁縫師被裁投報勞工司"
page 4	"新屋還未入伙忽然倒塌傷人"
page 4	"電車票舞弊案初審被告有站長稽查等十六人首被告獲釋但要供出案情"
page 4	"乘船過海莫貪財一婦人在船上參加賭博人聲亂嚷下便丟光了錢"
page 4	"死者是誰橫坑山邊發現一男屍當局疑是被人謀殺的"
page 4	"藉詞騙款鄧四判獄十三月"
page 4	"警察無意中截獲手槍跟蹤跴緝復破一劫案"
page 4	"澳門小姐案報告書已送交港督下星期三或將發表"
page 4	"西邊街昨晨失火焚毀貧民寮屋卄多間災民六七十情況甚慘"
page 4	"濫載又不聽令一電扒主人被罰款"
page 4	"邱漢中私設電台昨被判入獄一年"
page 4	"新銀行一家定下週開業"
page 4	"陳受頤定今天赴美"
page 4	"招商局撥輪行走港滬線"
page 5	"穗市結匯證價提高外匯牌價再告調整央行昨向指定銀行收購結匯證總價超 過黑市價"
page 5	"美匯盤昇金市反降定金謠言復熾買氣盛旺多頭散戶均採觀望態度"
page 5	"總統府一日明令公布海關進口稅則四"
page 5	"內匯全面下跌申匯昨再創新低價現鈔期鈔價趨疲軟"
page 5	"黃金市場晨起晚退"
page 5	"菲島金市創新高價"
page 5	"傳英提高五金價每噸貨增加二十四司令美商在港搜購舊鐵不確"
page 5	"滬物價續昇穗百貨平穩汕金鈔物疲桂林糧食漲"
page 5	"股市平穩成交五○餘萬元"
page 5	"紗布換印棉辦法美巴棉均可適用將產量百分之二十由各廠商直接交換"
page 5	"英機車出口六月份二萬輛"
page 5	"新貨陸續湧到鴨路襯衫落價每件售價二十二元"
page 5	"台幣匯率今起提高一比一四一二元"
page 5	"穗票據交換總計七月份萬三千餘張總計四十三萬餘億"
page 5	"實業金融第二期業已出版"
page 6	"我籃球隊勝伊拉克得分創造最高紀錄比利時隊贏了菲律賓我進入決賽希望轉濃"
page 6	"足球賽南斯拉夫勝土耳其"
page 6	"女百公尺仰泳海樂普得冠軍一分十四秒創新紀錄"
page 6	"捷克籃球隊三次得手長勝軍巴西又勝義國"
page 6	"下屆世運大會項目可能增加"
page 6	"遠征日記六"
page 6	"四百公尺決賽結果牙買加選手分得冠亞軍"
page 6	"二百俯泳半決賽美國選手破紀錄十項運動阿根廷佔先"
page 6	"三位美人魚險些遭意外"
page 6	"三千公尺障礙跑瑞典包辦頭三名"
page 6	"香港體育消息公開籃球秩序新編今晚乙組比賽三場"
page 6	"港九小球聯隊昨天賽成和局"
page 6	"湛光杯賽今天開火"
page 6	"世運決賽四十八項"
page 6	"世運會收入破以往紀錄"
page 7	"電信建設一項收穫長途話綱初步完成建築五大幹線縱橫全省廣州為中心分別以有無線聯絡"
page 7	"自衛特捐全省都要徵了在各項稅收下附加徵收"
page 7	"幕僚業務檢討會廣州綏署昨天召開今明兩天繼續舉行"
page 7	"汕議員半數離境副議長否認被脅迫潮安轉業軍官罵陳述經汕頭刑警隊長駁林議員"
page 7	"參議員到不齊大會延期舉行"
page 7	"田賦人員救濟辦法田糧處決定三項捐款收到六億多"
page 7	"民社黨一黨員被控搶割田禾"
page 7	"假造房契借款廳長太太失財"
page 7	"穗市請減田賦政院還沒答覆"
page 7	"穗市民負擔加重市 府在調整稅收決定不裁員只好增稅"
page 7	"穗輪姦案破獲正兇是一工頭另一兇手被捕後供出"
page 7	"海南鑛局購買日貨"
page 7	"徵求通信朋友"
page 7	"美金債款"
page 7	"颱風吹到博羅時塌屋斃人損失重風災過後接着又鬧水災早造收成全部都被毀了"
page 7	"惠陽大風雨民船二十餘艘沉沒米價漲到四千多萬"
page 7	"買壯丁請律師在汕頭都要米"
page 7	"小童要求分贓竟被小偷活埋廣州德泥路涌邊慘劇"
page 7	"鐵路昨起加價廣武頭等票五千九百餘萬穗韶三等票四百二十二萬"
page 7	"悼葛雷菲斯一個偉大的導演"
