page 2	社評揭露亡國的和平條件日閥的毒辣汪兆銘的萬惡
page 3	高宗武陶希聖携港發表汪兆銘賣國條件全文集日閥多年夢想之大成極中外歷史賣國之罪惡從現在賣到將來從物資賣到思想
page 3	另一賣國文件
page 3	高宗武陶希望致汪等電日本滅亡中國之企圖在道義上不能不宣布
page 3	上海雪後大寒二日內凍斃二百餘人兩租界當局辦理平糶
page 3	汪兆銘行蹤詭秘莫測
page 3	夫妻雙烈李輝南以身殉國其妻亦以身殉夫
page 3	廣州日軍繼續捕人銀錢業被捕百餘人十人被殺餘均在押
page 3	李主席謙讓可風荐鄧自代所兼軍職但未邀蔣委長核准
page 3	渝市各界追悼吳佩孚
page 3	陳誠李濟深視察江南戰區過桂返渝報告
page 4	畢德門發表談話禁運案可通過美日談話繼續無期
page 4	土保羅南商組巴爾幹和平集團義國向德諮詢對蘇態度德軍開入波蘭蘇佔領區
page 4	波鋼琴聖手痛祖國之淪亡決起從事復國
page 4	瑞典破獲間諜機關
page 4	桂林各界籌組南路慰勞團經費定六萬五千元
page 4	英外相演說論民主力量意志齊一力必倍增淩弱暴寡勢難苟同
page 4	智日商務談判日垂涎智利市場
page 4	西線嚴寒兩軍仍活躍雙方空軍不斷出動
page 4	蘇機猛炸芬南部一日內投彈逾千枚房屋被毀四百餘所
page 4	北太平洋海面英艦截查日輸捕去德人多名
page 4	波拉逝世影響美孤立派承繼雖有人實力已削弱
page 4	邱吉爾廣播闡述歐戰現狀英法有充分應付把握勸各中立國團結禦侮
page 4	歐戰通信之五巴黎戰時新年四一九四0年元旦巴黎航運信
page 4	蒙藏會委員長吳忠信抵拉薩藏人歡迎盛况空前
page 4	鄂省本年度施政原則
page 4	威迫利誘德向比提秘密要求
page 4	經濟部謀增加後方棉紗產量本年擬在西北及川康由官商合資設廠紡製
page 4	政府將發行新鑄輔幣
page 4	川當局發動婦女力量深入鄉村宣傳
page 4	高陶的致汪電文
page 4	美日商約即滿期
page 4	綏西守軍有攻受獎
page 4	增城戰事猛烈邕欽線我軍實力雄厚日軍後方展開擊游戰
page 5	增城旦夕可下東江我全線出擊圍攻福和殲滅日軍甚眾
page 5	日偽再犯荷塘受創潰退中山沿海日艦往來窺伺
page 5	馬來亞市場繁榮我國產暢銷去年十一月份統計增加國幣千餘萬元
page 5	何彤書勉地方吏民切實興利除弊熱裂抗戰工作
page 5	灣仔鄉大火被焚店戶十餘家損失約值十萬元
page 5	荷屬東印度軍事演習本月卄四日開始
page 5	西康日記四七
page 5	罪惡的滬西曹家渡盜賊如毛愚園路烟賭風行
page 6	本港織造業不振小規模織造廠百家歇業紗價增高銷路又受影響
page 6	港府利用囚犯從事建設工作計劃第一步填築近東灣港督贊同來月可望實現
page 6	本港電話機求過於供轉讓費三四百元投機者從中取利
page 6	學生賑濟會歡送赴渝獻劍代表
page 6	皇家重砲隊第八族長官昨佈告祇准部下現款購物
page 6	寶血醫院分院前日落成地方寬闊並可造就護士大房兩座貧者免費收容
page 6	聖約翰救傷隊周年比賽香港青年會冠軍
page 6	閒話米價
page 6	學界消息
page 6	對教聯會呈文教育當局即可批覆該會昨再推代表謁當局
page 6	女青年會女生國語比賽伍啓芳司徒日眉梁美鳳獲獎
page 6	太平劇團小散班大減座價
page 6	中華牙科會昨舉行開幕禮
page 7	旭和杯一幕激戰南華痛擊海軍五比二德輝四喜連呈
page 7	跑的藝術姿勢和勁力福賢譯
page 7	甲組聯賽最近形勢
page 7	記者足球義賽定月底擧行華聯出戰征滬埠際隊記者陸運會同日開幕
page 7	男女籃球義演廿四晚在中青
page 7	緊急小組委會今夜開庭研訊犯規球員
page 7	麗華杯賽中華隊定今夜選人
page 7	本港股市票市場去年度變動激烈因受戰局影響股價多告低落
page 9	汪兆銘賣國實據十九方銅版揭露了全貌
