page 2	社評論物價與匯價
page 3	防止日本孤注一擲民主國應加緊團結英報主張中蘇英美實行聯防
page 3	日不敢昌險欲向何方蠢動均不可能端納田伯烈兩氏過檀島談話
page 3	日本又造謠中蘇均予否認
page 3	日本強自鎮定武田大言不慚謂日本未筋疲力竭謂日本不懼被包圍
page 3	荷印日僑繼續撤退
page 3	日代管島設防情形美國海軍已有所知
page 3	東條又一兼差任所謂翼贊會總裁
page 3	滬生活愈困難日用必需品飛漲不已進口商人籌統制物價
page 3	美水兵被狙擊案兇手證明係日人北平美使館發表聲明
page 3	川人口普查計為四千六百餘萬
page 3	孤立派極力反對武裝商輪案倪氏與拉福勒發言
page 3	飢餓線下的巴黎六七月十日巴黎特約通信
page 3	晉西戰事激烈河津一帶敵勢已頓挫我圍殲合肥西北殘敵
page 3	紐約國際勞工大會中英代表發表演說
page 3	滬英美當局重申撤僑令無居留必要者應速他往
page 3	國難方殷領袖避壽
page 3	全國電政會議下月一日起在陪都開幕
page 3	澳特別代表派治抵英京
page 3	郵資加價後月可增收六百萬元
page 3	土地陳報定明年底完成
page 3	滬夏季時間明日起撤消
page 3	湘中等教育有長足進展
page 3	林主度接見倪邁雅
page 3	澳使艾格斯頓拜會郭外長孔副院長茶會招待
page 3	黔肅清煙毒訂定檢舉煙民辦法
page 4	倫敦方面觀察蘇德戰局轉穩蘇方公布退出卡科夫
page 4	美日開戰時合眾社遠東問題專文
page 4	英機炸義國北非兩港口亦被炸
page 4	美新式貨輪轉讓與英國
page 4	擊沉德國潛艇美將不予公布諾克斯對記者談稱
page 4	歐洲淪陷區德無法統治生產低落糧食恐慌破壞暴動時有所聞
page 4	冒艱難闢時代兮惟民族領袖是謳英學校作歌對首相致敬
page 4	美軍事代表團將赴伊拉克研究近東交通系統加緊英蘇伊朗聯擊
page 4	達拉第等六人被判囚於古堡貝當曾將判決經過廣播
page 4	土耳其建國十八週年紀念土總統重申守土決心英王電賀措辭極懇切
page 4	美總統會見李維斯和解煤礦工潮眾認此係最後機會
page 4	納粹殘暴成性歐人水深火熱貝沙拉比亞猶人三分一遇害波蘭工人六千被機關槍掃斃
page 4	英勞工領袖致函蘇大使表示英國援蘇全國意見一致
page 4	本位努力
page 5	全國郵資加價明日起開始實行郵局公布各類郵資表
page 5	中國合作農貸的當前問題
page 5	大亞灣敵軍在水頭登陸被我團隊殲滅數十名敵再增援尚在激戰中
page 5	月夜炸宜昌
page 5	抗戰中之山東沈鴻烈向魯省同鄉報告蔣委員長召宴垂詢甚詳
page 5	粵航建分會發起每縣獻機一架曲江勸募宣傳週即將開始
page 5	湘桂鐵路柳江來賓段定明日通車
page 5	廣州敵軍蠢蠢欲動我各路大軍戒備中
page 5	袁部夜襲乾霧南山
page 6	參政會開幕期近中全會將略展期留港中委參政員紛準備赴渝
page 6	紀祐穆大使過港返渝曾晤港督楊幕琦
page 6	金卑路續供述炸藥枕木買賣審委會對金氏擅加工資認為非法有礙港府財政
page 6	港貿易尚暢旺九個月內數字不減戰前較去年同期減千分之四
page 6	水務局長布告今日開始制水由下午十時至翌晨五時各區水喉均停供給用水
page 6	青年記者學會昨開四屆會員大會選出第四屆理事監事請保障抗戰新聞事業
page 6	港大醫藥賑濟會今晚開音樂會港中外音樂家多人參加鐵流歌詠團唱中國名曲
page 6	第一次大戰停戰紀念港府公佈紀念辦法
page 6	韓志成演講朝鮮復國運動痛述韓國建國淪亡經過及在我抗戰中活動情形
page 7	罌花節足球義演記者戰陣產生十一人中有七人係星島健將光華對球證不滿案繼續討論
page 7	粵訪在桂得利排足球奏凱歌
page 7	網球慈善賽開籌委會議定下星期一在嘉山南華場館賽務股今晚開會
page 7	七七杯賽有十四隊參加
page 7	學界籃球賽保羅挫資師
page 7	澳門校際籃球賽培正智破南聯四十七比廿二戰事激烈知用中聯亦勝仗
page 7	鐵城杯籃球戰星島逢戰民大下午八時一刻在青支場頭場新青對華僑
page 7	甲組聯賽形勢
page 7	天曉得南華視察專員被足球部彈劾
page 7	申匯黑市再度鬆弛英匯美匯仍乏生氣
page 7	滬標金價再度大漲
page 7	股票依然不振買賣寥落價格尚稱穩定昨成交總值僅三萬餘元
page 7	國幣猛跌
