page 2	社評日本對蘇漸感不耐
page 3	烏克蘭形勢漸好轉德軍被阻尼勃爾河中路紅軍反攻克復據點九處
page 3	俄底沙孤軍奮鬥德羅軍隊離城僅九哩尼勃爾西岸戰事未停
page 3	莫斯科一切如常絕未受空襲影響
page 3	英軍事專家論蘇德戰局納粹將作孤注一擲
page 3	日本南進與北進申論
page 3	荷印僑胞捐款救國蔣委員長復電獎勉
page 3	德國軍紀敗壞時有士兵逃亡
page 3	阿根延逮捕德人因犯陰謀活動罪
page 3	不堪回首蘇德協定締訂甫兩年已被希特勒撕為碎片
page 3	救護前線傷兵製定獎賞辦法
page 3	德電台廣播首次被擾亂插入反德演說
page 3	伊朗局勢仍緊伊對英雖作若干讓步但納粹陰謀未嘗放鬆
page 3	李國欽已在返國途中將任某項要職
page 3	蘇向美續定購軍火準備長期抗戰美以飛機運坦克赴蘇
page 3	消費品六項專賣各設國營公司總收益可達二十萬萬元
page 3	全國慰勞總會加緊推動優待抗屬工作決以陪都為示範區
page 3	粵省財政整理前途光明樂觀
page 4	野村訪晤赫爾互申立場未得結論日軍十萬開往東北
page 4	美國援華貨物緬徵過境稅英美皆望能予取消因與援華目的不符
page 4	英國向美要求供給油船百艘
page 4	美政府接管罷工船公司建艦工程即可恢復
page 4	美專家擬就計劃增強滇緬路運輸報告書內容共分六項已呈送最高當局審核
page 4	美當局收購國內生絲以調節市場供應
page 4	坎特公爵訪美總統過紐約時曾備受歡迎
page 4	日本南進與北進申論
page 4	首批德俘虜已運抵澳洲
page 4	納粹軍之內腐駐挪德軍紛紛逃亡
page 4	旅滬英人助英戰費
page 4	日佔越南後的南洋一
page 4	法前內長被人謀殺
page 4	日本論客責近衛無能內政外交無往而不敗
page 4	巴黎掀起反德怒潮納粹施用酷刑圖加壓制維希無恥竟助納粹捕人
page 4	西江下游復原勢態廣州敵機數十架飛汕鄂南敵侵擾遭我夾擊
page 4	西貢自由法人反對對日屈服
page 4	平沼騏一郎槍傷漸恢復
page 4	阿根廷購義輪美國表示贊同
page 4	滬西區市民拒收偽手紙
page 4	美紅會藥品大批運華另有米麥運至港滬
page 4	眼光要放遠一點
page 4	何異對牛彈琴
page 4	虹口及滬西被敵偽封鎖
page 4	孤島一巨劫銀樓金條被劫損失二十餘萬
page 5	西江敵軍續增犯舊三水受重創我軍趕援圍殲戰事猛烈展開蘆西線我出擊楊梅爭奪甚烈
page 5	粵省教廳召開訓導會議經過
page 5	中央已決定廢止納金緩役兵役改革案最近可實行程澤潤過桂時發表談話
page 5	粵管理糧食劃分四大區
page 5	中大將考選港大公費生
page 5	貴陽動態
page 5	韶關拘捕可疑游民警備部澈底疏散物資
page 5	韶關全市交通工具最近調查統計
page 5	我國合作事業的演進三
page 6	福克斯陳光甫二氏昨晚由渝飛抵港平準會全部代表集此間料基金之運用即可開始
page 6	陳慶雲對記者談獻機與航空建設本港工商學界準備發動擴大全港一元獻機運動
page 6	歐亞公司昨派機試航港韶空線李景樅親乘機往返視察結果滿意日內正式開航
page 6	港禁鐵料出口鐵市況呆滯港存鐵料充足可供一年之用
page 6	醫務當局昨舉行戰時救護演習動員救護人員三千餘人演習成績良好秩序井然
page 6	冬季時間由十月起時鍾將撥遲半小時
page 6	本月份港天氣炎熱異常連熱十三日
page 6	失學學生六人獲津貼旅費津貼學費組下月決定
page 6	港存貯罐頭伙食按照計劃實施現存貨物價逾三十萬元當局隨時派員到店查驗
page 7	全港公開流海泳勵進團出風頭男子尤世坤第一成績三十六三十秒女子南華李寶聯冠軍
page 7	鄭洪年歡迎遠征球員
page 7	籃球員指南續二十一日
page 7	鐵城杯賽今晚兩場對抗
page 7	港澳埠際賽港選手二比一勝澳門
page 7	勵進游泳團迎抗陸軍今晚在中青
page 7	國際棒球大比賽中國勝英國十四比三因兩僅賽五局本週末中美決戰
page 7	夏令籃球賽昨日因雨改期明午將有現場
page 7	慈善賽十八比十六港聯勝美軍
