page 2	不列顛大戰的前瞻
page 3	晉南劇戰攻入晉城邕龍日軍進犯受創
page 3	全國各地舉行秋節勞軍大會
page 3	節約儲蓄積極推行
page 3	滬法租界我孤軍被擊傷多人經過真相法方秘不宣布四行孤軍要求恢復自由
page 3	粵政新階段李主席特發表改革意見希望共同努力迎頭趕上
page 3	嶺南農學院長古桂芬逝世
page 3	中韓聯合戰線韓國光復軍特准組織定月底舉行成立典禮
page 3	重慶警報聲中市民鎮靜奮發日機一去秩序完全恢復
page 3	一禾雙穗滇西兩縣均發現
page 3	上海法院人員決奮鬥到底特一法院法官等均遷住院內
page 3	六學術團體在滇舉行聯合年會宣讀物理論文四十餘篇
page 3	滬法租界郵件檢查被扣達三四百封
page 3	閩各項會考成績發表
page 3	越局仍未明朗滇中央機關奉令撤退昆明居民加緊疏散中
page 3	祭海大典青主席親自主持
page 3	晉南我軍奏捷聲中豫北民眾的奮鬥
page 3	活躍著的民運
page 3	鐵道破壞隊
page 3	法幣還受歡迎
page 3	真正人民武力
page 3	一位蹶腿英雄
page 3	人力的通信網
page 3	屠場變成學堂
page 3	踏進豫北境內
page 3	日本兵怕女人
page 3	晉省各路出擊迭克重要據點
page 4	德機繼續襲英英空軍奏大捷擊落德機百八十五架英機轟炸法國沿海岸
page 4	西參政會主席桑納抵柏林德外長曾予以接見英當局正冷靜注視
page 4	日經濟枯竭人民生活艱苦柏林交易報著文討論危機皆由侵華戰事引起
page 4	北非義軍分路攻埃及亞力山大港與蘇彝士河為義軍進攻之主要目標
page 4	英購機捐款已達五百萬鎊
page 4	羅國委出反蘇外長蘇對保要求表同情羅匈糾紛依然未了結
page 4	義技術工人赴德工作共三百五十人
page 4	威爾基演說過多延醫診視喉部
page 4	德國訓練殖民地人才以備戰事結束後應用
page 4	美加緊執行徵兵案規定徵兵入伍兩月後舉辦各州防軍已開始受訓
page 4	美日懸案無法解決堀內訪韋爾斯氏無結果禁油出口事日抗議無郊
page 4	美火藥廠炸案當局已派員調查
page 4	班克海氏將舉行國葬美總統將親臨行禮
page 4	我準備應變
page 4	美日的關係
page 4	日閣召開臨時閣議
page 4	法社會黨領袖伯魯姆被捕將被控促成法國崩潰罪
page 4	澳洲在太平洋的地位一
page 4	英宮又被投彈
page 4	柏林發出警報
page 5	西南糧產富饒當局注重管理工作盧郁文談調整糧食步驟
page 5	缺糧原因調整辦法
page 5	泰內務部協理演講中泰商務關係歷史證明華僑地位重要並述宜商公司成立要旨
page 5	粵財聽省行不當收入李主席明令取銷
page 5	華僑商業
page 5	邊疆青年赴渝求學蒙藏夷族均多中央特予優待
page 5	西康日記一七二第九編九龍木裏途中
page 5	東江不法挑伕槍決三名某旅店司理被扣留
page 5	泰人商業
page 5	商業史上
page 5	變政以來
page 5	澳門槍殺案林中原死於非命兇手在逃獲嫌疑犯二人東亞酒店發生一自殺案
page 6	港九各僑團籌備慶祝雙十節各團體將聯合開會紀念婦慰會擬舉行餐舞籌振
page 6	僑團紀念
page 6	餐舞籌振
page 6	本港自下月起施行第三期貯糧儲米增至一百三十萬擔足供全港八個月之需要 
page 6	滇越客車十日起暫能通行
page 6	牙科醫師登記者百餘人
page 6	今年秋冬兩季疋頭絨口漲價國產疋頭得乘時活躍歐洲來貨幾完全斷絕
page 6	畫家張善子本月下旬抵港
page 6	霍亂症蔓延驚人又發現六十九宗紅白痢又告流行
page 6	開平司徒氏組織松溪植桐公司開墾西便山荒地數畝資本總額定為十一萬元 
page 6	黃謝聯婚紀盛
page 6	惠陽商會撥款購米運惠平糶並購藥品施救患病災黎平糶處昨派員來港磋商
page 6	試種成功
page 6	事業計劃
page 6	招股辦法
page 6	沙頭角日軍紛紛抽調離境係開往東江增援
page 6	新建拖輪蘭格爾號本週末離港駛菲
page 6	太古新輪漢陽號昨處女航赴華北
page 6	首批回粵義民定十八日離港現著手組織每批五十人以後擬每四日遣送一批
page 6	紫羅蘭歌舞劇團十九晚出演北河戲院
page 6	統考榜示遺漏錯誤補正港招生分處昨接到名單並公布新生應注意事項
page 7	全緬足球選手擬于歲杪來港港方因屆時正值繁忙之際決請客隊改期四五月成行 
page 7	今日足球賽傑志對海軍
page 7	本屆乙組聯賽各華會實力平均細看星島陣容盡是南華舊人東方人馬缺乏恐怕不能成軍
page 7	夏令籃球賽各隊成績初級組功德圓滿高級僑星領前
page 7	港圓外匯牌價續縮英匯黯淡美匯緊靜
page 7	股票市況沉寂成交總值三千餘元
page 7	港越交通復航米市轉形黯淡本港儲米充足不虞缺乏日來價目回降可望續跌
page 7	昨日米行市價調查
page 7	新界穀米亦禁出口
page 7	戰前戰後市價概覽
page 7	鮮魚絕市雪魚暢銷
page 7	應節果物莫不漲價
page 7	米價將有再跌可能
page 7	國幣堅挺
page 7	全港高級乒乓亞軍決賽今晚華聲對孔聖
page 7	鍛鍊身體的科學一
page 7	足球圈內幾個問題人物新主舊人劉顯漢左右為難事齊事楚郭英祺猶豫未決
