page 2	社評斥納粹的新秩序
page 3	日將發動華中攻勢鄂贛一帶戰事轉劇中條日傷亡慘重山仍有戰事
page 3	閩粵日軍愈趨疲困
page 3	綏境蒙政會電領袖致敬並電閻長官表示謝忱
page 3	全國消費品專賣制確定
page 3	節儲郵票定期發行
page 3	我存越貨物被日方搬走
page 3	野村圖誘美締不侵協定赫爾反應極為冷淡
page 3	中英貸欵協定簽字指定在英鎊區域內購買物品
page 3	參政會駐會委員舉行第五次會議討論組新縣制協進會
page 3	法幣與上海
page 3	貿易部部次長之人選日內即可決定
page 3	中蘇航線阿莫段復航
page 3	渝七七月會歡迎俞鴻鈞
page 3	華北反英運動死灰復燃
page 3	桂企業公司即將成立資本四千萬元
page 3	英人赴日護照須由東京核准
page 3	日機竄擾陪都本年首次夜襲投擲強烈性燃燒彈西郊市區多處起火
page 3	後方水利建設進展國際交通河流加緊疏濬全國農田灌溉功效顯著
page 3	衡陽空襲
page 3	滬市府儀器全部被劫走美員抗議無效
page 3	日特別會議討論時局美義駐日大使分別訪晤松岡
page 3	莫洛托夫將訪東京答拜松岡
page 3	荷印態度堅決日本自尋退路謂答復不滿意仍繼續談判美國對荷印始終支撐
page 3	積極開發金礦四行貨款三百萬元組採金局從事工作
page 3	荷印受威脅美礙難漠視
page 4	美國警告維希法如進一步與德合作美國將與法斷絕邦交
page 4	維希對美宣言保持緘默態度魏剛受命保衛敘利亞
page 4	英海陸空軍嚴密監視敘利亞英艦源源開入地中海境內德軍已達五千人
page 4	敘利亞法專員譚志表示決走德國路線
page 4	美國完成襲擊敵艦新法較空中魚雷更為優越
page 4	蘇彝士運河被空襲亞力山大港亦中彈
page 4	德義展開和平攻勢義報謂歐洲有和平可能英美否認魏南返國與和平有關
page 4	史汀生闡明徵用私產意義避免無謂之辯論與遲緩美當局完全統制造船業
page 4	美陸軍部採取新型飛機引擎較諸任何引擎為佳
page 4	裴勃爾演說向人民呼籲採遠大眼光
page 4	美陸軍先戰隊配備充分新式器械將為首批出國軍隊
page 4	美國民踴躍購銷新國防儲蓄公債一月成績已達四萬萬餘元
page 4	下財政年度美陸軍軍費共達九十八萬萬元全力擴充空軍及機械隊
page 4	動脈內閣暫維持現狀改組事各派未能同意
page 4	打退堂鼓
page 4	如何中立
page 4	克里普斯乘機離蘇先赴瑞典京城
page 4	澳洲各黨分子贊成政府主張盡力擁護國防
page 5	江會日軍增援古井梅閣一帶激戰中斗門形勢緊張各鄉積極疏散
page 5	粵省各界舉行六三禁煙紀念李主席致詞闡述禁煙意義晚上火炬巡行並化裝表演
page 5	韶集團結婚定乞巧節舉行
page 5	川東糧食增產加強陪都米源今年全省收成可有極大收穫趙連芳談視察各地印象
page 5	渝消防人員英勇可風兩甲長救火獲獎章
page 5	普寧縣長林淼曾赴韶被扣經過查有包賭侵吞案款嫌疑已解保安部軍法處訊辦
page 5	閩南海盜騎刼商船損失達二百餘萬
page 5	粵改進役政軍區當局發動各校展開暑期兵役宣傳
page 6	羅傑士福克斯等昨日由菲飛抵港我銀行界首要均往歡迎聯合港委員開諮詢會議
page 6	衛生當局宣布取締小販範圍嚴禁售賣熟食及壞果等定五年內肅清食物攤檔
page 6	大厦大學擬在港設分校現進行籌備中
page 6	我進出口附加稅決再展期徵收一年十一種土貨免徵轉口銳計牲畜肉類衣服磁器等
page 6	港貨出口領證滯緩廠商會向當局交涉
page 6	當局昨公布貯魚計劃專買黑䱽紅衫鮫魚賣與私人即屬違法
page 6	李石曾由歐返抵港暢談歐美觀感歐民主國將獲最後勝利美國援英積極無異參戰
page 6	鮮鹹魚價重新釐定
page 6	嶺大擴大招生加設清貧學生獎學金額農院在韶梅桂三地招生
page 6	當局密切注意各種物價高漲現無意 統非主要糧食發現壟斷情形即加制裁
page 6	周壽臣等戰債會委員首先倡導購債教團明日為募債作公禱職業界定今日出發募債
page 6	當局擬在月底舉行防空演習規模甚大延長至七八日
page 7	棒球聯賽開鑼戲港啤戰岷甸奴比賽場址改在九龍漆咸道球場港督羅富國主持開球禮
page 7	南華隊撥威霹靂三比二勝省聯隊
page 7	勃琪的雙打論其三
page 7	中學籃球賽昨因雨改期
page 7	馬埠際足球大戰檳城奏凱歌四比一北部盟主吉礁竟低頭觀眾五千盛況空前
page 7	南華王囿球場暫停開用
page 7	居聯水藝大會昨晚熱烈開場百米背泳沙蕙英破全國紀錄今晚七時起繼續舉行
page 7	學界排球賽皇仁棄權漢中獲勝利
page 7	高級乒乓賽明日開始報名
