page 2	社評討價還價的美日談判
page 3	豫南我軍加緊掃蕩淮河北岸完全肅清中牟殘敵掙扎竟又散放毒氣
page 3	蘇南浙西展開游擊敵偽清鄉夢無從實現甌江口敵企圖登陸不逞
page 3	毛澤東氏廣播盼美國即對德宣戰並與中英共同制日
page 3	敵毒化政策在淪陷區推行無微不至我軍深入敵後鏟除煙苗
page 3	滬工部局積極穩定物價對民食問題作重要決定英美商會亦願盡力合作
page 3	滇緬新界中英已換文確定定明年元旦立椿
page 3	巴拿馬驅逐日商日當局繼續鼓譟
page 3	日方傳出消息美泰結締協定美以軍艦及高射砲供泰
page 3	外匯管理益臻嚴密滬市場微波平息
page 3	戰時法幣對內價值究應如何安穩定二
page 3	殺敵致果徐教官壯烈犧牲
page 3	粵提高行政效率訂定工作檢討法
page 3	中蘇文化協會慶祝蘇聯國慶
page 3	浙省撥款振濟災黎
page 3	如何有效援蘇一
page 3	于院長將返三原
page 3	遠東局勢嚴重紐約市長拉加第亞之表示
page 3	蔣委長代表吳忠信致祭成吉思汗陵寢
page 3	路透社記者視察滇 越邊境印象途中未見日軍有異動滇省沿邊我駐有重兵
page 3	中央訓練團決獻機九架
page 3	國際廣播電台定期對鄰邦作友好廣播
page 3	芳澤赴河內
page 3	馬來亞對日貿易銳減
page 3	傀儡導演人本多將返日
page 4	紅軍大舉反攻莫斯科形勢益穩固南路德軍攻勢亦受挫
page 4	美總統授權霍金斯儘速援助蘇聯充分運用租借法規定美蘇換文發表兩國緊密聯繫
page 4	美海部製就世界最大飛艇能載有大批炸彈
page 4	人類搖籃地將成歐戰重心料將展開決定性戰役
page 4	英機六百架大規模出動柏林目標多被炸中海峽區域亦被掃蕩
page 4	大小涼山考察歸來三十月二十五日在聯大青年學術講座第一講上報告
page 4	英閣改組說又熾裴佛布羅克社為問題中心
page 4	納粹暴動紀念希特勒演說抨擊美蘇譏諷英國侵略者竟高唱自衛
page 4	美感恩節總統發出通告闡明當前任務
page 4	美參院行動無異警告德日英對通過中立法修正案之批評美在冰島設立海軍站
page 4	英議會復會時首相將演講檢討戰局報告生產情形內閣決建立龐大攻歐軍
page 4	美建造工人要求加薪問題尚未解决
page 4	伏羅希洛夫發表激昂演說以無情及血腥之打擊澈底殲滅希特勒黨徒
page 4	自由世界協會定下週在紐約召集大會籲請美總統援助民主國
page 4	美加緊援蘇
page 5	廣西滑翔分會在桂林隆重成立白副總長李主任均蒞場致訓五萬人歡呼青年們到空中去
page 5	中國工程師年會紀三
page 5	蔣委員長誕辰馮玉祥贈詩祝壽
page 5	衡陽大賭案破獲後罰款萬餘元市區內外賭風尚盛熾
page 5	四邑僑胞經廣州灣出入國路線台山到灣全程約七百里沿途安全有護僑站招待
page 5	粵省田賦徵實推行頗順利晚造豐收人民輸將踴躍現已徵得者達十二萬石
page 5	粵加緊募債已收七百萬
page 5	粵推進僑墾省振會先撥經費二百餘萬元繼續招收華僑投資
page 6	防空當局定十四日舉行燈火管制演習特警昨演習管理防空洞
page 6	衛生局對街市攤位維持原來出租辦法公開競投足以消滅偏私
page 6	防空總監史柏堅今日離港赴印港防空工程案審查紀錄裝釘成冊寄英當局審核
page 6	史柏堅
page 6	我政治部舉行全國木刻展覽徵求本港木刻作品參加由港大唐英偉收集彙寄
page 6	嘉年華會明日開幕菲僑組音樂隊參加開幕演奏
page 6	即可簽發護照五日前在港請領護照者港簽證處當仍依次發出
page 6	英遠東情報局長由渝返抵本港曾會晤我中宣部兩部長
page 6	的士工潮仍未解決毆打開工司機港九均有發生
page 6	國產絲輸美日增價格相繼高漲每擔最高達港幣二千元美國絲商在港派人代購
page 6	銀行聯誼會開會員大會四屆職員選出
page 6	中國文協文化講座開課
page 6	港劇人排演北京人導演角色選定
page 7	蘇皇軍頭頭是道南華慘遭殺敗柯路特英勇逾恆一箭得江山國材活潑痛下苦功極有前途
page 7	香港網球大勢寫在蔡惠全義賽之前建議陶毛囡加入表演
page 7	光華銅鑼灣大捷巧取水兵四球德輝一隻石金連中三元
page 7	一比零約瑟勝工程
page 7	鐵城杯三角對抗民大迎戰中青今晚八時在青支會球場雙方狹路相逢惡戰難免
page 7	星特別杯足球賽華人被淘汰因一罰球員於魯耶隊空魯獲得決賽權
