page 2	英美對華貸款與日本預算
page 3	美國禁運又進一步鋼鐵出口必須領證東京惶恐認此舉係特別對日中英開始商訂貸款技術協定
page 3	工程師學會年會蔣委長特電勗勉完成建國偉業首要之務在求學術技能獨立進步
page 3	日普通會計預算內閣草率通過開會僅歷一小時許
page 3	日本國債逾二百六十億
page 3	日政府補助民間航空增闢航線訓練人員
page 3	平日兵被殺真相如此兇手為華服日人
page 3	優待抗戰軍人家屬全國慰勞會訂立公約通電各省盼切實推行
page 3	中蘇交通運輸力突增較兩月前高一倍餘
page 3	石友三正法後畢澤宇兼察主席政院決議撥款百萬救濟遷川各大中學
page 3	襄河戰役我軍之收穫
page 3	日機二十九架昨分批襲滇昆明追悼空防殉職人員
page 3	晉西日軍又蠢動連日激戰已被我擊退
page 3	滬法租界巡捕昨一度罷崗一部商店因此暫停營業
page 3	滬米價略降大批越米運到
page 3	法使館全遷渝
page 3	廣西各界定期追悼死難軍民桂南各校明春一律復課
page 3	空中閃電下的倫敦縮影倫敦一週間七倫敦十月十十九日航訊
page 3	阿部已飛返東京
page 3	漢又一槍殺案楊輝廷被刺未死
page 3	長谷川清赴台灣就任
page 3	美在遠東教士決先撤退一部係遵照國務部之勸諭
page 4	阿境希軍展開第二階段攻勢南部義軍繼續向北撤退
page 4	南匈定今日簽友好條約領土糾紛將告解決
page 4	日樞密院批准兩友好條約
page 4	邱吉爾將發表演說重申戰爭目的英美對希特勒演說相當注意
page 4	西歐戰區人民將受饑饉威脅英拒絕美運糧接濟要求
page 4	泰越空軍繼續互炸中澄田將赴西貢視察
page 4	美當局研究英財政狀況腓力普斯提出參考材料
page 4	英德砲戰英機炸法海岸德根據地
page 4	德義法將會議討論和約問題羅馬尼亞報紙所傳如此
page 4	格林伍德演說英國實力日強堅持到底必獲最後勝利
page 4	芳澤謙吉今日啟程赴荷印
page 4	設防演講希特勒怕空襲
page 4	英國兩問題商船的損失戰費的激增
page 4	美國騙不動
page 4	原來如此
page 4	英泰簽訂邊界協定劃定泰緬邊界
page 4	宣傳博士的傑作戈培爾說德國早已戰勝了可是還待向英國閃電一下
page 4	戰爭行為與既成事實之承認與協助
page 4	義軍陸空兩方均受重大損失
page 4	埃及西部項軍向海岸挺進中
page 5	曲歧線開展業務規定運費並減設支站
page 5	中山八區形勢漸穩
page 5	黃主席視察邕龍上經過與觀感
page 5	蔡志卓在澳門傷重斃命 
page 5	海南島北我孤軍奮戰致勝克復文昌縣屬邁號會文兩市萬泉江定安城日軍遭我痛擊
page 5	中大法學院長王造時演講改善報人待遇
page 5	提高幕僚待遇參謀人員加薪
page 5	其他具體事項如顧問等二日汪協定之明文與密件第七論
page 6	東華三院昨日推選新總理廖恩德陳功甫等十四人首席總理多屬意馮子英
page 6	各新總理人選祇待徵得同意
page 6	中青救護團下月演劇籌款籌備委會已於昨日成立將由覺先聲班排演新劇
page 6	吧城僑領丘元榮定今晨抵港
page 6	張丹畫展十九日起舉行三天會場假座金陵酒家
page 6	反疏散委會前日開會未接到呈文之覆文
page 6	中國文協繪畫比賽定十五日舉行
page 6	建築中的喬治公園
page 6	民生工業社昨招待新聞界定十八日起舉行展賣會出品以福州漆器等為主
page 6	糧食統制專員規定最近米價
page 6	香港移民局在澳門設辦事處
page 6	郭德潔女士昨晚離港飛滇返桂後赴渝再轉往前方在港為難童購書籍衣物
page 6	扶輪會前日聚餐蘭開夏談廣州慘狀
page 6	防空救護隊改期會操提前二十一日舉行
page 6	滬新華工程公司出品運港展覽將在國貨展覽會中陳列車床等運銷國內外各地
page 7	國際杯足球初賽中華首逢辦格蘭定本月廿五日在界限街舉行甲組特別銀牌秩序抽籤排定
page 7	明年二月初南華征菲島
page 7	銀牌第一週甲組共四場 
page 7	元旦慈善賽華聯對西聯
page 7	足球友誼賽南華大勝海軍結果六比二勢成一面倒
page 7	廿二日義賽西聯隊陣容
page 7	學界籃球比賽廣大小勝英皇初級組皇仁美爾頓告捷
page 7	阿鏗羽毛未豐何苦亦鬧跳槽事件
page 7	外匯牌價暹匯回漲美匯靜寂申匯仍穩
page 7	國幣市況仍屬靜穩
page 7	股票買胃暢旺市況扶搖直上
page 7	四四金市依然沉寂
page 7	南華小球隊今晨征澳預定比賽三場
page 7	籃球義賽女子南商勝南華男子華雄克僑星
page 7	埠際乒乓女子遴選本星期六開始舉行
