page 2	社評蘇德戰事爆發
page 3	蘇德戰事突爆發希特勒悍然宣戰邊境已起大衝突芬羅幫兇墨索里尼再扮配角蘇當局宣言必獲最後勝利
page 3	上海蘇聯僑民擁護對德抗戰
page 3	兩國實力蘇聯較強某軍事家之觀察
page 3	蘇聯紅軍能抗德嗎
page 3	西歐上空英德大會戰德機被擊毀二十八架英精銳機群實行掃蕩
page 3	蘇大使訪英外長美國已考慮實際援蘇
page 3	美國苦熱熱斃者已有數人
page 3	美政府統制橡皮入口並限令民眾減少消耗
page 3	美肇事潛艇打撈已告絕望全體船員勢已遭難諾克斯氏表示震悼
page 3	陪都各報發行號外對蘇德戰事極注意
page 3	日本深感意外內閣軍部開聯席會議松岡竟日皇報告噩耗
page 3	蘇德邊境形勢圖
page 4	贛北戰事猛烈南昌附近日軍蠢動已被我軍英勇擊退
page 4	聯軍攻陷大馬色維希軍退守郊外
page 4	南王彼得安抵倫敦擬在英組政府
page 4	日間諜被逐搭日輪離美
page 4	德土同意締結新商約土西部戒嚴延長三個月
page 4	加拿大自造驅逐艦兩艘之龍骨已安裝
page 4	美國下令封閉義國領館美將向德提強硬抗議要求賠償美輪之損失
page 4	調整外匯的水準問題一
page 4	舊金山在船廠式潮海部將作斷然處置
page 4	英向法屬索馬利蘭提出最後通牒要求利用吉蒲堤鐵路及參加自由法車陣線
page 4	史汀生下令整頓空軍使之成為獨立的組織
page 4	北非洲的經濟資源二
page 4	美援華捐款開始以來成績日著全國各地舉行街頭勸捐
page 4	敵機偵察粵贛邊境
page 4	平準委會工作計劃中美委員初步商討
page 4	華僑投資墾殖事業粵設八墾殖區可容貧民二萬
page 4	粵省黨部策動黨員戰時服務
page 4	閩臨參會告同胞書揭發敵偽陰謀毒計籲請同鄉募捐救濟難胞
page 4	以不變應不變
page 4	不祥之鳥
page 5	中國滑翔總會訓練地面跳傘初步完成後再作空中訓練粵湘將提前成立滑翔分會
page 5	東江各地米價大跌
page 5	廣州灣物價邇來仍不斷高漲中
page 5	從各國農村貸款說到中國農貸一
page 5	黃主席在桂臨參會報告半年施政概況
page 5	桂處府推廣新式農具趕製大批分配各縣應用
page 5	浙省教廳籌劃救濟寧紹學生擬請中央在浙設立國中
page 5	滇省發展熱帶作物在迤西籌設試驗場
page 5	東江南路義童大批搶救抵韶兒教院增設兩分院擴大收容
page 6	港醫務當局擬定戰時醫務計劃包括醫用藥物之貯存及醫院醫師之徵用等
page 6	特務警察組織由陸靄雲主持李子芳昨日對記者談述特務警察將來所負任務
page 6	嚴禁吐痰按犯者之身分科以不同重罰
page 6	生豬來源短缺豬肉價格上漲商人有向上海購辦來港但輸港數目仍屬極有限
page 6	港督闢謠否認將撤銷疏散令
page 6	罐頭伙食商貯糧數量
page 6	昨晨柯士甸道發生塌樓慘劇二三樓之騎樓突然塌下計九人重傷一小童斃命
page 6	糖商會商貯糖辦法
page 6	人民入境局長談嚴防偷渡入境否認有多數人偷渡入境該局在新界設有七分站
page 6	當局擬舉辦煙民登記吸煙者憑照購煙
page 6	港經濟作戰局注意囤積居奇及私運戰時資源出口將促各有關機關查緝
page 6	青年會舉辦書畫展覽會現開始徵集作品
page 6	香港設領史的觀察二
page 7	域多利游泳會向勵進團挑戰定下月十二日合組中西水藝會比賽節目擬定日間將預售門票
page 7	南華足球隊大捷大勝庇軍聯十一比零打破射球最高紀錄李惠堂獨取七球
page 7	流水落花集
page 7	溜冰熱義演全部收入達七百餘元
page 7	棒球停戰
page 7	協會同人大會七月舉行
page 7	中學籃球比賽漢華壓倒香島五七比三一演出不壞初級賽嶺東勇挫大中
page 7	中西游泳義賽華隊選人今日召開會議
page 7	澳軍警運動會昨午不在此列式揭幕
page 7	卓雄小球賽明日有兩戰
page 7	香港溜冰會今晚溜冰表演
