page 2	社評國聯行政院會議與中國
page 3	薛岳將軍暢談戰局我軍活躍爭得主動
page 3	排長忠烈奮勇殺Ｘ殉國
page 3	煙台游擊隊擄去Ｘ大批軍火
page 3	Ｘ機轟炸韶關兩年以來凡六十次民眾傷亡九百餘人
page 3	津浦沿線我軍活動襲楊柳青創Ｘ
page 3	余漢謀辭粵省黨委李鶴齡繼任
page 3	費縣克復我獲軍需品甚多
page 3	李麟法在晉南反正
page 3	西藏青年組戰地服務團
page 3	鄂東我軍襲Ｘ收戰果Ｘ傷斃千二百名以上
page 3	華北淪陷區內農村呈饑饉之象存糧不足價格騰漲野菜為羹膠泥佐膳
page 3	渝市人口積極疏散中留居者須領居留證
page 3	滬Ｘ捕人妄加之以罪名
page 3	禁止軍火運日渝美僑通電原文
page 3	蘭市獻金總額三萬餘元
page 3	滬公共租界拘獲售炸彈者
page 3	浙參議會已於昨日休會推定駐會委員
page 3	Ｘ軍部機關報恫嚇英大使出言荒謬全是ＸＸ口吻
page 3	信陽之Ｘ數次進犯不逞
page 3	滬兩租界當局發表聯合宣言具有政治性之團體均不得在界內活動
page 3	中陽城垣被我軍包圍中
page 3	國聯行政院會議我將提援助要求英蘇法波將舉行會商英眾院討論中國問題
page 3	李霞卿顏雅清在美飛行募捐備受各地招待歡迎初期成績極為良好
page 3	大好良田種鴉片Ｘ軍無奈吃高粱
page 4	張伯倫報告英蘇談判經過英外相電莫洛托夫請出席國聯會晤商
page 4	英報著論解釋蘇聯誤會抨擊政府所取態度
page 4	蘇報表示願與英法合作德報勸國人勿做夢
page 4	關於英蘇談話英應開誠相見與蘇進行談判昨日士蔑西報社評
page 4	蘇波談話結束波丹 金返國對解決但澤問題波態度仍極堅決
page 4	第二次大戰與日本日本人的座談會
page 4	英羅簽商約羅獲五百萬鎊貸款
page 4	蘇駐美大使鳥曼斯基昇任
page 4	德報對波停止攻擊希特勒對波傳不用武力
page 4	英徵兵法案不適用於北愛眾院通過修正案
page 4	英加強遠東防務駐遠東海軍長官參謀傳將在新加坡開會議
page 4	張伯倫應赴蘇與史達林懇談約翰布倫脫的意見
page 4	德義窮兵黷武德實施軍備擴充計劃義眾院通過海軍預算
page 4	德玻簽訂物物交換協定
page 4	義在阿境建築工事作為侵略根據地
page 4	東歐新形勢
page 4	Ｘ報的無禮
page 5	江佛等地我軍得勝連克玉崗東西馬寧會城殘Ｘ再度突圍我仍繼續兜剿雲鄉神鷹遭遇Ｘ機被我擊傷兩架
page 5	瓊我軍反攻文昌Ｘ兵空虛Ｘ酋授首潿洲壯丁被調赴瓊
page 5	昨日我軍反攻克復南頭寶安全境無Ｘ蹤
page 5	瘋狂舉動Ｘ機炸山上有抗戰救國四字
page 5	各地簡訊遂溪紀念國恥
page 5	茂名推進文化
page 5	粵省務會議通過戰時施政綱要包括政治經濟文化三要領
page 6	延長限制迫遷法例立法局首讀通過期限展至明年六月一日並通過追撥昨年度不敷政費
page 6	上海流亡學生明日招待各界每日生活典質衣物支持報告工作希望社會援助
page 6	商會唯一公益事業圖書館的沿革經費之半原為該館而增此而不辦則無事可辦矣
page 6	郎靜山攝影預展當場定去作品甚多
page 6	中區防空班准今晚七時開課假皇仁書院舉行
page 6	重建後之中旅今晚首次公演假皇後戲院再演鳳凰城連日重加修整愈臻完美
page 6	青年會等發起追悼尚仲衣博士今晚會商組織籌備會
page 6	前線亟需裹傷包請各界捐五十萬個由港澳婦慰會徵募
page 6	香江中學籌欵分各團體
page 6	婦女聯席會停止組織奉港府令決即解散
page 6	新知書店香港辦事處經售解放週刊
page 6	中美文協會昨舉行首次執委會
page 7	足球季最後一幕旭和盃明日決賽南華全力以赴迎戰海軍隊完成囊括偉業全在此一舉
page 7	網球義賽星期六上演節目極精彩
page 7	昨晚公開男子籃球賽星島幾遭不測心存輕敵上半時內落後十分廣大後勁不足以致攻敗垂成
page 7	菲台杯選手過港表演將對抗徐家兄弟
page 7	學界排球
page 7	今年世界標槍紀錄可破八十米標槍聖手耶維能之觀察芬選手尼加寧最有希望
page 7	歐局形勢和緩港外滙市況趨淡荷叻匯縮後回升其餘亦漲英美匯賣戶頗多申匯略淡
page 7	八九金市再略鬆弛賣多買少價又微降
page 7	股票市仍堅挺買戶雖眾存戶仍多奢求全日成交數僅六萬餘元
