page 2	汪偽組織暴露些什麼
page 3	日軍圖擾扶南不逞邕龍路激戰進行中我炸毀錢江大橋日軍車傾覆
page 3	汪家班醜劇今日正式開鑼南京民眾情緒冷淡
page 3	反汪工友回國服務團歷經各省現已抵渝
page 3	肅清漢奸
page 3	夫唱婦隨褚逆民誼妻在寧創辦歌女公司
page 3	新疆省主席李溶逝世林主席蔣委長電唁家屬
page 3	醫學年會下月初在滇舉行各會員紛紛報到
page 3	何廉抵昆明今日訪問龍主席商平抑物價辦法
page 3	法大使戈思默由渝經滇飛越將在河內作數星期休養
page 3	燕大校長司徒雷登由渝飛抵昆明並赴呈貢視察
page 3	日圖加緊毒化華南桂省府令各縣嚴防
page 3	上海大火怡和堆棧被焚
page 3	美學生會長慕禮之抵渝
page 3	定清煤礦發生爆炸死傷約三百人
page 3	南洋回教代表將來華訪問我回教訪問團在南洋頗受歡迎成績極優良
page 3	敢於破壞 
page 3	抗戰必勝
page 3	行都各界情緒興奮
page 3	上海市民沉痛紀念
page 3	寓軍事於教育教部鼓勵中小學生對空軍興趣定八月舉行自製武器模型展覽 
page 3	桂鄉長劉德昌生擒漢奸省府特予嘉獎
page 3	紀念革命先烈白主任發表論文
page 3	南橋慰勞團代表晉謁中樞當局林主席蔣委長獎慰有加
page 3	中央隆重舉行革命先烈紀念會林主席勉同胞加倍努力奮鬥保障國家獨立維護人類正義
page 3	林主席廣播痛斥汪兆銘罪惡甘心賣國國法難容應予嚴緝希望友邦認識加強對我援助
page 3	倒行逆施
page 3	喪心病狂
page 3	自由平等
page 3	抗日戰爭
page 3	犧牲奮鬥
page 3	鄭重宣告
page 3	勝利基礎
page 3	嚴切痛斥
page 3	革命史上
page 3	衰竭時期
page 4	聯軍最高會議發表公報緊密團結對德決不單獨媾和
page 4	匈總理離義匈空軍司令赴羅馬德農業部長將赴匈
page 4	多瑙河交通恢復第一艘煤油船已抵德
page 4	荷印德輪紛紛準備離境
page 4	聯軍經濟代表團在美接洽成功貿易問題大致解決英對郵件檢查態度堅決
page 4	英法對蘇保持友好西慈假滿即可返任蘇將與英談判商約
page 4	英法加緊實施封鎖德國政策將向中立國提出交涉德又對挪瑞施用壓力 
page 4	挪扣留德潛艇艇長水手皆被監視
page 4	蔣緯國在美習空戰戰略
page 4	西線砲戰雙方接戰甚烈
page 4	日軍需庫焚燬被反戰份子縱火東京商業區一部被焚
page 4	德荷邊界一部開放
page 4	羅馬尼亞南僑商會開幕南政府要人特往參加
page 4	英蘇關係好轉
page 4	南京歌女公司 
page 4	蘇維埃最高會議會內將提出外交報告史達林屆時亦將出席
page 4	歐戰通訊之八戰時法國的外國難民六巴黎三月十二日航信
page 4	近東軍事會議結果完滿英法土已獲得一致埃及舉行軍事演習
page 4	韋爾斯抵美京謁羅斯福長談韋氏對此行結果表示滿意惟拒絕論及歐洲和平展望 
page 5	江會日軍蠢動圖犯小澤被擊退大沙粉洲一帶又遭侵擾
page 5	粵北九縣災情總調查民眾被殺數萬人財產先尤巨重
page 5	滬市游資逐漸內移去年共達十五萬萬元
page 5	閩農業改進處推廣早熟稻種預計三年後閩東各縣可增稻產五十餘萬擔
page 5	滇緬行十四
page 5	瓊島日軍竄擾已被我擊潰血戰十天獲得重大勝利地方災情嚴重亟待振濟
page 5	閩省茶葉強化產銷機構 
page 5	優待華僑子弟回國就學粵教廳奉令施行
page 5	東江服務團解散經過不良份子排斥華僑把持操縱陰謀不軌
page 6	悲涼壯烈黃花節淒風苦雨祭忠魂本港各界昨開會紀念
page 6	少年團昨檢閱
page 6	再生旬刊
page 6	防癆協進會昨舉行首次會由醫務處撥款印宣傳品贊成頒行禁止吐痰條例 
page 6	觀音得道定期義映為兵賑會籌款
page 6	蝶弄花
page 6	血淚情花
page 6	蔣夫人昨巡視新兒童保育院訓勉全院兒童做好榜樣為國家出力為他人犧牲
page 6	大受歡迎
page 6	特別機會
page 6	中國門口 
page 6	犧牲精神
page 6	精神不廢
page 6	外人同情
page 6	四四兒童節參加學生四千人是日港九共分三區舉行下月一日開始贈旗獻金
page 6	昨日大雨
page 6	瓊崖學生會
page 6	陳龍山返防
page 6	挪輪已脫險
page 6	中華醫學會將在滇舉行年會本港由施思明醫生出席報告救濟傷兵難民經過
page 6	海軍義勇隊 
page 6	難民營人數
page 6	蘇聯對華廣播昨晚本港收聽較前清楚節目共四段用華語解釋
page 6	本港監獄官發表去年報告書入獄犯人一萬六千餘名犯人紀律當局管理甚嚴
page 7	加山特別銀牌決賽東南大戰展開請君早到遲來要吃閉門羹戰前紀念松叔默哀三分鐘
page 7	悼黃柏松君
page 7	足球裁判會下月四日開會
page 7	港圓外匯牌價回漲英匯穩靜美匯微緊
page 7	股票市況堅穩買家給價仍低存戶拋出不多全日成交總值九萬餘元
page 7	八九金市略見鬆弛價較上日約跌一元
page 7	甲組聯賽三場光華戰米杜息九龍逢蘇軍香港對警察
page 7	銀聯小球賽週末秩序公布
page 7	戰前觀感
