page 2	社評我們有絕對把握
page 3	美總統對國民警告戰爭危機依然存在赫爾謂美日談話僅屬試探
page 3	近衛私函內容空泛目的在延宕時間美政策不變或同意暫維見狀
page 3	我主管貿易機關謀推進中加商務
page 3	今日記者節中宣部文運委會電慰全國新聞界
page 3	蘇德戰爭爆發前後一七月二十日牛津航訊
page 3	霍金斯返美晤羅斯福總統商談援蘇哈里曼將轉英赴莫斯科
page 3	上海新聞界電領袖致敬
page 3	糧政三年計劃側重於集中及分配軍糧民食均無問題
page 3	美統制購買馬尼拉纖維
page 3	美日談話影響東京股票漲價
page 3	閩江展開激戰我軍已進迫福州市區晉汾河沿岸我軍出擊
page 3	鄂南贛北我軍襲擊敵陣奏捷
page 3	敵機二百餘架分批襲川在各地盲目投彈
page 3	兵役改革案全國即將開始施廢止納金緩役辦法
page 3	全國水利委會今日正式成立
page 3	統制國防生產美政府採優先制度
page 4	俄底沙保衛戰蘇軍民情緒甚激昂尼勃爾河西紅軍反攻戈默爾
page 4	固若金湯之列寧格勒
page 4	德軍陷塔林說至今尚未證實波羅的海蘇艦隊仍活躍
page 4	蘇軍退出維堡芬蘭有意媾和希特勒贈勳章急圖羈縻
page 4	伊朗英軍繼續推進蘇軍完全控制裏海艾登重申尊重伊主權
page 4	荷印太平洋問題的紐結三
page 4	軸心內部矛盾加劇希墨會晤在謀解決
page 4	地中海英潛艇曾屢施奇襲與義巡洋艦發生激戰軸心航運亦迭遭破壞
page 4	艾登申論英美宣言原則不獨對德政策為然且將推及他國家
page 4	法人槍擊內奸乃革命前奏瑞士報對拉伐爾被擊之觀察拉伐爾傷勢轉惡化
page 4	新土耳其奠基日全國熱烈慶祝土總統勉全國陸軍為保衛祖國而奮鬥
page 4	英空軍炸希臘機場投下炸彈三十噸
page 4	巴本將返德蘇傳其接獲緊急命令
page 4	本報十五週年紀念
page 4	荷女王誕辰世界荷人同申慶祝
page 4	歐洲新傀儡德軍在塞爾維亞又誕生一私生子
page 4	英海長演說戰局前途樂觀大西洋之戰英把握勝利
page 5	粵省行政會議議決糧食問題案件內容就地補給軍糧統籌收購普遍發動各縣民眾獻糧
page 5	敵封鎖邊境後東江日用品奇缺火油火柴等項幾已缺市
page 5	成都熱烈舉行模型飛機展覽
page 5	桂省府救濟回國僑生撥款託漢民中學增設華僑高中班
page 5	桂桐油礦產加價收購補助金較前略有增加
page 5	桂林增闢防空嚴洞全部經費三十一萬元
page 5	余長官優卹忠勇殉職排長列兵二人被俘不屈亦予嘉許
page 5	粵省下學期起推行政教合一各縣中心校長兼主鄉政國民教育經費就地籌措
page 5	潮安一貞婦寧死不受污
page 6	港僑團商行領袖組織回國視察團晉謁蔣委員長慰勞將士
page 6	發展本港漁業漁業研究館已動工建築港督昨廣播宣布奠基禮
page 6	認購戰債者募債總會通告不須直接匯渝
page 6	銀鑛灣雅集記趣
page 6	今日慶祝記者節記者公會外聯及青記等分別舉行紀念及游藝會
page 6	中航公司嚴加取締操縱票價貨運乘客購票須附本人相片防止利用合約兜攬包運
page 6	乘車辦法限定有效時間今日開始發售
page 6	一碗飯運動今日舉行結束禮孫夫人親臨主持
page 6	限制港澳輪用煤辦法輪船公司強烈反對但對此種措施原則贊同各公司已分別呈覆港府
page 6	油蔴地吳淞街昨晚四賊行劫婦人譚珍與賊糾纏受傷一賊鳴槍示威驚動四鄰
page 6	瑪利醫院附近兩賊截劫事主被刀刺傷劫去五百餘元
page 6	中國文化服務社定週內開幕
page 7	慈善杯棒球比賽美艦隊勝港聯七比三局勢緊張滿場報烈彩聯賽香港會打退南華
page 7	維他奶的營養值
page 7	協會又生枝節傳有兩會退出
page 7	中華溜冰場猜豆遊戲定今午揭曉
page 7	桂林籃球義賽軍校打倒老爺四十四比三十八贏半打第二幕女隊桂中勝醫容
page 7	樂斯杯籃球賽星島勝仗少雄力戰不敵
page 7	足球聯賽期近南華定期操演對手係警察及軍人隊蘇軍實力強我要提防
page 7	鐵城杯賽今晚兩場
page 7	華人水藝會何惠瓊創百米新紀錄
