page 1	證券市場應使正常化
page 2	王外長昨發表聲明反對四國討論中國問題
page 2	對莫洛托夫之建議英美國內反響一斑
page 2	司徒大使訪王外長
page 2	台灣事件
page 2	蘇報的評論
page 2	張劍非等由瀋飛京傳將商討接收大連
page 2	滬市大中學生組護權運動會昨日發表宣言
page 2	民社黨將開中常會商決參加政府問題蔣勻田盧毅安昨由滬飛港
page 2	魯東戰事仍烈共軍攻入膠縣魯中國軍分路疾趨大汶口陳誠顧祝同昨曾飛濟視察
page 2	松花江畔戰火未熄北岸共軍再度渡江
page 2	全會中委報到今起開始辦理各地中委紛紛赴京
page 2	羅隆基昨返滬
page 2	物價委會首次會議討論日用必需品配售等問題
page 2	白崇禧定今日飛台昨向台胞代表申述政府方針台省政制專賣制度擬即改革
page 2	台情勢轉穩陳儀昨晨有電到滬報告
page 2	鄭揆一談台情
page 2	平市黑銀號連日均有破獲
page 2	吉倫通告美軍美鈔不許自由兌換
page 2	旅平台胞集會發表告全國同胞書
page 2	東北經委會主委傳內定何廉繼任
page 2	立法委員建議停發萬元幣券
page 2	李迪俊使土國葉公超調外交部參事行政院昨日例會通過
page 2	莫德惠來滬
page 2	中墨將訂商約
page 2	葡使明日遞國書
page 2	我駐智荷使節分別呈遞國書
page 2	我赴日記者團昨飛朝鮮南部
page 3	莫斯科會議第二日商談如何討論中國問題貝文建議非正式討論馬歇爾主張私人集會中交換情報莫洛托夫主張在交換情報方式下於會議中報告上屆莫斯科會議決議實施情形
page 3	駐德美軍司令稱德將設臨時政府須莫斯科會議同意後成立
page 3	莫斯科會議第一日莫洛托夫提出中國問題要求列入外長會議議程
page 3	科佛海峽事件可能交國際法庭處理
page 3	日議會開會議員大部缺席
page 3	美決支持希土杜魯門昨闡明美對中東態度對希政策將推行於全世界
page 3	外長會議中的英法代表團一個俄人說把法國娘兒們併入英國代表團就成為十全十美的化裝歌舞班了
page 3	對日和約麥帥主速締結 
page 3	反對美菲同等待遇菲前總統奧斯敏納拒絕投票理髮師居倫謀刺羅哈斯未遂
page 3	蘇聯政府建議案外長會議應聽取曾出席前年三外長會議的各該國對於所通過的決定之實施情況的見解
page 3	巴拉圭發生革命
page 3	古典型的越南革命
page 3	美遠東政策會要求廢止互惠條款
page 3	捷波簽訂互助條約確保雙方安全防止德國再起法波二十年同盟亦簽字
page 3	美軍繼續留駐朝鮮直至任務完成為止美佔領幫辦演講對韓政策
page 3	外長會議人員同意討論蘇聯提案
page 3	管制原子能問題安理會通過美國管制方案飭原子能會草擬管制條約
page 3	緬人要求獨立共黨發動農民革命
page 3	英設中英指揮部計畫工業復興事宜
page 3	越局有新發展賴馬迪將發表對越政策聲明法越談判最近期內或可開始
page 3	谷壽夫判決書要點二
page 3	英美駐暹使節昇格
page 3	川江航運昨日起加價
page 4	央行促進各地物品流通轉押匯業務將開始特准行莊組織工商押匯銀團每一銀團以承做三億元為限
page 4	獎勵舉發黃金投機市府接奉提成充獎辦法
page 4	毀滅煙具十五下午在養濟院
page 4	歸僑服兵役國防部指示辦法
page 4	還都後首屆植樹節
page 4	加速郵遞本市分劃十八區宣傳有效後實行
page 4	蘇滬劃界會議在京舉行大場可能入滬版圖上海已派代表出席討論
page 4	美國學生熱心救濟艾格頓去函申謝
page 4	猶太人鬼鬼祟祟伏地潛行被拘獲
page 4	聯總司機反對不平待遇昨日全體怠工
page 4	公教人員物資供應昨日討論四項問題
page 4	青浦大血案主犯鄒寶賢終身監禁唐壽民案最高法院發回更審
page 4	謝晉元夫人談孤軍碼頭工作問題抗戰勝利孤軍若餓死心實何忍
page 4	今日國父逝世紀念市長廣播植樹意義
page 4	貼現糾紛江蘇農行控借款人要求將借款全償還
page 4	老童工請發全數差額金
page 4	寰華染廠社局允解雇四工人復工
page 4	田漢壽辰創作三十週年明開紀念大會
page 4	塌車夫輕狂調戲女客毆死車夫移觖解法院號啕痛哭
page 4	劫匪三名提籃橋分局緝獲
page 4	甲組籃球賽華聯輕取仁餘海陸青苦戰負於恩卡斯晨友再捷獲甲二部冠軍
page 4	市長盃足球重賽青白戰鐵路
