page 2	社評Ｘ國財政枯之明徵
page 3	晉南我軍克復垣曲Ｘ七犯中條山企圖又失敗潮汕間占事正酣Ｘ無進展
page 3	Ｘ犯魯南失敗發荒謬宣傳軍委會發言人闢謠
page 3	Ｘ侵佔汕頭向世界撒謊意在驅逐外商勢力竟謂打擊僑胞匯款
page 3	英方抗議限制航運
page 3	黃宇宙將軍俠義可風殺不忘難民
page 3	偽滿濫捕我愛國青年強加罪名橫施屠戮
page 3	抗戰建國的先驅學術機關在昆明恩源二十三日寄自昆明
page 3	成吉思汗陵寢由西安西運祭典肅穆盛況空前各界列隊恭送五里
page 3	黔省農民踴躍從軍殺Ｘ
page 3	顏惠慶將出席太平洋學會
page 3	二十作年度院校招生辦法在港設立分招生外七月下旬開始報名
page 3	桂間諜案湘人曾安槍決
page 3	閩江口外續到Ｘ艦
page 3	太原西北一片良田
page 3	滄縣偽軍
page 3	Ｘ報造謠誣衊漢口英輪
page 3	Ｘ擬加強租界封鎖
page 3	遠東局勢日緊傳英將派艦示威津Ｘ惡意虐待英僑英國民眾表示公憤
page 3	Ｘ報鼓噪厚誣英人
page 3	滬匯劃貼水昨日暗市又升發行五千萬新匯劃證四行已開始辦理登記
page 4	英法將向蘇聯提第三次方案西慈主張再向蘇讓步英內閣傳將局部改組
page 4	德對但澤仍準備一逞將向市政府施壓力現正積極佈置內應
page 4	戈培爾狂言對張伯倫演說大言反駁對天津封鎖事揶備至
page 4	蒙偽衝塔斯社發表官報叙述月餘來經過
page 4	Ｘ酋末路松井竟遯蹟空門為陣亡部屬守墓
page 4	Ｘ兵源恐慌前首相近衛予亦受徵兵檢查
page 4	英法遠東聯防聲中新加坡軍港的全貌根室新著亞洲的內幕之一章一楊歷樵譯
page 4	日本報紙仍在謊報
page 4	邱吉爾演說稱英不輕言戰爭如德義仍肆行其侵略則將同歸於破壞之境
page 4	大言不慚尚欲抗議
page 4	巴爾幹新公約羅國否認起草
page 4	德參謀長報聘愛沙尼亞
page 4	傳西班牙最近有復辟可能弗朗哥亦有此種意念
page 4	英報批評美國白銀政策在理今日已不應存在惟羅斯福將繼續維持
page 4	新加坡會議公報稱英法政策一致諾貝爾今乘艦赴華北貝台主增強遠東防務
page 4	美國最新式戰車防禦砲威力極為宏偉
page 4	愛共和軍到處投彈倫敦逮捕四人
page 4	萬國商會在丹麥京城舉行
page 4	英國加速完成殖民地航空網航空大臣伍德演說稱
page 4	埃外長抵羅與羅當局談話
page 4	遲鈍可惜
page 4	難言之隱
page 5	反攻江門我軍井根平嶺鏖戰獲勝進犯睦州三江Ｘ被擊退
page 5	澳門各僑團籌備舉行七七兩週年紀念并舉行陣亡將士紀念碑奠基禮
page 5	昆明繁榮自動電話七月可通
page 5	張仲新談發展粵省營工業召各廠長來韶共商
page 5	回到淪陷區去一周少重
page 5	瓊崖游擊保亭疊有斬獲
page 5	澳門兒童比賽
page 5	合浦續發振款
page 6	賑聯會函各團體認領七七紀念花發出函件共四百餘封定二十九日截止認領
page 6	婦女兵災會贈標準國旗籌款用以普遍賬濟傷兵難民將分隊向店住宅恭送
page 6	日領館書記違例攝影被拘日本駐港領事館書記
page 6	洋務工會
page 6	戲院職工
page 6	汕頭Ｘ軍封鎖英商碼頭怡和太古碼頭外架鐵網檢查行人禁止貨物運入
page 6	王正廷昨返國抵港
page 6	惠僑救鄉會明日召開全體會議商開闢難民墾殖區
page 6	中藝劇團舉行六次公演日場國語組共演四齣夜場粵語組演花濺淚
page 6	日人擬在港辦英文報在干諾道購大廈香港日報將遷入
page 6	港澳施行檢疫後在港領證手續以醫生簽發之防疫證書向海港衛生署換出口證
page 6	梅芳中學昨舉行畢業會考省督學親到監考
page 6	學生報社組織學生圖書館
page 6	聖類斯學校港督昨往參觀
page 6	洪流劇團赴荃灣義演籌賬
page 6	八一三劇社定期公演籌募款項為受傷將士購藥品
page 6	佛山賬難會再施粥一百日
page 6	賬聯會昨開常會捐贈汕頭之救護車改送紅十字會總會
page 6	五邑青年會定期成立擴大宣傳工作
page 6	大地公司招考電影演員昨日開始審查
page 7	南華在仰光第二戰打和全緬甸選手結果一比一德輝扳成和局兵疲將乏莫軍師電請救兵
page 7	溫布爾頓網球賽男女兩錦標奧斯丁瑪博小姐最有望第一日陰雨比賽受威脅
page 7	紐約楊基棒球會一頁成功史它有堅強組織雄視一世要記住露拔特苦心經營
page 7	中西綱球義演在中華會舉行雙打林珍配搭王文正羅文惠因公不克參加
page 7	英網球名將奧斯丁致力溫布爾頓賽
page 7	溫布爾頓第一週我遭慘敗何仁軒被淘汰許承基又棄權
page 7	域多利游泳會籌商參加港滬埠際泳賽
page 7	公開水球聯賽鍾場壓倒南華二比零贏得寫寫意意華人氣如虹痛擒西青
page 7	國際足球會議撞人問題規則略有修改
page 7	團體綱球戰南華勝中華
page 7	除叻匯縮半咽外其他外匯均無變動英美匯市沉寂申匯買賣仍少我銀行多售出申電匯豐續吸進
page 7	股票市況仍沉寂買戶賣戶俱屬寥寥無幾半日成交僅及三萬餘元
page 7	八九金市仍屬不振買賣仍少價格微降
