page 2	美國的經濟威力論美洲經濟集團問題
page 3	鎮南關殘日陷重圍南路金雞塘掃蕩中長江日艦兩艘又觸雷沉沒
page 3	加緊抗戰打擊日閥
page 3	金沙江通航計劃決分五段完成
page 3	陪都各界開會追悼傷兵之母榮譽軍人推代表致祭
page 3	各戰場出擊均有進展軍委會報告一週戰況
page 3	滇越交通經我完全封鎖戴古飛廣州灣視察
page 3	汪報忽發牢騷居然對日警告
page 3	泰國加緊反法又將大舉示威法公使日內將離曼谷
page 3	虹口日人別開生面每人均攜自動警報器
page 3	日本樞密院續開審查會議聞本週將舉行大會
page 3	閩整治河道治標治本分別擬定
page 3	美紅會代表已安抵昆明開始接洽藥物運輸
page 3	日絲混裝運美
page 3	紀念防空節各地努力獻金購機在美僑胞擴大捐機運動最近可籌集數百萬美金
page 3	滬美水兵並不撤退
page 3	中日戰況將見改觀美僑談日已陷困境
page 3	陳嘉庚過贛赴湘
page 3	歐戰特約通訊大時代的巴黎十二
page 3	滬孤軍將士獻金購機
page 3	陪都觀察家論日本南進或將先佔西貢等待時機
page 3	我軍事發言人縱談抗戰形勢如空軍力量能再增強即可對日發動總反攻
page 4	羅馬尼亞總理首途前往德國傳將簽訂某項協定土耳其政府有改組訊
page 4	希軍奮勇前進直薄科爾加阿人紛起襲擊義軍後方英義飛機在阿上空激戰
page 4	英機飛德轟炸範圍極為廣泛
page 4	美國遠東政策應更強硬三
page 4	英空軍少將傳在義境失蹤
page 4	美國發明桐油替代品
page 4	英帝國各單位供應力量日增加拿大代造商船十八艘印度人物力均盡量助英
page 4	保將反猶反猶法案初續通過
page 4	郭泰祺大使設讌招待倫敦外賓
page 4	美驅逐機隊開往菲律賓
page 4	防空節兩義舉
page 4	從何說起
page 4	英外次闡釋羅國地位認已完全受德軍控制
page 4	美法西斯團體破壞陰謀飛行家林白傳亦在內
page 4	傳美將委任新駐法大使韋爾斯與凱雅晤談
page 4	抗戰資源中的鎢銻錫一
page 4	美國加緊援英傳將轉讓第二批舊艦飛行堡壘亦優先售英
page 5	英德信宜等二十縣明年分期行新縣制粵省務會議通過飭遵錢乃信代理粵僑通訊處主任
page 5	粵臨參會駐會參議員梁乃賢等九人當選
page 5	桂南善後省府頒辦法大綱以安社會秩序為急務
page 5	川鹽增產專家正設計改良鹽區創建新鹽區已具規模
page 5	粵臨參會議決趕修韶興路向商車預借八十萬元今冬完工明春還本息
page 5	中山日軍陸續他調
page 5	連縣曲江禁娼設生產習藝班維持妓女生活
page 5	西康日記二一一第十編神秘的木裏
page 5	吳道南在瓊崖召開行政會議決議救濟生產教育等案提高效率增強抗戰力量
page 5	四川橫斷記一
page 6	港當局解釋徵用英國商船問題被徵用後仍舊照常航駛輪船數額或將因而增加
page 6	華人自由疏散登記者二百餘人菲支群島允五百人前往某議員談該地情形甚詳
page 6	吳康籌設中華文化學院評量舊價值輸入新學藝港徐信符等將協助進行
page 6	粵省救委會徵藥委會昨日首次會議
page 6	星督湯瑪斯抵港英國民眾精神極為旺盛戰時建設方面均有進展
page 6	槍聲卜卜狂犬喪命
page 6	保衛團擴大組織編定各街界限港九共分八區六十八段日內製成表式分發各街
page 6	限制移民法案立法局首讀通過工廠及工場法例修正案二讀及三讀昨亦獲通過
page 6	漫協分會舉辦學生漫畫競賽
page 6	移民局宣布入境領證辦法請求書格式紙可以函索職業項下務須填寫清楚
page 6	大新公司舉行摸珠大贈品
page 6	南社籌辦書畫展覽約在十二月中舉行
page 6	藝華新片觀世音延期放映
page 6	振聯會為新界難民呼籲
page 6	第四屆國貨展各廠商踴躍參加昨日認位報名者極擁擠所餘攤位僅得七十二個
page 6	記者公會舉辦時裝展覽籌振聘請熱心舞女擔任表演由各時裝公司製備新裝
page 7	明日南海大戰李惠堂重上火線前鋒主力盡出完成堅強攻勢九龍對香港改期舉行
page 7	學界籃球比賽昨日揭開戰幕中級組華大巧勝嶺東初級組華仁輕取英皇
page 7	警察失風再負二球
page 7	最後一戰澳聯出師
page 7	各方動態
page 7	警察小球隊後日戰住聯
page 7	傅利沙不服上訴毆打裁判員案總會今日再審
page 7	美菲荷匯牌價略漲英匯黯淡申匯穩定
page 7	四四金市昨日交易停頓
page 7	股票市況沉靜買戶裹足不前成交不多
page 7	美元英鎊俱略下降
page 7	本年十月份本港貿易增加出入貨物值一萬萬餘元較去年同期增百分十三
page 7	國幣市況仍屬靜穩
page 7	李四破關熾輝響應
page 7	南華征澳奏捷四比零勝警察全隊昨夕班師今晨抵埠
page 7	兩陣對圓南華先攻
