page 1	戰敗國可成天堂
page 2	國軍分路增援晉南臨汾文水近郊有戰事正太綫共軍攻佔井陘
page 2	沂蒙山區西麓國軍攀山作戰豫北國軍開始向北出擊
page 2	鄭洞國等抵京據談接收旅大正準備中龔學遂即飛轉赴東北
page 2	王耀武在青島視察外圍防務
page 2	鄧菲爾今赴平檢閱美陸戰隊
page 2	原子世紀
page 2	讓售民營事業估值資委會令各單位趕辦中天津東北等紙廠已初步報告
page 2	胡海門戢翼翹發表聲明
page 2	中國紡織業的命運中國不能獲得日紗廠設備美日紡織品將爭中國市場麥帥總部官員談話
page 2	國府委會定今成立張群就任行政院長下午將向全國廣播演講
page 2	對我國政府改組美報抱懷疑態度
page 2	蔣主席不久將訪美說
page 2	政院例會通過金鎮兼任瀋陽市長中阿友好條約批准我同意蘇聯保護南國在華利益
page 2	台灣省改制魏道明任省府主席各廳增設副廳長由台人擔任
page 2	蕭錚辭職昨起不到部辦公淩鴻勛將飛瀋視察東北交通
page 2	淩鴻勛將飛瀋視察東北交通
page 2	真理報評論
page 3	莫洛托夫函覆馬歇爾朝鮮談判五月復開四外長昨密談對奧和約英法代表團日內將離蘇
page 3	德煤斤出口限額英美法成立協定美方認此為三國佔領區經濟合併
page 3	蒙哥馬利邀蘇參謀長赴英游歷
page 3	下屆外長會法贊成夏秋召開
page 3	戰後的東歐土地問題一
page 3	五強秘密討論特港總督人選
page 3	傳巴拉圭向美乞援將藉外力敉平革命
page 3	華萊士離丹赴法將向法議會外委會發表演說
page 3	英樞密大臣莫里遜赴巴黎將與社會黨領袖會談
page 3	希新君即位
page 3	國際貿易會議討論減低關稅談判手續
page 3	德地主選舉未改變其政治機構
page 3	印尼合眾國將於一九四九年成立
page 3	根治目前經濟危機的方策淺議一
page 3	裁軍小組會舉行首次會議
page 3	杜魯門親信人士研究五年援外計劃撥款百億特別著重中韓
page 3	帛琉島日軍殘部正式向美投降
page 3	馬歇爾電告范登堡完全同意援助希土參院昨付表決料可通過
page 3	遠東法庭一怪事美藉律師引杜魯門防共演說為東條等戰犯侵略中國辯論
page 3	日參議員選舉揭曉地方區保守派優勢
page 3	簡化護照手續各國專家同意
page 3	港政府徵收直接稅僑胞表示堅決反對
page 3	敦睦中暹邦交暹禁載有礙邦交新聞
page 3	王逆揖唐案冀高院將予重審
page 3	考察外國議會立委三人將出洋
page 3	遠東基本教育會議定九月間在京舉行各代表將參觀京市國民學校
page 3	中緬邊界界椿時被移動滇警備部派員前往查勘
page 3	中政校副校長入選發生問題學生反對蔣經國
page 3	蕪湖三報被搗毀案新聞界將赴京請願
page 3	津榕物價飛漲
page 3	平實施警管制先由三個分局開始
page 4	賀其燊復查各銀行發現業務不正常者十餘家處理辦法返京覆命後發表
page 4	警備部決敉平紗價大批幹員四出偵查又傳警備部破獲恐怖組織
page 4	英教育家格麗離滬赴蘇參觀
page 4	鄭德昇曾被控指使殺人又被控侵佔敵資
page 4	佘敬成案週六再偵查
page 4	真如區區長徵工開河居民函告市參會請轉函市府制止
page 4	旅滬英僑慶祝聖喬治日
page 4	黃伯惠不服再上訴
page 4	合理調整房屋租金舉辦房地產業押款行政院令市政府核辦
page 4	生活指數解凍吳開先無所聞
page 4	金賽克可能廿五日抵滬交部電菲島詢問
page 4	核准居留德僑財產部份發還政院訓令市府遵辦
page 4	中暹航線再度試航如成功即正式開始
page 4	美駐滬旗艦昨離滬駛青島
page 4	月貼航商四十八億昨日決定分配辦法機帆船等亦可得貼補費
page 4	穿制服出氣除名義警被拘捕
page 4	私立上中小學校產陳逆濟成前歲盜賣校董會已向有關機構揭發
page 4	桂永清明日來滬視察
page 4	盜劫煙店擊傷老闆娘舅
page 4	茂昌眼鏡公司工人要求調整待遇資方呈請社局調處
page 4	擱樓設煙館警局破獲捕七人
page 4	劫匪回上海警備部聞風拿獲
page 4	漕寶路專營權糾紛市參會昨商談調解提建議五項請交委會答復
page 4	巴勒斯坦郵件郵局恢復收寄
page 4	清心與中西兩小學徵收學費超過標準教局現已著令退還學生
page 4	大學女生論文競賽定下月四日舉行
page 4	中等學校運動會定下月九日舉行報名至五月五日截止
page 4	市長盃籃球賽華聯挫巨人
page 4	星島定今午飛滬
page 4	魏德過滬轉京
