page 2	我們的奮鬥
page 3	桂南日軍續有增加明江戰事激烈展開
page 3	南京談判結果汪組織內部磨擦益甚日人對華仍欲獨吞對汪並未放鬆一步
page 3	鄒琳抵粵談整理財政方針預定明日正式就職
page 3	滬西防區日軍迄未接防暫由商團維持
page 3	程潛將繼任政治部長周恩來任副部長
page 3	曲江各界準備歡迎陳嘉庚
page 3	重慶災情慘重國際深致同情美紅會特捐美金一萬元專供救濟渝市災民之用
page 3	本港保育兒童一二兩批均已抵桂現正侯車前往貴陽
page 3	某戰區經委會正式成立楊道樾等就職
page 3	李主席講述建設新廣東列舉四大綱領廿八細目希望粵政有劃時期進展
page 3	粵省各界徵募寒衣
page 3	日人反戰同盟巡迴劇團由渝返抵桂林
page 3	滬又一綁架案
page 3	僑胞團體代表謁粵當局獻旗
page 3	滬外商派輪試航溫州
page 3	英使卡爾由滬來港　英僑一批離滬投軍
page 3	瀾滄江勘測竣事下月初試航分四段限年底完成
page 3	哲學年會月底在昆明舉行
page 3	統一招生考試日內可放榜約錄取六千人左右
page 3	滬無稽謠言影響匯市
page 3	防空節規定為十一月二十一日
page 3	醫學教育委會在渝召開大會商討改進醫學教育問題
page 3	今日教師節蓉市舉行慶祝
page 3	豫東各河大水氾濫
page 3	今日孔子誕辰全國各地懸旗休假誌慶
page 3	赤塔會議結束勘界委員會發表聲明謂雙方獲得預期成果
page 3	東南歐各國經濟現勢一
page 3	晉東南我軍連克各要地
page 4	英德空軍飛躍倫敦柏林均遭襲擊英機轟炸義國北部
page 4	英機襲柏林
page 4	蓋達高唱攻英
page 4	德義駐匈公使訪外長薩基羅代表團再赴匈京匈羅談判即可重開
page 4	羅匈糾紛不至惡化
page 4	美對遠東政策態度堅定明朗海軍方面主張最積極國務部主採鐵拳主義
page 4	印國民大會議決補充印督聲明何時始獲得自治領地位英方務須提供切實期限
page 4	日新體制大綱將提閣議通過準委會明日會議
page 4	英屬伯茂達島同意租借予美重要堪與夏威夷媲美美東岸防務將益鞏固
page 4	美徵兵法案即將付表決預料可獲多數通過
page 4	克羅斯廣播英國航運歡迎各自治領竭力增造商船
page 4	日組代表團赴荷印購油
page 4	怪謠何來
page 4	歐戰形勢
page 4	英美合作進一步
page 4	傳德發明克羅米毒瓦斯人體紅血輪觸之立毀美化學家研究化驗中
page 4	拉丁美洲的隱憂二
page 4	德機襲英受創
page 5	廣州灣法艦沙地尼號駛回越南據聞隨時仍可來灣守衞日艦麕集瓊州海峽甚多
page 5	黃營長壯烈殉國負傷自戕臨難不苟瀕危遺言忍痛努力
page 5	中山復興軍反正白蕉情形混亂旅長陳某被日軍扣留我軍推進白蕉準備出擊
page 5	黔省水利建設小龍區工程告竣受益民田七千餘畝地價增值三成以上
page 5	澳門教育會慶祝教師節及孔聖誕選舉十七屆理監事今午舉行公宴聯歡
page 5	粵獎勵僑胞投資實業訂定辦法鼓勵保障
page 5	潮陽僑商遺囑獻金慨捐萬元擁護中央
page 5	滬浙航運又被截斷上海日軍濫施封鎖德義商輪紛紛被扣
page 5	西康日記一五六第八編九龍見聞
page 6	今晚日落後舉行燈火管制演習砲兵演習射擊聞聲勿驚居民務須準備以免受罰
page 6	應注意之各點
page 6	海陸交通暫停
page 6	清貧僑生考試六區共取十四名港區取錄名額尚待決定全部試卷寄呈考選委會
page 6	保育院留港兒童全部遣送回國寄養於嬰堂內殊非善策總會方面電示港會辦理
page 6	難婦服務清潔運動清理樓宇索價一仙
page 6	日婦孺離港日外務省無所聞
page 6	七七售花款仍有僑團未繳交共領花一萬一千三百朵屢經函催仍未將款繳交
page 6	三民主義教育研究會徵求專才入會研究分通信及集會兩種
page 6	本港海關署在新界設卡七處防止違禁品運我國內地小輪在馬士灣檢查貨艇
page 6	海軍總司令李頓中將即將由滬來港
page 6	各大僑團準備以基金購節儲券郭泉等分函本港各僑團請其協力贊助鉅量認購
page 6	深水灣發現大鯊魚泳客大吃一驚 
page 6	啟德機場慘劇昨日集會研究失事原因死者阜拉前日下葬愉園
page 6	人口問題專家米杜布祿昨日由星抵港
page 6	今日教師節各界慶祝孔誕聯合在娛樂戲院舉行
page 7	足球界積極備戰從此成多事之秋本屆比賽秩序明日全部編竣下月足球義賽日期或有變更
page 7	星島歸鴻
page 7	夏令籃球今日比賽兩場
page 7	澳門水球隊下月中征港
page 7	七七紀念日英國網球義賽何愛英力克史丹瑪絲蔡惠全雙打勝負各一
page 7	外匯牌價仍無變更美匯穩靜申匯傾淡
page 7	股票市況靜穩昨日成交七萬餘元
page 7	國幣市況稍趨下游
page 7	八九金市尚稱平穩
page 7	隨征一得我有一個建議
