page 2	美總統第二步如何
page 3	我軍突入徐州石莊在粵部隊包圍廣州
page 3	蔣總裁廣播講演勉全國同胞及時興起勵行國民精神總動員
page 3	贛鄂前線Ｘ軍毫無進展
page 3	反攻徐州我軍突入石莊
page 3	偽軍內向各地續有反正
page 3	晉南激戰我處主動地位
page 3	四月上半月各戰場戰績作戰三百二十三次斃Ｘ官兵二萬餘名
page 3	傷兵屍灰Ｘ昨由滬運日
page 3	魯Ｘ恐慌青紗廠停止興建
page 3	女繼父志率部抗Ｘ范築先一門忠烈
page 3	Ｘ艦砲轟連江經我軍還擊敗退
page 3	中央電唁謝持家屬派黃季陸治喪
page 3	孤島上的汪派活動企圖勾結失業報人各方予以嚴重注意
page 3	沈蕩歟城再度經我收復
page 3	滬各團體電蔣委長致敬
page 3	史諾離菲昨日乘輪來港
page 4	英法蘇三國談判進入決定階段蘇士將參加和平陣線駐英蘇大使被召返國
page 4	美總統和平建議民主國一致擁護德義正考慮如何答覆
page 4	英報論調轉強欲令極權國改絃易轍惟有民主國臨以武力
page 4	蘇各界極重視加里寧電羅斯福致賀蘇俄願參加國際會議
page 4	德將召開國會討論答覆美總統建議德報論調仍故逞頑強
page 4	美國狂熱擁護孤立派竟亦捐棄成見稱此舉為光榮的行動
page 4	德國飛機侵入波領空波政府已提抗議並積極擴充空軍
page 4	義相戈林會談商德義對美總統答覆義報語氣似漸轉和緩
page 4	日報評論竟大言不慚願共謀和平
page 4	美艦二百七十艘駛回太平洋日海軍當局不安
page 4	德義增兵西班牙英法嚴為戒備馬爾泰沿海要塞增防法艦駛抵直布羅陀港
page 4	羅外長赴德勾留數日續訪比英
page 4	弗朗哥抵塞維爾參加勝利檢閱
page 4	英王等參觀秘密武器美大使亦同行
page 4	法政府頒令管理外僑須受徵兵法統制團體應呈准立案
page 4	英經濟學家暢論世界經濟在國際信用崩潰時日本損失最為重大
page 4	反攻廣州的意義
page 4	一門忠烈
page 5	我軍反攻江門新會Ｘ勢漸竭改取守勢篁莊沙隄昨日仍在激戰鶴山團隊渡河進擊九江
page 5	從北街失守至新會陷落團隊抗戰紀實
page 5	三月血債粵北空襲統計
page 5	粵六區專員周景臻十六日赴興寧就職
page 5	嶺東人口物資均嚴限疏散完竣
page 5	粵省府整理自衛團頒明六項戒令
page 5	澳港慈善家籌設灣仔難民區發起徵求促進會員
page 5	中山將辦平糶
page 6	全國基督教大學在港舉行教育會議十二大學校長教授出席遵行中央政府教育方針
page 6	狙擊林柏生案陳錫林上訴失敗連司謂證人供詞清楚維持原判入獄十五年
page 6	黃啟明定明日出殯
page 6	各界賑聯會今日會議常會昨整理提案
page 6	粵各界慰勞會託各報代收短衣昨到該會損贈者七百套希望於本週內達到半數
page 6	落馬洲新田村五賊持械強劫事主正酣睡中賊匪闖入劫去現幣金飾三百餘元
page 6	漁民協會救濟船
page 6	中環新街市今日招投攤位有一部份得優先權商販昨日已獲通告先行投承
page 6	婦女聯席會籌委明日開會假座廣東銀行婦慰會章程擬就屆時將討論
page 6	鳳凰城中旅提前義演廿八日晚在皇后舉行因與黃花崗演期衝突
page 6	英海軍部增艦來港飛龍螳螂兩淺水艦
page 7	港埠際足球隊昨晨凱旋歸來澳門不是對手淨輸兩球
page 7	東方戰西貢乙隊七比二大獲勝利
page 7	國際游泳賽約法四章
page 7	印度台杯隊實力不弱現已啟程赴歐
