page 1	"社評先要節流"
page 2	"總預算案審查通過立院促請制止通貨膨脹開放自備外匯新辦法即公布"
page 2	"中美會商美援運用方案棉糧等四小組分別提出報告各項意見尚待華府方面同意萊普漢即北上司徒立門日內返美"
page 2	"加緊徵兵今年還要徵五十萬名年初以來已徵了百萬"
page 2	"甘介侯談話李宗仁與和謠無關"
page 2	"國代靜極思動留京代表三百多人開會決議提早召開臨時國大與會者對立委待遇大加抨擊"
page 2	"孫科將辭職說立院子以否認"
page 2	"交通事業處境困難加價倍數遠趕不上物價交通部已擬好調整辦法俞大維對記者談話"
page 2	"安慶堤破市區被淹漢口仍緊南京水位略退雨量太多勢將影響收成"
page 2	"太原局勢轉緩平保線國軍重入新城"
page 2	"東京一僑胞被美軍射殺美方說死者是圖逃罪犯"
page 2	"關麟徵新職傳將兼任陸軍副總司令"
page 2	"滬經管局長傳俞鴻鈞兼任"
page 2	"程潛赴長沙"
page 2	"滬舞潮案昨宣判六十七人被判處徒刑家屬們哭哭啼啼不肯走"
page 2	"整肅粵漢路秩序禁軍人無票搭車當局決定四項辦法"
page 3	"三千代表雲集費城美第三黨全國大會揭幕將提名總統候選人擬定政綱"
page 3	"義政潮告一段落喀斯貝理可以苟安下院否決共黨不信任案"
page 3	"杜魯門談世界局勢相信終能獲致和平"
page 3	"美人誣毀聯合國胡世澤大發雷霆"
page 3	"聯合國一場虛驚飛機在上空投下一件爆炸物據說是一憂時的飛行員所為"
page 3	"馬里積極組閣邀雷諾勃魯姆皮杜爾等參加今向議會提出名單請求信任"
page 3	"正教五百週年各國代表齊集蘇京紀念通過決議案抨擊梵蒂岡"
page 3	"美最大運輸機橫越大陸飛行"
page 3	"柏林混沌局勢尚待澄清蘇方說明封鎖是報復行動貝文重申願與蘇恢復談判"
page 3	"華府首要會議克萊秘密報告"
page 3	"李承晚粉墨登場今日宣誓就任總統職位國會議員反對極右傾政客組閣"
page 3	"馬來宣布共黨非法英將加緊對游擊隊戰事華僑兩名被判處了死刑 "
page 3	"殺人犯先人冤獄後犯法惡丈夫虐待妻子用酷刑"
page 3	"暹維持君主制在憲法中規定此一原則"
page 3	"菲人激烈反對重開對日貿易"
page 3	"英日生意經即談妥日擬好廣泛出入口計劃將以棉毛織品交換原料"
page 3	"麥帥給日政府撐腰同意禁公務員罷工說沒有軍隊必須加強權力"
