page 1	暑期談學生
page 2	西安將有重要軍事會議鄭州緊張豫東全面激戰古北口解圍秦皇島外圍戰起
page 2	何應欽報告軍事自稱對開封之失不負責任立委們指責軍事調動失靈空軍轟炸老百姓無辜慘死
page 2	痛論鄉村國民教育
page 2	玉門油礦努力生產本月產量打破歷年紀錄四五兩新井旬內可鑿成
page 2	史蒂爾曼嚴家淦等抵穗抵穗前曾參觀黃埔新港一行今天來港定明晨飛台灣
page 2	嚴家淦吳兆洪談話建設華南是已定的方針大冶海南將發展鋼鐵業
page 2	李敬齊亂講話說開封之失無關宏旨旅京豫人請政府辦他
page 2	福州災情統計淹街千餘條塌房千餘棟災民近二十萬死傷甚眾
page 2	在港停留一宵參觀港口設備
page 2	顧維鈞訪亞穆爾商討接受軍事援款手續中國政府須向美方報帳
page 2	美援華代表團吉爾派屈克任副團長
page 2	四邑災區所見稻田一片清蔥禾苗已甦台山街道好像乾枯河床全縣塌屋四千多間死十七人
page 2	新兵苦不堪言師管區逼人民當豬仔參議員質詢黃世途
page 2	監察院行使同意權司法考試兩院人選通過
page 2	討論軍事預算徐堪大發脾氣他堅辭預算委會兼職
page 2	北平通訊故都雜綴續完
page 2	司徒透露退休之意他說願回燕大作校務長美使館暗示時機沒成熟
page 3	東歐八國外長集議華沙商討成立東德政府問題到會者各國外交人員千餘名
page 3	馬克之戰展開柏林兩區居民左右為難
page 3	柏林又呈緊張蘇聯停供西區電力美方出動坦克巡邏
page 3	新德裏通信繁榮也不可分割遠東經委會第三屆會議的檢討
page 3	歐洲貨幣貶值之謎羅維特否認美企圖控制說即可宣布談判的情形
page 3	逮捕扣留審訊馬來仍在緊張中
page 3	以色列的悲哀伊爾根與政府決裂首任內閣遭遇危機
page 3	美共和黨競選政綱費城大會已予通過內政主張拋棄了傳統政策
page 3	美總統的角逐杜魯門恐難望蟬聯能否被民主黨提名已有問題要擊敗共和黨候選人更不易
page 3	范登堡的夫人反對他當總統
page 3	共和黨擁誰競選昨天舉行第一次投票杜威獲勝似已成定局
page 3	翁紹裘五月十一日寄美國也有臭虫生活費用激漲
page 3	西尾地位瀕危反對黨將不信任票
page 3	日還想加強警察力量說盟軍撤退後難鎮壓騷動中央社記者也認為是實情
page 3	我僑胞七十人被囚曼谷監獄暹當局控告三項罪名
page 3	英蘇貿易談判蘇已同意恢復
page 3	日大官貪污案吉田將被傳訊
page 3	黑夜產子皮膚黑漆晨早出報不用舊名
page 4	油印板也必須領照麥耀全案罪名成立
page 4	海軍船塢華負協會特為此事發表聲明
page 4	總統金像款項不足
page 4	流浮山又聞槍聲警員捕海盜五人
page 4	華商總會退還會費
page 4	周錫年返港談遠經會議
page 4	擁有資金的人請向 工業投資
page 4	本港兩廠商團體招待赴英代表岑載華等報告在英觀感
page 4	海事處助理處長積臣下月退休
page 4	日人所欠債現在可以要
page 4	走私者的福音海關放棄一部分關卡集中實力以應付襲擊
page 4	電車稽查有揩油嫌警方再逮捕十一人
page 4	九龍城居聯會今天選新職員
page 4	暹羅國慶日領事開酒會
page 4	反對扶日運動選出常務委會南洋各地紛紛響應
page 4	金馬拉馬戲班開鑼日期還未定票價自二元四角起到五十元
page 4	三個人跳車都傷了頭部
page 4	運豬渡河全部被劫損失豬一二二頭
page 4	孫子死了買童承繼唐四姑罰千五百元婦人鄧英拐賣人口判獄十五月
page 4	你如有漂亮的房屋要否替它空中攝影遠東空中攝影院可以代辦
page 4	深水埗一男子跳樓八小時後死在醫院
page 5	滬金鈔昨午狂升影響申匯跌百分之十五金融商品全受影響跌落程度快間歇期短促滬結匯證價一一二萬元
page 5	走私貿易性質改變貿易數量日趨減少前主要由香港輸入洋貨現改由國內偷運出口貨
page 5	暹日貿易近貌曼谷特約通訊
page 5	出口走私業務未受新法影響
page 5	桐油產價報高外銷利潤微薄
page 5	我國上月輸美白銀值八萬三千餘美元
page 5	澳門昨實施新結匯辦法廣東銀行說明要點
page 5	上海銀根逐步抽緊行局差進近三萬億暗息升至三角四分
page 5	好友淡友各守崗位
page 5	滬米麵穩紗布漲穗物價一致再揚汕廈米布齊步升
page 5	檳城五月份出入口貿易出超九百萬餘元出口貨樹膠首位入口緬米為大宗
page 5	星馬政策未定前日貨源源運往棉織品鐘表膠鞋最多
page 5	穗市結匯證價八○至八二萬
page 5	生油市價突升計上漲十五元國內走私來貨稀少暹羅來貨又無化算
page 5	汕銀根緊市場混亂
page 5	星外匯統制部官員飛港商討外匯問題與星馬膠錫經港運美有關
page 6	世運大軍定期抵港籃球聯會昨夜點兵下月三四兩日由星島港聯應戰自力南華週末分兵禦黑白
page 6	華雄會將續辦夏令籃球賽比賽章則已擬定
page 6	過去七屆起源及經過
page 6	芝沙丹尼輪上迎印華選手
page 6	本屆參加世運單位較上屆多了十二國足球預賽節目編定
page 6	光華大夏請改國立請願代表分別晉京大夏已獲初步成功
page 6	南華排球隊今日戰保羅
page 6	全馬聯隊陣容產生準備與世運隊一拼世運足球隊今日飛星
