page 2	社評日本政治總ＸＸ的前奏
page 3	林縣高平先後克復晉南戰局告一段落Ｘ軍完全失敗殘部向北潰退犯豫鄂邊區之Ｘ被我三面圍攻
page 3	華北反英暴動顯由日方操縱徐州英教士又被逮捕
page 3	蔣委員長電令肅清三省存土禁絕期限迫在眉睫認真督飭不容因循
page 3	桂地方建設幹部學校二期開學黃主席致詞勗勉
page 3	渝港電話試驗成績圓滿定十五日開放
page 3	渝聯合版對暹羅近狀促英法注意
page 3	汕頭糾紛日方竟提無理條件
page 3	鶴山實踏記三
page 3	美國繼續向我購銀對我直接援助開始積極行動
page 3	冀中反掃蕩我軍又克復數縣
page 3	英輪被炸克萊琪提抗議
page 3	日圖佔焦作煤礦英方嚴重抗議法比兩國表示贊同
page 3	桂慰問代表二十人抵渝
page 3	日紙幣發行額大量增加自中日事件發生以來每年平均增一萬萬圓
page 3	交部調整公路機構將運輸業務劃出酌設運輸局辦理
page 3	滬米價續漲
page 3	滬郊我軍益活躍兩租界昨實際戒備萬國商團一部動員
page 3	汪逆爪牙綁架滬校長強迫修改教科書
page 3	偽滿邊境又有激烈空戰
page 3	天津Ｘ軍又強英婦裸體檢查
page 3	歡迎尼赫魯渝市積極籌備中
page 3	蟻光炎抵滇
page 4	英外部擬就訓令尚待最後考慮加藤昨再訪克萊琪竟反對第三國干涉
page 4	Ｘ五相會議無結果而散陸軍對加入德義軍盟將單獨行動硬幹到底
page 4	德陸軍演習規模之大向所未有東開者亦日益眾多
page 4	反侵略陣線鞏固英蘇關係愈接近將締結商約貸欵予蘇軍事談判下週可舉行
page 4	戰時的安徽一
page 4	羅斯福演說責孤立派議員反對修正中立法即削減政府力量
page 4	羅斯福明年傳仍將訪菲
page 4	三國貨幣協定傳將予修正美財長在歐遊歷將乘便進行商討
page 4	菲總統奎松擬進行連任
page 4	中國抗戰順利最後勝利在望邱吉爾向美廣播演說
page 4	新美大使抵蘇就任
page 4	西內閣改組中弗朗哥自任總理兼國防最高領袖
page 4	但澤形勢暫又和緩
page 4	英連日舉行海空大演習海軍由英王親自檢閱參加飛機一千三百架
page 4	救濟國際難民各國代表下月在美開會德境猶太人生活益艱難
page 4	墨索里尼突患心病健康堪虞
page 4	Ｘ方特務到粵
page 4	美又向我購銀
page 5	粵省廓清腐惡禁絕全省賭博雷厲風行以謀政治之革新
page 5	從化景象蕭條商塲遷街口花縣早造五穀豐收
page 5	成吉思汗的生平
page 5	滬百業漲價理髮亦不能例外
page 5	越南妓女救國不甘後人獻金四千餘元
page 5	增城淪陷後一筆血賑鄉村被焚燒者一百六十餘處
page 5	新會前線炮戰激烈馬坭鄉民勇既定暴Ｘ
page 5	中山沿岸Ｘ艦減少
page 5	加強封鎖淪陷區域杜絕仇貨運入
page 6	紀念八一三獻金運動今日開始獻金台共六處地點擇定小販義賣政府未有異議
page 6	永祥金鋪劫案證人一一作供所述若符合節歷歷如繪定今日下午二時半再審
page 6	熊貓運港轉美公開展覽
page 6	國立院校招生考試今日完竣上午考德文及體育術科志願師範生定午後口試
page 6	本港公教華人代表羅馬教皇曾予延見
page 6	宇宙風第八十一期出版
page 6	防止迫遷條例委員會研究完畢羅文錦談經已呈報港府對延長遷徙期限曾爭辯
page 6	大綸綢緞莊優待主顧大減價本港大道中一二八號大
page 6	五邑青年會昨日成立望旅港青年回國
page 6	五分鐘胃痛粉大批到港歡迎批發
page 7	國際棒球大比賽定下星期六揭幕
page 7	獻劍排球義演明日開鑼一連表演三天節目排定影人對抗仿林揭開戰幕
page 7	暹羅網球隊今天抵埠比賽節目編定
page 7	東方足球義賽場地有問題八一三無戰事展期舉行
page 7	南華水藝會今夜上演節目十一項
page 7	南遊日記
page 7	公開水球東方輸得慘
page 7	掃桑頓約請賽菲隊慘敗
page 7	溫沙夫婦參觀拳鬥
page 7	滬商向港吸進外匯港滙市昨趨活躍英匯近遠期均多成交美匯則較少申匯牌價再漲市況續略趨淡
page 7	倫敦股票市轉趨沉寂惟價格尚趨好轉
page 7	股票仍極呆滯半日成交僅一萬餘元
page 7	八九金市又略堅挺最高價時創新紀錄
