page 2	社評日本的軍事攻勢
page 3	中條山砲聲甚激烈日軍企圖顯已粉碎大批日兵屍灰由前線運北平
page 3	血戰中之中條山附近形勢圖
page 3	澳洲荷印當局重申應變決心日軍部機關報侈談參戰問題謂美即參戰日仍應從長考慮
page 3	謠言攻勢又一姿態美蘇兩方反映東京毒霧
page 3	松岡邀請格魯談話
page 3	財政會議即將舉行
page 3	雪梨女僑胞向蔣夫人致敬
page 3	沈鴻烈電請中央褒卹魯殉職報人
page 3	周恩來闢謠
page 3	陳英士殉難紀念陪都舉行儀式領袖親臨致祭
page 3	酬勞獻媚泰國送近衛等勳章
page 3	山下一行抵義預備學習什么麽
page 3	平準基金委會將在陪都成立
page 3	滇緬鐵路工程
page 3	獻糧運動各省熱烈推進
page 3	黔省決定裁併七縣
page 3	日機襲陝西安有數處起火幸市民疏散甚速
page 3	滬電車起火乘客死傷多人
page 3	全美中國週開幕援華情緒益熱烈各州長市長發表聯合宣言呼籲美人對華作實際援助
page 3	中國為遠東堡壘屏藩民主及自由
page 3	糧食部長有徐堪呼聲
page 3	正言報職員姜意誠被架
page 3	推動僑胞節建儲蓄已成立海外節儲團
page 4	美總統發表演說強調反抗侵略赫爾說明最後信念和平必守五項原則
page 4	美國舉行公民日各政要廣播演說強調西半球之關聯性主加緊援英抵抗侵略
page 4	東非義軍一部力竭求降英軍已開入安巴阿拉吉
page 4	孟席斯飛抵火奴魯魯
page 4	墨西哥充實國防農民亦須受訓
page 4	羅馬正式宣布分割南國領土建立所謂克羅西亞國
page 4	希斯文奔英之謎迄今仍未揭開英相將在眾院發表聲明柏林否認清黨消息
page 4	英國嚴密注視軍火經土運伊日報傳土已同意德軍假道英機繼續轟炸聚利亞
page 4	德向法示惠釋放法俘虜人數約達二十萬名德法談判繼續進行
page 4	巴黎法報論調強調擁護德法合作主張美國調停歐戰
page 4	日本的毒霧
page 4	敘利亞總督為德國辯護
page 5	教廳設法救濟沿海受害各學校教職員學生妥為善後被迫停課者限即恢復
page 5	湘省榮譽軍人靖縣屯墾記員兵情緒奮發工作效率極強種稻植桐手工業成績均美滿
page 5	潮汕難民麕集梅縣當局撥米辦理救濟
page 5	中山日病兵大批運臺灣
page 5	民眾捐獻
page 5	觀世增林時清巡視粵南沿海在廉江扣留不法鄉長劉侯武亦已巡抵茂名
page 5	桂採礦隊來粵採磡金礦    
page 5	桂南善後工作積極進行中日軍所遺廢鐵改制大批農具續撥巨款匯邕貸放
page 5	重慶通訊二
page 5	澳門魚蔬漲價禁止轉運香港
page 5	花縣鋤奸團梁耀秋殉職
page 5	各地被害黨員中央通令優卹
page 5	建立忠烈祠桂各縣限期完成
page 5	四邑時果歉收早造亦難樂觀
page 6	中美兩國旅港名流歡宴美國兩大使周壽臣代表我國人致辭港督定今晚招待兩大使
page 6	上書美總統簽名昨達三萬五千人百餘學校學生簽名踴躍料結束時可達十五萬人
page 6	三角戀愛血案訣別情書死者林忠銓手筆
page 6	開發大嶼山計劃經費籌措困難本年度政費中未曾列入此種移民辦法尚待考慮
page 6	官米平糶委員會決定增設代售站西營盤紅磡九龍城三處黑市米價昨又復上漲
page 6	港府切實調查銅鐵鋼鋅鋁存量昨日通告各銅鐵商登記註明數量地點每月呈報
page 6	霍亂傳染仍未絕跡醫務處發表
page 6	皇仁建新址暫時擱置南華球場仍得保留
page 6	全港各婦女團體回應勸募戰債婦女團體代表明日開會黃炎培氏今晨離港飛滇
page 6	港越貿易日暮途窮越大部物產在日壟斷下安南舞女來港亦受限制
page 7	居聯會水藝大會下月六日舉行一連三晚在九龍荔枝角泳場比賽項目編定大會職員產生
page 7	東星足球大軍在澳賽程排定
page 7	北角華人游泳會定廿四開水藝會
page 7	華人游泳會徵求成績優異
page 7	中學籃球大戰培英白贏培正五九比十九得分如串炮初級組興華大勝香江隊
page 7	學界排球賽皇仁戰漢文
page 7	單車比賽
