page 2	社評七分經濟三分軍事
page 3	贛東北我軍突出擊彭澤附近日軍受創
page 3	滬工董改選前夕竟出現妥協辦法改變名額引起重大不安華董郭順等均相繼離滬
page 3	交通部在粵將設造船廠派員抵韶籌備
page 3	參政會特種委會即將召集會議研討政治關係之調整
page 3	日機結隊飛越租界
page 3	日提新要求說越南當局否認
page 3	滇緬鐵路英方同意撥款興築緬段華段路基已築成一半我與美磋商購料等問題
page 3	松岡晤義當局並定今日謁見羅馬教王
page 3	八中全會開幕時蔣委長訓詞全文
page 3	日銅鐵荒深感美所施禁運壓力
page 3	羅斯福總統致謝張書旂
page 3	美總統電覆蔣委員長對我深表信賴與合作
page 3	不是戰國時代的重演而是人類解放時代之來臨三
page 3	東京一片淒涼景象支持侵略已筋疲力乏糧食缺少生活尤痛苦
page 3	曾鎔浦在仰天長笑撞車受微傷經醫施治已漸愈
page 3	南僑總會大會昨在星開幕陳嘉庚連任會長
page 3	贛組慰勞團定期出發前線勞軍
page 3	中央將組織視察團考察閩省施政實況
page 3	日閣東扶西倒與工商業分子裂痕甚深拉小倉入閣冀緩和反感
page 3	湘省積極訓練助產士成立訓練所十所
page 3	桂省首次舉行飛機模型表演
page 4	德南局勢仍緊南羅邊界亦已封閉傳艾登已抵南國京城
page 4	義艦的覆滅受德嗾使冒險出海義國血本盡付東流
page 4	美墨談判完成兩國可互用根據地運河空防將益增強
page 4	法輪助德行為英決予制止將增強西地中海實力以應付法艦隊之反抗
page 4	軍官縷述作戰經過
page 4	西南太平洋的反侵略陣線三三月十六日新加坡航訊
page 4	被管船隻達卅萬噸
page 4	美煤礦工要求加薪勞資雙方談判中
page 4	美移民局發出拘票拘捕德義船員將以犯破壞動論罪德義已向美提出抗議
page 4	一週間英輪沉沒數字共五萬九千噸
page 4	印緬商務談判進行順利協定日內可締結
page 4	蘇聯封閉挪京使領館原因未宣布
page 4	南美德輪冒險離港
page 4	美將收用軸心船隻
page 4	蘇聯收回日營漁區五處兩處因未達官價亦為蘇聯所保留
page 4	英戰時財政每日支出一千三百萬鎊收入僅達支出三分之一
page 4	東非義軍士無鬥志英國迫近阿斯馬拉
page 4	閩政視察
page 4	英地位增強
page 4	達拉第萊諾　俱已恢復自由但仍受警察監視
page 5	滬駭人暴行案中央銀行被炸記兩處死八人傷卅七人
page 5	西康日記第十四編麗江雜記
page 5	悲慘的一幕
page 5	綁架中國行員事件汪方發表荒謬談話蘇農四職員命　保全
page 5	粵行政效率會討論改善公務員團隊生活結論四點將呈請省府決定
page 5	粵省各縣儲鹽備荒花縣英德等八縣已先後依額儲足
page 5	南路紳耆捐款四萬振卹各縣災黎
page 6	鄺炳舜昨發表談話回國遊歷四省印象甚佳即返美協助一碗飯運動
page 6	移民局調委會昨日繼續聽供太平紳士周錫年到庭作供主席公布休會續開期未定
page 6	英中國之友會派大批專家來華醫藥專家等共六十餘人約於月底即可由英抵港
page 6	港督羅富國昨日視察防空洞對各洞之建設表示滿意本月中旬舉行燈火管制
page 6	昨日外聯舉行年會幹事名額增至七人
page 6	記者公會籌辦遊藝換物會定本月下旬在陶園舉行遊藝方面節目極為豐富
page 6	清明節將屆掃墓須知
page 6	十王殿改建公厠果販攤位奉令遷出
page 6	兒童節港九準備慶祝
page 6	過海小輪暫不加價一部小輪用火油渣損失擬請政府補助
page 6	交大同學慶祝母校四五誕辰
page 6	中國文協六日聚餐有音樂等節目助興
page 6	僑港惠陽商會募款賬濟邑災將協助難民移殖爛頭島各同人捐國幣三萬餘元
page 6	德國集中營今晚義映籌款賑濟難童
page 6	九龍巴士十一路路線更改
page 6	喬治公園昨日全部落成
page 6	女青年會募捐運動今日發表三次成績
page 6	貨物行李出口昨日開始檢查與量度處合作檢查貨物
page 7	協會接緬隊電告取消來港賽球因戰時關係球員請假受影響港方排定秩序臨時作罷
page 7	今日甲組足球賽士葛迎抗海軍下午三時半在掃捍埔場光華對香港會改期舉行
page 7	足球縱橫談二
page 7	南華體育會徵求明日結束
page 7	海上球友聯袂到港
page 7	旭和杯足球決賽陸軍佈新陣中鋒荷息退班改用柯路特人強馬壯南華要當心
page 7	東方出戰依戈隊演出全武行雙方球員均有受傷菲將取消以後各戰
page 7	正廷杯補賽南華對防空
page 7	澳港學界球隊後日可到
page 7	外匯牌價申匯略漲英匯美匯市況沉寂
page 7	股票市況活躍惟賣戶堅持成交尚少昨成交總值六萬餘元
page 7	國幣市況尚稱穩定
