page 2	社評改革中學教育問題
page 3	我軍加緊反攻鄭州外圍據點先後克復越南敵軍結集傳已侵入泰邊
page 3	美日關係轉緊華盛頓認無妥協希望
page 3	籌辦全國倉庫使供求適應安定物價我主管當局正研討中
page 3	我國現行匯價政策之批判一
page 3	英海軍根據地將供美使用日本方面表示關切
page 3	敵機肆虐竄擾贛閩
page 3	日圖威脅蘇聯日報催促東鄉與蘇談判
page 3	國府最近成立授勳委員會
page 3	長江下游航運全被敵方獨佔
page 3	英勸告僑民撒退係戒備性質傳英輪將停航北太平洋
page 3	拉第摩昨自滇返渝
page 3	粵六種糧食實行管理登記
page 3	防止囤積居奇當局擬具強制投資辦法
page 3	漢奸爭骨搶奪鹽場敵獨佔淪陷區菸草
page 3	泰財長宣佈增加國防經費表示決心應付任何事變
page 3	魏德曼抵日
page 3	滬工部局總董李德爾將來港向平準會商外匯問題
page 3	國民參政會駐會委員會郭外長報告外交
page 3	寒流襲滬死亡率驟增
page 3	倫敦中國婦女協會招待中外名流盛會
page 3	掃蕩報撰文斥第五縱隊
page 3	美滅瘧團正副團長抵滇
page 3	德夫古柏即將赴澳
page 4	莫斯科外圍各線戰事又趨激烈克里米亞蘇軍堅守中
page 4	英機飛越北海猛炸勒森港德侵蘇運輸艦四艘被沉
page 4	英星相家之預言希特勒將於兩年後潰敗美國將先在太平洋參戰
page 4	十月重慶一
page 4	共和黨議員主廢除中立法塔虎脫發言反對美輪駛戰區
page 4	美國驅逐艦首次被德擊沉在大西洋北部被魚雷擊中美眾議員主斷絕對德關係
page 4	美礦工風潮和解已有望總統召見李維斯後工人復工靜候仲裁
page 4	中東英機活躍義南部及北非皆被轟炸
page 4	林白攻擊政府謂羅斯福獨裁孤立派仍囿於和平之說
page 4	美政府正草擬龐大制機計劃年產收音機七萬餘架預定兩年後可實現
page 4	史達林抗戰決心堅定霍金斯發表會見經過
page 4	如此新秩序南斯拉夫民眾又遭慘殺德國發動反基督教運動
page 4	法國沿岸發現神秘人物德軍恐懼聯軍進攻
page 4	裴佛布洛克患哮喘病英國有改組可能
page 4	土耳其建國紀念日舉行盛大閱兵典禮德使巴本被邀參加
page 4	英輪一艘被德機炸沉地點在西領海內
page 4	美節省電力供國防生產
page 4	台維斯撰文論蘇肅軍事件為消滅德日間諜而發
page 4	法屬索馬利蘭願與英談判予英交通便利
page 4	美艦被擊沉
page 5	今日花墟精彩戰光華嚴陣對米軍下午四時三刻開火劇戰難免星島鬥香港東方戰警察
page 5	花墟搗米談
page 5	甲組聯賽形勢
page 5	明天甲組聯賽好戲南華出戰工程切戒輕敵緊要努力勝券可操士葛在嘉山戰聖約瑟
page 5	銅鑼灣畔海軍對抗九龍
page 5	高山流水集
page 5	銀聯小球賽明天開幕計有比賽五場
page 5	鐵城杯籃球大戰民大勝星島四九比四二先輸後贏頭場南華輕取友聯軍
page 5	九龍校際小球今午開始比賽
page 5	居聯冬泳團增加器械設備
page 5	學界籃球賽港大保羅獲勝
page 6	美輪擬縮短遠東航線有停駛本港可能總統輪公司港經理返港日前赴菲商討遠東航運
page 6	港府向日軍抗議向港邊界射擊要求卹償受傷中國農民該受傷農民形勢極危殆
page 6	防空工程案劉美美否認從前本甚窮困並謂史氏拒受其金錶鄭植之首先出席作供
page 6	港督向華僑呼籲參加防衛部隊當局設立統一報名處在告羅士打酒店地下
page 6	港府決設立懲治貪污局根絕舞弊情事
page 6	廣州灣牲口輸出豬欄肉價回跌廣州灣大批牲口續運到海防恢復准許生豬出口
page 6	中國評論創刊號出版
page 7	敵怨上下川島台山廣海又緊張我已派大軍馳往增防伶仃洋海面敵艦　集
page 7	廣西滑翔分會職員人選確定
page 7	廣西舉辦水利工程四行貸款千萬元不日可簽訂合同
page 7	陳應霖發明科學算盤除整數外並能算分數體積教部將令各校列為必修科
page 7	西安雜綴
page 7	湘省近聞
page 7	劉建緒談閩省軍政琯頭莆田偽軍已肅清全省推行冬耕千萬畝
page 7	貴陽一週
page 7	股票微露生氣昨日成交共十六萬餘元
page 7	滬標金價上漲昨日上海電滬標金現
page 7	申匯黑市先淡後好英匯美匯市況沉寂
page 7	國幣黑市跌後復漲最低時一二六最高時一四○
