page 2	"社評這樣的教育應該改變了"
page 3	"平保路穩定冀東仍緊太原國軍重入白家莊豫東淮陽周家口一帶激戰"
page 3	"金融界批評新外匯辦法如手續太麻煩或將減弱效果"
page 3	"論美援之於廣東農業"
page 3	"售購結餘外匯補充辦法公布"
page 3	"本月生活指數議妥翁文灝核示後即成定案有人主張今後不發表指數"
page 3	"十二個商人分在滬青被捕罪名是賣真空管給共軍"
page 3	"大有補於日本工業鐵砂將續運日資委會與盟總即重開談判大批灤煤由日輪運回去了"
page 3	"調整學術研究費政院昨例會通過教授研究費每月五百萬"
page 3	"廣州附近的賭風"
page 3	"黃河也在泛濫共黨要求救濟機關予以協助長江宜沙以上水位續漲"
page 3	"張群在昆談話否認與和謠有關"
page 3	"中央撥款振閩災款子至今沒匯到"
page 3	"漢物價又跳燒餅油條五萬元一件"
page 3	"張伯芩飛津"
page 3	"瀋陽學生遊行抗議七五流血事件東北學生一度衝入平協和醫院"
page 3	"萊普漢昨晤李宗仁並曾和傅作義胡適談談美援運用辦法大致決定"
page 3	"美報近論"
page 3	"翁文灝書告國民呼籲明辨是非共赴國難"
page 3	"吳鐵城等勸國代請勿發動召開臨時國大戡建委會組織還將擴大委員們本月起即可支薪"
page 3	"立法院休會後張肇元談感想"
page 3	"國民黨中央昨舉行會報"
page 3	"七省漁業物資分配會議開幕"
page 3	"瀋偽造本票案四主犯昨槍決"
page 4	"三國對德國問題有決定即將向蘇建議解決途徑決由三大使向蘇外長提意見"
page 4	"南共重訂黨綱譴責保加利亞阿爾巴尼亞繼續促進與東歐各國合作"
page 4	"巴達維亞通信印尼華人政黨與國籍問題"
page 4	"英對日金鎊貸款財部說暫難實行"
page 4	"英公爵發妙論西歐應解除武裝如受攻擊可賴美原子彈"
page 4	"暹正考慮立法減少華人入境"
page 4	"法新閣獲議會信任共黨議員反對馬裏政府"
page 4	"義共鞏固勞工組織罷免反共工人領袖號召六百萬工會會員團結"
page 4	"美三巨機環球飛行一架在英海面失事只有飛行員一名獲救"
page 4	"對馬來亞的局勢陳嘉庚發表感言"
page 4	"封我僑校五百所暹羅到底憑甚麼聯合國文教組織去函質問"
page 4	"真理報評南共大會"
page 4	"美國會反擊杜魯門發動迅速休會運動指總統計劃純屬政治性"
page 4	"馬來未平靜各處調援兵"
page 4	"暹羅宣布禁止外人政治活動"
page 4	"我國對日有何誤解日報認為我國猜疑日本說猶如日人前誤解中國"
page 4	"日福并大水災廿五萬人蒙難"
page 4	"漢堡居工索槍獵海豹費城名醫妙手剖心臟"
page 4	"明總勞工組長不滿麥帥所為打算辭職表示抗議"
page 5	"大埔堤壩被雨沖毀廣九英段暫停通車預計須三日後始能恢復華段火車開至深圳為止"
page 5	"颱風威脅解除水上交通昨已部分恢復"
page 5	"長洲島船艇五十艘失蹤"
page 5	"西環電話千餘戶前夜零時起不靈這是勝利後首次大障礙電話公司昨已派員查修"
page 5	"青山海面翻船四個人不見了"
page 5	"關於反扶日運動輔政司覆徐季良"
page 5	"東西海員等職等薪國際運輸工人聯合專員將邀遠東海員共商爭取"
page 5	"可憐的瞎子病倒街頭被送往醫院警局望他的親屬去看他"
page 5	"狂風大雨夜樹倒督府前"
page 5	"警察法律修正案立法局一讀通過離婚贍養費修正案等亦通過"
page 5	"陳序經抵港即赴穗就任嶺大校長"
page 5	"收養育女不申報鄭蕙賢昨被罰款"
page 5	"織布業產品出口商會將發證明書因為恐怕別處廠商冒牌"
page 5	"澳門警務署長表示澳門小姐失事乃由於海盜劫機港方調查報告日內可呈總督"
page 5	"殘機撈起後發現一人頭"
page 5	"送你去赤柱李奎說無法生活法官這樣答覆他"
page 5	"此路不通"
page 5	"唇膏藏在餅乾罐絨料縫好當毛氈一批走私貨全部充公"
page 5	"許世英抵港"
page 5	"圖劫司機坐牢年半"
page 5	"白米配給量下月起增加"
page 6	"黃金盤升美匯徘徊外圍價高國際金市堅穩一般相信後市可能續漲"
page 6	"滬金狂漲可能係短期現象市場開放與基本政策矛盾"
page 6	"外電刺激金市攀高"
