page 2	蘇芬關係之地理背景一
page 3	南路我軍包圍欽防詔安被我收復殘餘竄回粵東晉南我運用新部署誘殲日軍
page 3	北江戰局穩定銀盞坳日軍徒勞而無功新會我軍出擊斬獲甚眾
page 3	閩南一角肅清我追擊部隊抵達分水關宮口登陸日軍亦被逐退
page 3	晉南我軍追擊勢如破竹日殘餘全部西潰
page 3	綏遠我軍一度攻入固陽冀西我繼續掃蕩
page 3	非常時公務員攷績暫行條例國府已明令公佈
page 3	皖南我軍進攻安慶望江豫北我克三劉砦
page 3	國府明令褒揚吳佩孚日方竟扣留何部長唁電僅允將原文在報端發表
page 3	蔣夫人鼻疾施行手術經過極為良好
page 3	嶺東縱橫行三
page 3	毆辱滬美僑案日圖輕了不果美領署聲明該案未結束
page 3	滬閘北大火日方建築木料被焚
page 3	鍾蔚文營長忠勇殉職已呈最高當局撫䘏
page 3	多田駿表示日蘇終一戰加緊控制華北商業不顧英美反對態度
page 3	蕭叔宣附逆國府明令撤查
page 3	國府命令
page 3	黷武的結果日本明年度總歲出侵略費用佔其大半
page 3	準格爾旗護理抵榆林報告蒙務並將赴晉渝一行
page 3	惡有惡報滬被擊之葛青山亦係歹土上奸徒
page 3	像煞有介事汪兆銘偽府渺茫竟準備訓練軍隊
page 4	蘇援軍抵湖沼區企圖包圍芬軍霍格蘭島被佔已證實達拉第演說竭力援芬
page 4	美請蘇顧全利益蘇聯封鎖芬蘭英以防毒面具供給芬軍
page 4	國聯將於明日開會芬代表提緊急申請
page 4	美照會英國勿干涉輪運日商輪將載運德貨英實施封鎖感棘手
page 4	蘇聯不會放過日本Johnahlers著李俠文譯
page 4	納粹內鬨秘記希特勒巧施美人計伯倫堡誤中失前程
page 4	蘇向羅國保證維持友好關係德羅商務談判無結果義國採取不參戰政策
page 4	土耳其發現反納粹運動對宣傳活動極憤激德使巴本突離土京
page 4	德轟炸機圖襲巴黎不逞英空軍炸沉德潛艇
page 4	德調軍鎮壓波游擊隊
page 4	戈培爾在前線某處演講
page 4	汪兆銘的失望
page 4	美對日態度不變
page 4	上海日軍誘募小工運赴平津訓練補充軍隊缺額
page 5	粵北我軍分路南攻軍田一帶激戰中我攻入旗嶺斬殺數百銀盞坳日軍勢成弩末
page 5	日增兵瓊崖企圖久佔並派前陸相板垣赴瓊任指揮我已嚴密防範加強封鎖
page 5	江會戰事沉寂中山沿海安定
page 5	行政院視察員對粵政觀感禁絕烟賭教養難童成績特佳上下苦幹精神最堪欽佩
page 5	粵四大桐林地址已擇定
page 5	經濟部嚴格取締囤積日用必需品同時規定平價購銷辦法
page 5	西康日記十九
page 5	滬西歹土糟不堪言歹徒白晝搶劫無惡不作偽警為虎作倀秩序混亂
page 5	南寧失陷後中越貨運暢達滇越鐵路貨運力量增加一倍法方禁運物品亦已取消
page 6	響應蔣夫人紅磡婦女籌募棉衣集該區各團體組織大會執委今日會議商討進行
page 6	存愛會響應募衣運動舉行遊藝籌欵
page 6	雞鴨行慰勞桂省將士續捐棉衣千件
page 6	受歐戰影響港財政支出激增義勇軍警察等費均增加不敷六十八萬八千餘元
page 6	日本傾銷火柴國貨火柴遭受嚴重打擊最近日火柴二千箱運港
page 6	馬師曾等義演籌款救濟中山難民
page 6	潛逃之德人卡爾已抵日本
page 6	蔣夫人軫念留港難童特派陳紀彜來港慰問對本港印象表示滿意
page 6	十七日白晝防空演習假定兩國交戰
page 6	砲兵演習憲報公佈日期
page 6	粵日憲兵限制旅客入境
page 6	奶粉及罐頭修訂零售價格糧食統制專員昨日友佈未繼續公佈前不得漲價
page 6	日總領離港
page 6	莫理士等願為我國効勞
page 6	徐謙電唁吳佩孚將軍昨致電北平治喪處
page 6	光施公司聖誕遊藝會
page 6	太平日戲二寶鼎明珠
page 7	快活谷人氣狂熱東方迫和米軍激戰甚烈瓜分八隻球
page 7	中國青年體育之動向
page 7	公開排球賽保羅獲冠軍
page 7	菲遊憶舊錄港星隊征菲之一頁五
page 7	昨夜籃球決戰南華南第一卅九比卅一星島慘敗協會主席莫慶頒獎品
page 7	今日甲組獨幕戲雛鳳戰海軍下午四時在銅鑼灣球場雙方門守均好使人過癮
page 7	南華顯虎威光華淨輸三球
page 7	波蘭運動家多人為國捐軀
page 7	外匯牌價俱無變動英美匯市仍沉寂申匯市況穩定銀行頗多拋出
page 7	過支一週間股票市況好轉成交數量增加股價均告上漲
page 7	八九金市仍屬不振
page 7	金條昨多成交
