page 2	社評日本竟想處分世界
page 3	史汀生痛責侵略國主張美國實行護航援助民主國家摧毀侵略秩序
page 3	日本之侵略罪惡與納粹初無二致
page 3	我陪都人士歡迎史氏演講認為足顯示美反對軸心決心
page 3	各方之反響倫敦表示歡迎柏林假裝鎮靜
page 3	農本局改組為棉麻公司短期內即可實現
page 3	裴勃爾斥日演說意義極為重大孤立分子亦贊成戰爭
page 3	法日商約簽訂後法人深表不滿認為該約僅對日本有利
page 3	廣州日兵反戰暴動
page 3	詹森即將離港高斯月底到任
page 3	日圖向澳增購羊毛
page 3	美戰鬥機運抵荷印
page 3	粵嚴懲貪污曾磊等被扣嚴辦
page 3	菲律濱當局將向美借款
page 3	日方經濟更形疲窘
page 3	日報似醉如狂大談國社主義
page 3	滇省府決定選送留美生
page 3	日機襲陝
page 3	米蘇里榮譽章本年贈予本報華盛頓重視
page 3	史達林出任要職繼莫洛托夫為人民委長倫敦人士極重視
page 3	虞洽卿赴西北考察經濟情形
page 3	本年日蝕天文學界籌備觀察
page 3	行政院決方願維鈞使英魏道明使法
page 3	江寧黃色新聞
page 4	英議會激烈辯論後一致通過信任政府對於應付過去之危局艾登外長作詳細報告
page 4	美戰時內閣舉行特別會議增造轟炸機供給民主國禁止移交船隻案遭否決
page 4	阿王塞拉西重返阿京入城時民情興奮
page 4	英國空軍的戰略梁邦彥譯自美國幸福雜誌三月號
page 4	羅斯福部統微感不適情形並不嚴重
page 4	希軍艦多艘抵亞力山大
page 4	伊方拒絕土國調停大批英軍抵巴斯拉
page 4	南美國家痛惡軸心國墨外長表示決後抗暴力阿總統呼籲援助民主國
page 4	瑞典外長正式訪芬京芬外長親自迎迓
page 4	孟席斯過紐約赴加拿大
page 4	日又做謠謂美即將封鎖運河美認日謠不值一駁
page 4	一片夢囈日報所提之和平條件
page 4	美加合作將進一步將設立若幹事務局加緊動員北美資源
page 4	裴勃爾之怒吼
page 4	吉黑地震死亡數百人
page 4	史達林出任要職
page 5	桂林市政當局商平抑米價問題積極疏通來源以利週轉接濟邱昌渭談米價即可平復
page 5	論統銷貨品必購價格問題三
page 5	沈毅貪污案監禁十年董海基吳季禧亦判監禁五年
page 5	韶關米價飛漲當局搶救米荒必要時實行計口授糧法集中力量運輸各江糧食
page 5	南路澄清吏治鄧世增出巡雷屬勗勉海康紳耆協助縣政陽江副兵團長瀆職被扣
page 5	南路四邑災情一瞥
page 5	粵省開展春耕選種雜糧為主要作品凡屬舊耕地不得荒置
page 5	粵省驛運處擬恢復曲岐線陽江廣海線在籌備中
page 5	劫後贛北農村亟需農貸擬籌劃三百萬元正與銀行接洽中
page 5	東江米荒已獲解決
page 5	黃旭初視察桂東南政務促各縣公共造產
page 6	立法局今日會議通過穀米專營案廉價化粧品稅將予減低羅文錦提出質問案兩項
page 6	政府專營穀米聲中米價昨突趨跌官商進行商定專營米價西報表示專營事應審慎
page 6	僑港三大學畢業考試學生百七十一名
page 6	港婦女團體招待吳菊芳吳講粵婦女工作
page 6	大埔墟基記酒家被劫警探追捕發生激戰劫匪七人被拘獲五名華警梁錦賢捕匪殉職
page 6	衛國綸被傷害案昨開審暫押候
page 6	無場喜劇西人向花籃小便舞女覟狀均華然
page 6	魯斯夫婦今晨飛渝認能與抗戰之華人相見為榮中紅會及廣大昨設茶會歡迎
page 6	新警司嚴緝下賭業偃旗息鼓警探連日搜查可疑樓宇秘密賭窟無人再敢問津
page 7	本季足球封箱戲南華輕取蘇軍三比一松生惠堂定大局南遊新陣經此一戰堪稱滿意
page 7	學界籌振運動會各校代表會議開幕儀式昨經討論決定第一日秩序公布
page 7	學界排球大戰英皇仿林奏凱今日有高初級組各一場
page 7	恩德杯排球賽東英大戰改在卜公球場
page 7	南華征星星總會擬定比賽三場
page 7	足球裁判會要求總會責令各球場
page 7	外匯牌價申匯略縮英匯美匯市況沉寂
page 7	股票市況依然不振人心冷淡成交五千餘元
page 7	四四金市仍屬靜寂
page 7	國幣市況依然堅穩價格一度上漲
