page 2	社評禁烟百年紀念
page 3	鄂中我軍繼續優勝鍾祥潛江再奏膚功
page 3	六三禁烟紀念蔣委員長訓詞暴Ｘ在華盡量售毒同胞應該加以警惕
page 3	內政部長報告禁政情形各地普設強民工廠收容貧苦勞動烟民
page 3	抗戰時與抗戰後之禁政
page 3	Ｘ機六架在慈谿城區投彈
page 3	沿江我軍砲轟Ｘ艦一艘受傷甚重一艘中彈下沉
page 3	英日海軍司令在滬會談厦門各國外交代表現正討論鼓島問題
page 3	扣留英武官日方圖狡辯
page 3	我政府在英成立貿易委員會促進中英商務關係設法推銷我國物產
page 3	滬郊游隊已開始新攻勢
page 3	蕭佛成在暹羅逝世林主席電唁
page 3	美使抵港今日乘輪轉渝
page 3	梁寒操訪問記對於廣東政治極力讚揚一切都趨納於正常軌道五月二十七日桂林航信
page 3	文匯報昨未復刊Ｘ方大陸新報宣傳克明改變抗日態度
page 3	中國抵抗侵略為已亦為他人顧維鈞在法發表演說揭發日控制世界野心
page 3	蒙偽邊境衝突Ｘ誇大宣傳圖轉移視線刺激人心
page 3	日圓再跌偽銀行所發偽幣已達二十餘萬元
page 3	陳樹人等照常視事日方謠言無稽
page 3	滬綸昌工人擴大反英宣傳
page 4	英蘇外交當局續商協定問題續英將派員赴莫斯科向蘇解釋建議真意
page 4	東南歐的動態南攝政保總理的先後訪德土總統羅外長分赴英土
page 4	美議員的正義主有條件的授權總統對侵略國施經濟制裁
page 4	英工黨大會否決與其他黨成立人民陣線
page 4	英波互肋協定事實上業已宣告完成規定戰時雙方應合作
page 4	半月國際動態馬廷棟
page 4	英新潛艇試驗時入水下沉各方正在營救中
page 4	蘇最高會議討論完畢業已閉幕通過重要議案多項
page 4	蘇聯人口普查業已完成總數較前增加
page 4	同盟協定結果德義加緊合作空軍經濟已商有成就現從事海軍方面談判
page 4	德丹協定有效期為十年丹眾院已批准
page 4	德國女婦女又跑出廚房從事職業女子較前大為增加
page 4	安南王飛抵馬賽
page 4	Ｘ對歐政策又發生動搖商德義同盟後新局勢
page 4	美國西海岸間諜活躍當局嚴加防範
page 4	日閥又在搗鬼
page 4	義阿商約已正式簽訂內容猶未悉
page 4	中英經濟關係密切
page 5	偽軍勒索睦州不遂Ｘ擾新沙鄉被擊退團隊努力迎戰擊沉Ｘ艇斃Ｘ數十江門會城Ｘ無進展又將使用毒氣
page 5	潮汕路續施破壞人口疏散工作完成被Ｘ扣押之公主輪抵汕
page 5	澳門調查人口
page 5	俘虜鹽路上尉演講反侵略戰爭在流花橋被英勇游擊隊俘獲目擊日軍酷行引起反戰情緒
page 5	粵設游擊總部香翰屏任總司令某集團軍調整人事
page 6	英輪漲壇號在福州被Ｘ騷擾竟以機槍搜尋射駁艇貨舴無法起卸貨物折回本港
page 6	萬興泰慘案動機係為謀財當局委任姚木專差查辦在逃三伴兩人姓名查悉
page 6	國民宣誓百餘僑團今日舉行將有三千餘人參加
page 6	籌賑音樂會今晚舉行八時半在港大禮堂
page 6	吉隆坡服務隊日內赴東江等處各僑團明日歡迎
page 6	集賢工會明日舉行紀念會
page 6	兒童保育會二次遊藝大會改十七日仍假何東私邸舉行兒童服裝表演極為精采
page 6	東院總理有另行物色之說
page 6	中環街市三十餘家攤位準備停業遷出以鷄鴨及豬肉商為多因租值過昂營業不振
page 6	孤兒樂園一片共獲五項榮獎皇後平安今日聯演
page 6	纜車公司何東爵士聯任董事廉價票擴大通用期
page 6	政記公司解散案高廳今日提審原定於上月十七日審理因尚待研究故改期今日
page 7	比裏奧利單打賽許承基保持錦標造成三年來長勝不敗紀錄決賽時背部受傷雙打棄權
page 7	香港會棒球隊今日逢戰友啤下午二時半在嘉山交鋒
page 7	重量拳擊賽諾瓦力克比爾酣戰十一回合勝負始分比爾慘遭痛擊浴血滿面
page 7	芬蘭人以沐浴作為一種訓練六
page 7	女子籃球義賽十日開始
page 8	台灣青年反日運動史李友邦對上海戲劇青年說你們是四十年前的我們偉大的台流青年底門爭
