page 2	中日外交的比照
page 3	我軍追擊直迫欽縣桂南勁旅克復憑祥邕寧等縣趕辦振濟恢復交通各項善後費已增至七百萬元
page 3	慰勞總會發起抗屬義診運動
page 3	投誠反正
page 3	美僑一批由滬撤退返美
page 3	農林部發起全國冬耕運動滇省府令建廳著手實施李主席表示粵民食無虞
page 3	小林謁近衛報告荷日談判情形
page 3	桂黨部派員赴邕寧工作
page 3	重慶號慘案中航美代表調查竣事詳細電告美國務部副機師等由渝來港 
page 3	忠烈可風孫福堂為國捐軀
page 3	滬法租界法院形勢愈趨嚴重汪組織將實行接收
page 3	立法院例會
page 3	粵贛甘三省參政員選出
page 3	齊大羅天樂教授贊揚中國偉大抗戰三年實力有增無減前途樂觀最後必獲勝利
page 3	競選白熱化中美仍關懷遠東各種準備均積極進行對日本亦未放鬆一步
page 3	德國對歐洲經濟陰謀的剖視
page 3	蘇聯紅星報論中日戰事各戰場日軍均大受打擊
page 3	貪污者戒
page 3	上海市各團體電蔣委長祝捷
page 4	英艦開抵希臘加緊建築海空根據希抗戰精神極旺盛
page 4	法德合作已遭遇困難義國堅持割地要求貝當反對極端反英政策
page 4	美總統競選戰已達峰巔狀態
page 4	威爾基竭力爭選民抨擊新政虛耗公帑
page 4	德國建立強大潛艇隊在建造中者達百八十艘
page 4	德圖佔奪格林蘭氣象台德軍反被俘擄
page 4	倫敦空戰三月德方損失重大飛機二千餘架人員六千名德義機又襲蘇格蘭
page 4	赫爾聲明派赴加利比海之艦隊係從事於訓練與巡邏
page 4	颶風屢襲台灣糖業受打擊產量減三百餘萬擔
page 4	旅滬希僑籌集戰費
page 4	齊亞諾陞空軍中校
page 4	桂南善後
page 4	英艦抵希
page 4	德曾遣派和平使者赴美英星期捷報如是記載
page 4	羅斯福講外交政策援助中英抵抗侵略
page 4	美國大選前夕的論辯國際宣傳處編譯
page 4	希軍以攻代守
page 5	粵臨參會決議案兩宗省府公表辦理結果訓練助產人員辦理鄉村衛生令各縣收容留醫傷病兵義民
page 5	中山大學趕在粵北建校址何春帆任事務長
page 5	福建的新姿態上
page 5	中山日軍窺伺七區乾霧
page 5	粵驛運適齡壯丁將請准免服兵役每一驛站徵募伕力五百驛運工作積極開展
page 5	高信黃麟書轉往西江視察四邑已告完畢 
page 5	台城善後地方當局積極進行
page 5	西康日記一九八第九編九龍木裏途中
page 6	萬山海上日艦來往頻繁深圳日軍續有增加困駐各村尚無進犯模樣南頭日軍嚴禁小艇駛港
page 6	本港英籍婦孺在澳洲生活近況珍禽異獸大受童稚歡迎婦女輩多以絨冷織衣物
page 6	昨日文咸東街新太章紙店失火焚燬樓宇一層損失未詳起火原因不明幸未傷人
page 6	南僑關懷祖國輸將與日俱增限制匯款則例將予修訂本年成績必將超過去年
page 6	澳越線昨已通航小廣東輪由越駛澳
page 6	港府華員損助戰區救護隊每月國幣二千元
page 6	本港僑校響應節建儲運開始推動成績當有可觀各教職員將按薪額儲蓄
page 6	潮汕屬僑胞由港繞道返鄉經鯊魚涌入興寧返汕或則乘帆船繞道前往 
page 6	中大留港學生全部入粵上課定於本月十日在校報到上海商業銀行撥獎學金萬元
page 6	儲蓄辦法
page 6	築防空洞
page 6	威靈頓街
page 6	報紙統計
page 6	新戲服店
page 6	印人總會
page 6	張司令長官頒發招致港僑疏散計劃飭令省振會及港處辦理尅日成立港僑疏散委會
page 6	港郵遞送遲滯原因郵政司對記者解釋
page 7	星島險裏逃生三比二力克士葛最後三分鐘郭英祺奠定大局蘇軍有勇無謀輸在射門乏術
page 7	德權鼎賽陸智夫雄視德組記者隊敗於工餘
page 7	國產經港出口總值四萬萬元一月份至九月份統計
page 7	光海之戰
page 7	光華二度佔先幾乎勝海軍最後四分鐘打成四比四
page 7	工程和海軍
page 7	春秋之筆
