page 2	北歐戰幕揭開以後 
page 3	國民參政會昨閉幕蔣議長闡述三要點
page 3	兩年來的三點貢獻
page 3	傳副司令長官勉綏省軍民再接再厲爭取最後勝利
page 3	滇省防軍將舉行大演習龍主席決定親任統監 
page 3	又一陰謀日人偽造法幣企圖混淆行使
page 3	桂省府調整機構下月一日起實行
page 3	粵幹訓團將擴大組織
page 3	贛北我軍大勝克復奉新靖安乘勝向安義南昌挺進日軍三次反攻均擊退
page 3	滬濬浦局副監工被人狙擊斃命前公安局巡官亦被擊傷
page 3	汪兆銘由平返寧偽組織開張後經費不敷現自動減價求主子開恩 
page 3	參政會之收穫
page 3	贛北勝利
page 3	北海大戰
page 3	滇省羅平縣發現硫磺礦建廳准礦商開採
page 3	法大使返渝
page 3	參政會九次會議通過議案十八件
page 3	滬工部局競選已開始角逐英美與日各出全力鬥爭誰勝誰負今晚可以揭曉
page 3	制憲問題貴乎能行
page 3	最後希望團結努力 
page 3	誅斥敵偽保存正氣
page 3	戰時經濟前途樂觀
page 4	聯軍對德海上鏖戰北海狂風怒濤雙方損失均大德軍續向挪威深入英軍將出動 
page 4	瑞典表示中立惟仍保留防衛權利荷比採取戒備行動
page 4	挪威對德媾和消息倫敦認為未可置信
page 4	美決以飛機援助聯軍決定排除一切障礙如期交付聯軍訂貨
page 4	奧斯陸已淪陷德手挪軍據守近郊防線
page 4	蘇對北歐戰爭無意加以干涉惟對局勢正密切注視外傳蘇將侵犯芬蘭認為可笑
page 4	德艦掩護士兵登陸挪威海港先後被佔
page 4	駐日德大使往訪有田傳達進兵北歐情報日表示政策仍不變
page 4	關於憲草經過及其內容的說明三
page 4	英法軍事會議討論軍事外交對策雙方態度完全一致
page 5	灣仔葡警未撤退日軍又犯婆蘿島西江方面仍隔河對峙中
page 5	日統制絲繭滬市絲廠紛遷內地砂石磚瓦亦遭統制
page 5	蘇省贛榆縣長英勇殉職苦鬥經年戰績卓著
page 5	馮涌日軍覆舟全數溺斃粵北我軍出擊奏捷 
page 5	粵積極推進衛生事業擬定本年度計劃
page 5	關於憲草經過及其內容的說明上接第四版
page 5	粵教育行政重要措施三月份共有十項
page 5	閩省民間四大陋習停柩溺嬰纏足童媳省府特訂辦法嚴行禁革
page 5	粵省府規定區長薪俸暫照六級折支
page 5	南京汪記戲班全由日人控制市面商業依然蕭條冷落 
page 6	港府昨頒新法例擴大郵電檢查範圍統制在港註冊飛機輪船隨時封閉水陸交通路線
page 6	擴大檢查範圍
page 6	嚴防奸細活動
page 6	封閉交通路線 
page 6	燈火管制演習今晚舉行空襲警報先後兩次市民注意遮蔽燈火
page 6	傷兵之友運動九龍商界響應前日會議即席募得五千餘元議決組織分隊日內出發徵求
page 6	陸軍演習愈趨緊張假想敵軍被擊退敵魚雷艇襲擊南岸不逞聖約翰救傷隊成績極佳  
page 6	世界多事之秋頭髮竟成珍品長髮每斤三元碎髮五角歹徒肆虐搶剪婦女頭髮
page 6	渝市籌備舉行三民主義文化展覽會中央海外部電本港徵集文獻收件處德輔道中國文化協會
page 6	東華三院著手修葺義莊院中棲留所及廚房亦將改建各總理每日均有到院辦公者
page 6	皇后平安 
page 6	中央戲院
page 6	丹挪遠東航業前途極為可慮丹挪兩國領事及巨商等尚未接到各該國之訓示 
page 6	禁止機輪離港
page 6	商店住戶
page 6	全體委員熱烈贊成
page 6	遮敝辦法
page 6	即席募得五千餘元
page 6	普慶戲院
page 6	國民戲院
page 6	利舞台
page 6	太平戲院 
page 6	海外部電
page 6	徵集品名
page 6	四個時間 
page 6	車輛燈火
page 7	足球界三巨頭會商組隊南遊拉集精銳擬用華聯隊名義人選分配尚待考慮中
page 7	南華體育會主催學運籌賑會競賽項目豐富盼各學校參加顏成坤昨招待記者
page 7	足球季將完棒球乘時崛興
page 7	大會全體職員一覽
page 7	足球總會發表防止飛票步驟
page 7	公開項目種類繁多
page 7	港圓外匯價續低縮申匯回淡英匯仍靜
page 7	桐油湧到市暢價漲
page 7	股票市仍穩定各股價格依然無變動全日成交十一萬餘元 
page 7	八九金市復形活躍價格大漲創新紀錄
page 7	東方籃球隊明日演習盼全體到場
page 7	滬廿一英里馬拉松跑一四八人參加
page 7	大會宗旨籌賑雞民
page 7	報名開始參加踴躍
