page 2	社評滇緬公路改進問題
page 3	八中全會昨日決議郭泰祺任外交部長劉維熾繼長海外部吳鐵城調任中執委會秘書長全會宣言重申實現民主政治信念
page 3	今後致力之事舉要以告國人
page 3	促成憲政決心蓋歷久而不渝
page 3	滇緬路上一三月二十八日昆明航信
page 3	英美荷會商增強遠東防務普法姆元帥過菲
page 3	注重人民生計實行統制經濟
page 3	墨索里尼與松岡一度舉行談話傳內容涉及軍事及經濟
page 3	我軍向潮陽反攻城郊重要據點已克復多處
page 3	英議員促政府保證援華英報對我法幣極樂觀
page 3	滬工董問題對英美日協定各報大肆抨擊
page 3	美總統重視寇里報告認為內容極饒意義高斯談話對華深具信念
page 3	日人在淪陷區經濟侵略不逞
page 3	滇緬鐵路英當局正式聲明將撥款興築緬段
page 3	韓國鈞無恙黃炎培函告本報
page 3	英大使赴星
page 4	德對南繼續神經戰企圖破壞南國團結南邊境加緊疏散工作
page 4	艾登未赴南曾謁見希王
page 4	由歐返美記者述義國政情義曾發現革命醞釀德國密警操握大權
page 4	里昂民眾反德示威高呼羅斯福萬歲
page 4	德義對美抗議柏林猶加否認南美德義船隻紛紛自行破壞美國加緊援助民主國
page 4	美京所傳抗議內容
page 4	美墨協定簽字美機將可飛赴巴拿馬
page 4	美港法輪亦被監視
page 4	紐約揣測美將參戰
page 4	德國續施壓力迫法對德合作達蘭返維希將晤貝當
page 4	美國決意徵用各輪
page 4	美當局以和平態度調解勞資糾紛將訂新法限制爭議福特廠工人靜坐罷工
page 4	英國對法決加緊封鎖法貨資德查有實據英美討論齊一步驟
page 4	東非英軍克阿斯馬拉繼續向東進迫馬薩華
page 4	值得興奮
page 4	美德關係如何
page 4	秘魯禁止海通社發稿因傳播不利消息
page 5	桂開發農田水利預定五年內增闢一百餘萬畝大規模灌溉區現已完成兩處
page 5	南洋華僑師校將於秋季開學現正募集款項修築校舍期於本年六月全部完成
page 5	西康日記第十四編麗江雜記
page 5	中山日軍調動頻繁連日演習別有企圖新會南區各地已趨安定
page 5	不是戰國時代的重演而是人類解放時代之來臨
page 5	珠江水利局整理西江圍基楊華日出發各地巡視
page 6	明日四四兒童節僑團學校準備慶祝港九青年會均作體育表演教聯會獻旗籌款保育兒童
page 6	黃文山過港談話在美整理黨務成績尚佳設立三青團參加者踴躍
page 6	婦女兵災會籌備義演已編定名劇兩齠
page 6	記者公會昨招待教育界名流
page 6	嶺大國民月會鄺炳舜出席演講講述親歷國內後之觀感希望各同學本校訓努力
page 6	若干路貨運價格續增實由環境所造成
page 6	總督府或將全部拆卸
page 6	滬工部局華董郭順來港甚少與外間應酬
page 6	工程師學會香港分會新職員就職
page 6	禁運出口貨物一覽
page 6	羅達免費學額委會資助香港大學畢業生升學牛津大學研究院並設中國學生升學港大免費學額
page 6	三月份天氣報告上半月天氣陰沉
page 6	女青年會徵募運動結束總成績並超過預定目標昨日舉行報告成績大會
page 6	先施公司舉辦兒童手工展覽
page 7	東星足球混合隊籌備遠征澳洲人選大致內定將於月杪出發預定在該地比賽廿七場
page 7	足球縱橫談三
page 7	總會月會九日召開
page 7	督憲杯足球決賽定十九舉行下午三時半在香港會場交兵聯賽厭軸戲聯隊戰陣昨選定
page 7	甲組足球補賽士葛告捷三比一勝海軍
page 7	東方會足球隊在菲各戰取消現決定候輪班師返港籃球隊行今日解決
page 7	王廷杯女籃球防空逼和南華廿三比廿三難分高下戰情激烈數度成平手
page 7	恩德杯週末精采戰培英戰東方
page 7	外匯牌價申匯回英匯美匯仍乏生氣
page 7	股票市況蓬勃賣戶居奇操縱奢求不已昨日成交總值五萬餘元
page 7	國幣市況仍穩但靜
