page 2	芬蘭鱗爪
page 3	桂南戰事轉入山岳白主任電粵殲滅戰即將開始澄海日偽窺閩粵漢南段告捷
page 3	汾河西岸繼續掃蕩攻克辛村進迫洪洞黑龍關仍被我包圍
page 3	贛北我軍猛攻奉新殘餘日軍潰退城內皖南香山日受重創
page 3	廣西的透視一
page 3	綏遠半年來黨政軍猛進塞外冰天雪地寒風刺骨英勇我軍仍能時創日軍
page 3	不買賣日貨浙西金華等三縣舉行市民宣誓會
page 3	滬金融機關接獲恐嚇信白利南路汽車中竟拋出人頭一個
page 3	桂各界舉行保衛西南運動大會致電慰勞前方將士誓驅侵入桂境日軍
page 3	日機到處肆虐蘭州上空被我擊傷多架一架墜甘東我正搜索中
page 3	推進黨務川黨部督導委員已分途出發視察
page 3	粵省府撥款推廣東江墾荒運動省行儲金存戶踴躍
page 3	珠江航運問題英日成立妥協美遠東要員在菲開會
page 3	京滬路日兵觸地雷被炸毀蘇嘉路亦發生同樣事件
page 3	滬神州日報用美商名義復刊
page 3	主計預備會議三十日已閉幕通過重要議案
page 4	芬新閣堅持抗戰蘇承認偽政權願與其談判互助協定羅期福發表正式聲明
page 4	芬被佔區內成立人民政府將與蘇聯談判停止戰事
page 4	蘇機仍活躍芬蘭城市大火海岸防軍擊沉蘇艦一艘
page 4	美現正考慮召回駐蘇大使國務院將顧及遠東問題
page 4	歐戰觀感錄巴黎十一月十八日航信
page 4	丹麥表同情群眾舉行示威蘇攻芬蘭傳獲德國同意
page 4	印度擁護聯軍統治階級嫉惡納粹均願以實力助英法
page 4	法參議院通過授權法
page 4	美共和黨總統候選人發表
page 4	西線戰訊德軍砲擊摩賽爾
page 4	何謂局部
page 4	珠江航運的妥協
page 4	川縣政人員甄審會成立定後日開會
page 5	廣州成恐怖世界我空軍轟炸市郊日軍拉伕被捕萬餘人市內居民同逃避一空
page 5	鄭宗輝被綁案在博羅破獲迷戀色情正中美人奸計通風報信警探圍剿救出
page 5	西康日記十二
page 5	粵省公路建設概況重要公路多已完成戰時交通裨益甚大
page 5	瓊崖戰事我迭獲勝利
page 5	新都銀色新聞婦女界勸募寒衣聯合大公演中電忙拍新片怒潮演出活躍
page 5	國立華僑中學經政院核准在滇籌設定明年二月正式開學
page 6	本月起實施米石購運貯存辦法入口米每擔徵一角二仙作中央基金償米商損失
page 6	大批五仙鎳幣中旬可運抵港一元新紙幣換出六萬元財政專家楊格氏將來港
page 6	中區自衛團募捐成績分期公佈以昭信守
page 6	市政衛生局定五日下午開會
page 6	童軍舉行大操港督羅富國昨親臨檢閱對童軍服務精神極稱讚
page 6	兒童保育院新院將落成梅芳學生到院演劇
page 6	義勇軍高射砲隊昨開石澳露營本週內將補習實彈射擊港督定五日將親往檢閱
page 6	商業密碼暫行延期核准
page 6	募寒衣歌協今晚演唱地點在孔聖堂
page 6	携電報密碼到港被拘昨日開審被告未到保款充公出票拘拿
page 6	統制糧食專員重新訂定糖價
page 6	自衛團團員勇擒竊匪撲水拯救投海婦人
page 6	隨國服務團舉行出發授旗禮
page 6	軍政雜誌第八期業已到港
page 7	加山麓排演新戲雛鳳迎鬥東方德渾李四披甲統三軍
page 7	一筆糊塗賬
page 7	香港會埋伏兵南華南贏得險
page 7	丹普西下週飛馬尼拉
page 7	籃球聯會今午召開會議
page 7	昨夜籃球義賽培英克港星卅七比十八輕易得勝利頭台戲南華不敵老爺兵
page 7	米杜息戰和聖約瑟
page 7	光華改用新陣二比一勝九龍
page 7	美菲荷匯牌價回漲英匯靜寂申匯略淡
page 7	過去一週間股票市漸好轉派息期近買戶開始運動全週成交總值廿八萬元
