page 2	日本南進的步驟
page 3	欽防沿海已無日艦我軍掃蕩瑞昌殘日晉南我軍連克要點進迫長子
page 3	桂南血帳一頁劫後邕賓路鄉村調查民眾死難者逾五千人
page 3	滇改良糖產向爪哇購蔗種試驗
page 3	海外僑胞投資後方本年逾十億
page 3	越逮捕美領事件美將提抗議國務部接河內美領報告述淩頓雅各比受辱經過
page 3	泰當局發表談話謂英泰關係一向友好對越要求亦守有範圍
page 3	黔省政治猛進政務巡視團頗多好評省主席吳鼎昌將返筑
page 3	航業學會昨日在渝成立
page 3	日本元老碩果西園寺公逝世享壽九十二歲
page 3	川民熱烈獻糧公役亦不後人蔣委長嘉獎童文才
page 3	美紅十字會振江南難民米麥一批運到上海
page 3	中美航空線通航五週年美各報均著文紀念
page 3	海參威美將設領美蘇關係進步日對蘇無理要求已遭拒絕東京困惱動員海軍後備隊
page 3	陳嘉庚赴黔
page 3	粵有功鄉民省府特嘉獎良口一役論功行賞
page 3	歐戰特約通訊大時代的巴黎15孝隱淩卓寄自巴黎
page 3	江南遊擊隊擊沉日貨船
page 3	桂忠烈祠即將興工
page 3	振濟晉災中央續撥五十萬元
page 3	孤島兒童愛國熱情募款購機呈獻
page 3	建設新湖南省主席薛岳談施政計劃積極生產創立各項工廠
page 4	希軍乘勝猛進傳又攻入波格拉多克深入阿爾巴尼亞腹地英軍用品大量援希
page 4	斯洛伐克繼匈羅後參加三國協定杜加忝附驥尾發表感激宣言
page 4	英將向美要求進一步援助英大使羅齊安抵達紐約
page 4	英相邱吉爾電賀希總理
page 4	英德兩國空軍不斷互相報復
page 4	拉伐爾全無良心法國報紙倒楣
page 4	教皇不憚煩勞又將呼籲和平
page 4	南斯拉夫大水成災
page 4	蘇駐德大使將由德卡諾索夫繼任
page 4	西班牙決定歸併坦吉爾
page 4	美參議院外委會主席喬治氏獲選繼任
page 4	美國將委任李海少將使法華盛頓方面頗予以重視
page 4	英瑞商輪被魚雷襲擊
page 4	悼西園寺公
page 4	中蘇友誼之基礎
page 4	丹尼森爵士在澳洲逝世
page 4	每況愈下
page 4	羅代表團今日赴蘇進行經濟談判
page 4	合眾社記者綜論歐洲戰局未來大戰將在地中海上空軍將為制勝主要實力
page 4	巴本抵土謁土外長長談
page 4	羅總理事畢由柏林返國
page 4	保總理外長傅明日赴德
page 4	英地中海空軍再炸達蘭多港
page 5	傷將士發起榮譽號獻機運動李主任張部長熱烈贊助榮譽員兵代表抵桂獻金
page 5	澳門傳出消息珠江昨日開放來往俱是日本輪船葡輪航行期仍未定
page 5	中山日軍增防江會
page 5	南路游擊軍陳生繼任指揮官陳氏將出巡視察
page 5	桂省苗民踴躍當兵
page 5	粵省府搶修全省公路明年四月全部完工
page 5	我當局準備招待馬來亞回國僑胞第一批歸僑二百餘人將赴粵鄭善政現已抵惠陽主持一切
page 5	粵二區加緊興修水利
page 5	教育部訂定工作競賽辦法提高工作技術增進效率並訂考核辦法予以獎懲
page 5	四川橫斷記三
page 6	模型飛機協會昨日正式成立同時紀念防空節頒發比賽獎品理事會後日舉行首次會
page 6	成立典禮
page 6	主席致詞
page 6	馮思敏詞
page 6	紀念防空
page 6	王曉籟詞
page 6	各界贊助
page 6	小型飲食店全盛時期已過時局動盪食品售價日昂衛生法例甚嚴開業不易
page 6	中山大學臨時通訊處定本月底結束
page 6	高爾將軍派員東來聯絡
page 6	兒童劇場昨開幕赴會者千餘人盛極一時綠白劇團演出小英雄等兩劇
page 6	大公書局舉辦廉價部
page 6	對英獻金
page 6	濬海工程
page 6	垃圾機車
page 6	亞彬彌道
page 6	白銀丸傳將於今日開港
page 6	汽車改用煤油行駛成功發明人梁守一昨招待記者報告發明及試驗行車經過
page 7	督憲杯初賽華聯隊小勝西聯侯澄滔一針見血奠定大局羅便臣迭救險球表演出色
page 7	兩軍混戰各無建樹
page 7	球藝概評
page 7	陪都體協會舉辦國際網球賽比賽四場觀眾踴躍中外名手表演精彩
page 7	學界籃球賽今日兩場中級華仁對英皇初級仿林對南大
page 7	今年一月至十月港貨進出口情況疋頭五金等類俱見低減影響所及物價多告大漲
page 7	女子體育表演大會記者會定期舉辦
page 7	上海波報懷德盃慈善賽東華和臘克斯
page 7	德權鼎決賽均成和局榮發應勝而未勝
page 7	易地交鋒阿滔奏捷
page 7	看台公論
