page 2	應該怎樣對付德國
page 3	桂南我軍攻至三塘邕賓路展開殲滅戰皖南戰況猛烈我軍克復潛山
page 3	黔主席吳鼎昌由筑抵渝述職談三年來施政情形
page 3	滬西被封鎖居民已餓斃十人法租界高法院書記官長被日人搜捕幸未遭毒手
page 3	日機四出肆虐濫炸重慶昆明
page 3	胡大使演說希望美人認識日本全力援助中英兩國
page 3	海外閩籍僑胞投資建設桑梓合組福建華僑實業公司將由造林畜牧墾荒著手
page 3	鄂北農工商業日漸繁榮各銀行紛紛投資
page 3	慰勞總會新訂捐款辦法五項
page 3	英美加緊援華印度將供給我鋼鐵美輪載貨源源東來
page 3	荷日談判日人承認進行緩慢
page 3	日和與汪退論日本南進與結束事變
page 3	法泰談判傳已陷僵局泰國態度相當積極
page 3	撤僑消息 
page 3	蘇日談判即將舉行
page 3	國府否認無稽和謠
page 4	希特勒又邀見貝當法國將受最後判決英加派艦隊鞏固直布羅陀
page 4	倫敦各報一致認為此乃侵英失敗結果
page 4	希特勒竟親自出馬足見事態相當重大
page 4	美對遠東防務不斷充實中美菲軍隊充分合作海軍人員開夏威夷
page 4	美總統與國務卿商計歐亞大局並曾召見陸軍參謀長羅斯福演講斥獨裁國
page 4	多瑙河國際會議蘇派代表參加
page 4	戈培爾演說謂一切皆有準備
page 4	智利地震摩天樓亦震動
page 4	美國機廠效率優異英美所訂飛機皆能依時交貨
page 4	美軍官赴英視察空戰術
page 4	日本德國加緊商務勾結日輪代德載運原料
page 4	加將訓練跳傘部隊以備反攻時用
page 4	布列特演講美應加堅警惕日與軸心國家勾結不啻明白對美警告
page 4	美陸軍航空隊實行親配置加強實力全國劃分四區創立高度機動戰鬥部隊
page 4	麥克納特發表演說為新政辯護
page 4	日潛艇潛水無蹤遇難者眾
page 4	配角的不濟事
page 4	法國之命運
page 4	威爾基答辯羅斯福演說
page 4	海通社長在美被起訴因未遵照登記
page 4	日本南進的造因談談所謂大東亞經濟集團的內容二
page 4	德義宣傳西將參戰
page 5	陪都積極建設市區交通計劃決定市內幹路三條支路五十餘條郊外浮圖關起接成渝川黔路
page 5	建築師談設計要點
page 5	蔣委員長獎勉粵財廳廢除廳款表現革命精神聿新各方觀感臨參會亦專函致佩
page 5	粵臨參會專函致佩
page 5	桂競秋傳將任皖財廳長
page 5	赤坎愛國僑紳堅決拒絕誘脅我當局特電勉以彰正氣
page 5	粵綏署槍決舞斃人員
page 5	韶關募寒衣大會收入代金一萬餘元再將舉行一日一仙運動
page 5	嶺大校長李應林抵韶擇勘校址
page 5	日本火柴運澳傾銷澳火柴廠受打擊
page 5	外匯牌價不動申匯市況好轉
page 5	國幣價格昨略上漲
page 5	四四金市依然淡靜
page 5	股票堅靜成交一萬餘元
page 5	戴院長在仰光廣播
page 5	岐關車路又傳下月開放
page 6	港九軍械廠職工請當局訂恩恤辦法俾於遭難時得賴以保障將擬呈文轉呈本港政府
page 6	節建儲運各隊及個人成績聞已由節建儲運理事會呈請當局分別給予獎勵
page 6	英婦一批下月初疏散
page 6	兒童劇場今日常委會議討論開演日期
page 6	印刷業工會響應司街永覺之呼籲
page 6	與德佔領區居民通信辦法規定文字務須簡短不得塗改不得附寄地圖圖樣照片
page 6	胡文虎否認任崇正會會長
page 6	中化分會
page 6	港灣航運
page 6	大學聯誼會
page 6	馬會捐款
page 6	高里斯抵港
page 6	時症報告
page 6	飛剪機脫班
page 6	義勇軍實習
page 6	工程師協會
page 6	紅磡就豐米店女店東夢中被殺死者為已故列等探目李福繼室原因不明兇手逃逸無蹤
page 6	青記分會會員登記辦理完竣共有會員九十三人
page 6	加拿大教士十一人前日抵港一部準備赴重慶
page 6	旅滬美僑一批經港赴菲據談上海生活程度高漲市民顯然受到嚴重影響
page 6	西報載日領談話港粵航運將可恢復
page 6	建國大畫史原稿展覽會包羅萬象頗多珍貴圖片今日起在九龍繼續舉行
page 7	東方迎戰大枱客海軍對抗士葛隊聖約瑟全力出擊米杜息
page 7	明日南星大戰雙方陣容排出
page 7	勝負關鍵論
page 7	全港華人週年水運定下月初舉行
page 7	德權鼎賽今日比賽兩場
page 7	南星的實力比較
