page 2	社評蔣委員長痛駁近衛聲明
page 3	華南戰局有新醞釀爭取戰場上的主動地位綏北我游擊隊包圍武川
page 3	我軍迫岳陽Ｘ軍已疲於奔命
page 3	晋西南劇戰我軍迭克各據點
page 3	訓練侵華人材Ｘ撥經費三十萬大量製造侵略仔
page 3	薛岳將軍談抗戰以血與肉保衛國土我有五彈足克頑Ｘ
page 3	黔煉油廠不久即可開工
page 3	滬美大學日無意交還原主
page 3	蔣委員長紀念週訓話原文詳細駁斥近衛之聲明
page 3	汪副總裁將來港傅將轉法國養病陳公博氏昨到港
page 3	出版品郵寄准予通融辦理
page 3	英報鼓吹從速援華日本已感到筋疲力盡中國遲早必獲勝利
page 3	Ｘ機炸蒙胞杭錦旗一幕慘劇
page 3	滬工部局總裁費信惇辭職照准
page 3	貨物出口政府將頒新章
page 3	杉山聲稱日在華北地位不穩
page 3	滬西劫案匪徒全被兔脫
page 3	日內閣傳將改組閣僚未贊同近衛計劃總動員案將全部實施
page 3	竭澤而漁控制生產
page 4	西非法駐軍開赴索馬利蘭因義集中軍隊所致法各報態度極堅決
page 4	法國聲明不能讓步
page 4	法揆出巡有軍事性
page 4	戈培爾著文抨擊教皇
page 4	美失業工人九百二十二萬餘
page 4	克明斯評論德國將向西發展不能節流勢必求開源陸空軍演習意在要挾
page 4	戰時日本農村後筑三郎作
page 4	汎美大會結果羅斯福表示滿意已達到所預期目的德報論調極盡挑撥
page 4	遠東的毒販破壞國聯良好工作毒害中國責任難逃
page 4	美國北部大風雪伊里湖之風浪彷彿小大西洋
page 4	英德在東南歐商業衝突的尖銳化
page 4	蘇日漁約交涉終無結果意見難接近日本焦躁談判定來年繼續進行
page 4	保財長布芝洛夫
page 4	西叛軍攻勢被截加泰隆被佔四百方哩政府生力軍補充前線
page 4	美艦隊演習
page 4	匈斯國界德聲明維也納仲裁應視作最終之决定
page 4	捷軍火廠法國股東股票轉讓捷克政府
page 4	日人民陣線山川等工人以破壞治安定罪
page 4	Ｘ人的侵華訓練
page 4	杉山喪氣
page 5	熊略率部赴翁源粵自衛團管理處元旦成立正副處長同時就職各縣團隊從新整編以厚實力
page 5	新管理處元旦成立
page 5	各縣團隊從新編整
page 5	Ｘ犯傑洲被我團隊擊退
page 5	惠陽重光記
page 5	丘專員到博放賑惠陽秩序漸告恢復
page 5	犯金利Ｘ被擊退海口谷埠多被炮轟西江鞏固四邑尚安
page 5	勒流墟一度被劫百餘Ｘ兵登陸騷擾鎮長不屈壯烈殉職
page 5	河道封鎖公路破壞粵內地交通困難雖有三線可通但輾轉費時五邑西江客貨多取道江門
page 5	澳門婦女慰勞會元旦賣花賑難民各校員生紛紛贊助
page 5	瓊山撥款儲糧
page 6	賬聯會今日接收深圳難民收容所將進行救濟內地災區錦田領地辦難民墾植
page 6	研究新稅會舉行首次會議昨日談話祇屬交換意見
page 6	商會決積極發動一元運動召開特別值理會商討銀行界表示盡力協助
page 6	緊急難民會昨日開大會報告一月來工作
page 6	元旦銀行界全體休業
page 6	留德學生十餘人過港返國工作將在港乘輪取道往昆明
page 6	寄廣州郵件經澳交Ｘ輪轉運此辦法僅屬臨時性質
page 6	參加金門博覽會物品今日運美第二三批將繼續送出
page 6	英賑華會勸捐委會昨日舉行會議
page 6	德猶二百餘又過港往滬
page 6	收音機用戶應換新照無線電局昨通告地址在郵局二樓
page 7	新年足球義賽正規軍人選產生老英雄仗義下山充當游擊手杜造規則十三人對杭十一人
page 7	菲網球選手昨日表演雙方互有勝負技術平平演出殊欠精彩
page 7	一九四０世運會場鳥瞰
page 7	勃琪眼光中的業餘網球十傑
page 7	教育部體育組定期開研究會討論抗戰時期體育行政方案
page 7	觀戰別記
page 7	南華遠征
page 7	女子籃球秩序改編
page 7	外匯牌價無變更英匯美匯先穩轉靜申匯市况初緊後淡
page 7	上海外匯益見好轉
page 7	股票市益見穩定低價股票成眾矢之的匯豐銀行股漲勢最勁
page 7	金條略有成交
page 7	伶星足球義賽收支帳目公佈
page 7	八九金市昨仍不振買賣俱少價略低降
