page 2	美澳關係的檢討
page 3	我軍待命開往越邊越人對華咸表好感蘇聯大使訪外王探詢越局
page 3	僑胞踴躍捐輸救濟祖國傷兵本月初續收到四十餘萬
page 3	渝市為陪都後市民發起慶祝各團體今日開會籌備
page 3	粵省府便利歸僑令四六兩行政區在惠陽設辦事處 
page 3	滬法院職員繼續被威脅歡迎向七十六號報到
page 3	賴登中將繼任英駐華艦隊司令
page 3	陳嘉庚等參觀吉安建設
page 3	各地發動徵募寒衣
page 3	滬各方開會商警務合作日商參號被劫去四萬元阜豐麫粉廠主被匪綁架
page 3	我再度克上思晉豫戰事激烈
page 3	最高法院院長焦易堂辭職
page 3	劉文輝赴蓉 
page 3	國防經濟建設論
page 3	朝鮮義勇隊由前方抵貴陽將赴某地工作
page 3	川紳義舉捐穀充軍糧獲省府嘉許
page 3	湘省下年度施政方針共計五十六條
page 3	王揖唐飛寧傳與汪某接洽要公 
page 3	驛運管理處長王國華抵昆明謂滇省驛運實行必順利
page 3	節約建國儲蓄各省積極推行
page 3	越南新聞中電派員實地拍攝將在渝市公開放映
page 4	邱吉爾演說德軍進犯在即德艦在海峽一帶活動英艦隊將採猛烈攻勢
page 4	倫敦防務增強砲火空前緊密
page 4	保貪得無厭又擬對希索地要求在愛琴海取得口岸保報載義匈同意保要求
page 4	賴尚伯謂自問無罪願返法受審
page 4	澳供應部購儲原料作必要時準備 
page 4	田邊俊介英當局已予釋放
page 4	美總統競選前奏兩黨候選人發表演說眾參兩院同意徵兵案 
page 4	滬美僑贊成羅斯福連任一致要求強硬對日
page 4	美國艦隊實力堅強隨時可予攻擊者以打擊美加二次聯防會議休會
page 4	美加合資製造軍用品
page 4	小林抵荷印經濟談判即將開始駐美日使人選難定
page 4	義軍似在準備三路進攻埃及
page 4	義擬就計劃開發非市場傳已獲得德國贊助
page 4	法越人應該起來自衛 
page 4	孤島　
page 4	墨政潮表面化亞馬松宣布為總統 
page 4	渝郊觀秋記一
page 4	德集大量軍隊候命進攻英國
page 5	粵草擬三十年度施政中心工作計劃省府積極促進行政效率劉佐人報告行政會成立經過
page 5	行政設計
page 5	行政考核
page 5	促進方法
page 5	國大代表通訊處暫設十四處
page 5	桂教廳推進電化教育分區訓練收音人員
page 5	西康日記一七○第九編九龍木裏途中 
page 5	江會方面日軍進犯馬山被擊退日艦砲轟銀洲湖西岸
page 5	赴石岐民眾被逐回
page 5	日解散洲
page 5	高瀾島又遭日　
page 5	贛省發動徵募寒衣代金定額二十萬元
page 5	婆蘿島邊
page 5	　反正遇難
page 5	韶關籌設華僑招待所
page 5	渝社會局便利市民購米設零售米商聯營處每日派員評定米價
page 5	行政視導
page 6	立法局昨例會通過戰稅法第三例商業組織購置物品折價辦法西商會與戰稅主任會商制定
page 6	戰稅法第三例
page 6	大學聯誼會明日舉行海浴會
page 6	廠商聯會雙十節舉行墾親會
page 6	潘序倫來港講學在廣大設講座
page 6	基督教團體節建儲運展期結束九一八辦理第三期結算至下月十日止為第四期
page 6	教電分會推薦血海花南洋片商爭購映權
page 6	僑胞的國民外交
page 6	統一招生　榜示一部分為考生報名號數恐有錯誤日內另行刊登
page 6	法領談越形勢港越交通如常停發赴越護照之說不確領館與越電訊聯絡未斷
page 6	港澳振濟會免費學額十五日起開始報名
page 6	書法團體會商提倡書法事宜
page 7	遠征南洋戰事結束星島班師返港比賽十四場九勝二負三和羅斗文留醫檳城昨始成行
page 7	一頁日記 
page 7	域多利主辦游泳冠軍賽各華會參加瘳落
page 7	警察陣容
page 7	傑志約戰軍需
page 7	滬國際網球中美決賽半途因雨中輟林王佔居優勢
page 7	全滬公開游泳比賽兩項仰泳創新紀錄
page 7	八百孤軍田徑成績優異
page 7	美菲荷匯牌介略縮英匯沉寂申匯好轉
page 7	股票轉趨沉寂買戶觀望成交寥落
page 7	國幣價格昨又回漲最高為二三二五
page 7	四四金市頗為堅挺
page 7	夏令籃球賽仿林校友勝晨鐘
page 7	籃球聯會定期頒獎聯隊人選已正式選定
page 7	南華會混合隊今日對抗砲兵明天甲組新陣容迎戰士葛
page 7	匈牙利體育概況下
page 7	足球總會明日召開委會討論場地等事
