page 2	社評如何提倡國防科學
page 3	敵機放毒殘殺平民我軍自動退出宜昌荊沙附近我軍向沙洋猛攻中
page 3	鄂北我軍挺進分路圍攻隨縣
page 3	豫中加緊反攻鄭州一帶激戰
page 3	浙東皖南殘敵侵擾經我阻擊竄回老巢
page 3	滬外匯黑市美政府决不予支持
page 3	財部貿易委會三公司將合併
page 3	美製飛機正巡邏遠東海洋派治抵檀島談話
page 3	就建軍問題論效率與經濟惟有建設機械化部隊兩個條件始兼而有之
page 3	中英企業增加股本
page 3	豫贛勞軍團分別轉往前方
page 3	普法姆抵澳出席軍事會議商討遠東問題
page 3	緬甸總理在英酬酢
page 3	羅斯福總統關懷遠東情勢日如冒險北侵或南進美國將毫不猶豫行動
page 3	行政院制定護僑指導綱要僑胞自願回國派員照料
page 3	事事模倣德國並不件件成功朝日新聞社論言中有物近衛見日皇報告要事
page 3	雷殷等一行抵泰和視察
page 3	滬寧火車觸雷出軌
page 3	中宣部分設書刊供應處
page 3	美參議院通過菲國防修正案
page 3	火柴食監專賣積極籌備即將實施
page 3	星督湯瑪斯盛讃我戰績出席局立法局預算會演說
page 3	台波登將軍飛返巴達維亞
page 3	泰國務院長重申立政策
page 3	美醫師來華在滇緬路服務
page 3	政院會議
page 4	莫斯科外圍戰事進入决戰階段紅軍退出維亞斯瑪
page 4	蘇德兩軍拚命增援蘇方部隊轉占上風
page 4	列寧格勒寧軍反攻蘇海軍在敵後登陸
page 4	英機對歐陸又展開攻勢德西北部目標多被轟炸法荷挪沿岸航運遭猛襲
page 4	美外海陸三部長主廢除中立法戰爭危險已迫近美國行動上不應再受縛束
page 4	噴火山上的日本二
page 4	美機援華新展望
page 4	英美勞工團結誓必始終併肩合作美工聯歡迎英代表一幕
page 4	美國援蘇物資不斷由美起運美總統對蘇具有信心
page 4	蘇科學家召開反法西斯大會
page 4	美將加強伊朗運輸線運供應品赴蘇
page 4	短評我軍退出宜昌
page 4	英軍抵亞昌吉說英官司員拒絕評論
page 5	敵軍兩萬開廣州江會在我控制中
page 5	粵省僑墾會成立推李主席兼任主任委員認捐款項已逾八百萬元
page 5	她死在實驗室裏悼念小麥專家沈驪英女士
page 5	我國小麥育種家沈驪英女士逝世在實驗室工作時突患腦充血平生研究小麥育種頗多貢獻
page 5	粵省再裁撤苛雜十八種
page 5	廣西企業公司接辦省營各工廠各廠經理抵桂進行交代邕寧將籌設第二面粉廠
page 5	桂省限制獸骨出口充實燐質肥料發展農業生產
page 5	觀察日蝕心得馮簡教授在渝演講
page 5	成都近事
page 5	越南目前情況美國僑民幾已全部離去西貢港內各國船隻絕蹟
page 5	晚秋慶豐收三
page 6	金融專家昨解釋國幣連日波動原因主要係受上海牽連所致港幣貶值說認為非事實
page 6	平糶會在九龍城增設飯堂獲准開始選擇適當地址開辦菓菜行接納該會之建議
page 6	庫務司昨兌出大量鎳幣
page 6	美女記者代表援華會來華攝製戰時影片美人士熱烈贊助一碗飯運動並重視中國抗戰之力量
page 6	港無線電播音台新台建築落成招待參觀各設備均屬最現代化者
page 6	防空工程案昨續審由工務局職員作供史柏堅在非公開庭審訊
page 6	模型飛機協會昨決定結束
page 6	所得稅研究委會今日首次會議商討稅收開徵一切事宜開徵範圍計共包括四項
page 6	港平劇名票定下月義演
page 6	鄭植之母壽獻金十萬捐贈政府
page 6	南洋商務考察團擬下月底出發我政府補助經費五萬元願參加者可向該團報名
page 6	甲種官米改用暹米張公勇談話
page 6	港防軍舉行臨時演習測驗部隊運動率
page 6	小販問題研究委會今日下午開會周錫年望各界提供意見認為對小販應合法管理
page 6	淺水灣萬餘元巨竊案破獲經過詳情萬元鑽石鍊賣往廣州此案經兩年始被破獲
page 7	南華昨開會商討球場秩序問題重要比賽務使球迷便於購票决定聯賽各場不另增收座價
page 7	球國春秋四華隊中東方暫居首席星島戰陣須加調整方有前途
page 7	鐵城杯中青戰平正印警對新青
page 7	澳預賽杯足球冠軍問題尚待總會解決
page 7	藻泉盾各隊名單公布改期開始比賽
page 7	罌花節足球慈善賽後日開會討論
page 7	今天足球乙組七場
page 7	全港校際游泳昨午舉行預賽
page 7	球事雜談
page 7	夏令籃球
page 7	申匯市況再度鬆弛英匯美匯仍乏生氣
page 7	股票略形鬆弛昨日成交總值九萬餘元
page 7	國幣市況續趨下游最低價為一六0
page 7	滬標金價再度上漲
