page 1	社評美援與西歐的經濟復興
page 2	政府人事將重新安排張群昨請示政院結束事宜新院長人選各方揣測紛紜立法院長一席角逐者頗多
page 2	職婦立委名單公布政府決以得票多者當選對退讓等問題不再考慮
page 2	檢討當前局勢國民黨籍國代今天集會
page 2	莫德惠昨發表出席國大感想
page 2	京市民參觀會堂在絲絨椅孖上稍坐看樣孖好像很過癮
page 2	面對這些悲慘事實我不應控訴嗎
page 2	大總統就職時可能施行大赦司法部在草擬條例中
page 2	東北國代請願昨訪甘乃光張嘉璈俞鴻鈞分別提出金融運糧等要求
page 2	中國回教協會三屆大會揭幕
page 2	坐視富豪逍遙自在實在對不起老百姓徵用國外存款案被保留簡貫三說要與富豪搏鬥
page 2	湯恩伯曾飛承德檢閱防軍後返平空軍將開闢平承航線
page 2	社會科學研究會首屆年會昨天舉行選出理監事討論中國現狀
page 2	粵省田賦徵收困難積極整理田地戶籍求糧部寬限追收虧空賦穀
page 2	魯境逃滬難民所住棚屋被焚一老太婆兩幼童葬身火窟
page 2	怎樣穩定物價貝祖詒曾與當局商討五大都市將繼續配米美國援華糧食即起運
page 2	中研院日蝕觀測隊今日由京前往餘杭
page 2	平津籌設臨時學校收容東北失學青年
page 2	孫連仲發表談話嚴防學潮與工潮
page 2	夏鼎談新華文用字母八十個
page 2	滬舉行電機展覽會陳列各種近代交通電機
page 2	滬衛生局提倡火葬
page 2	清華校慶學生向校長獻旗
page 2	京學生紀念五四晚會因天雨改期
page 2	荷印華僑設法進行復員
page 2	魯境戰火仍熾益都臨淄間國軍反攻煙台外圍賡續有接觸
page 3	西歐五國同盟計畫整軍將建立武裝部隊二百萬擬集鉅額基金全發展相互貿易
page 3	西德前途尚未決定三國外長傳將會商倫敦會議聲明未獲協議
page 3	德境美方否認扣留蘇聯軍官
page 3	美人也怕原子彈主城市化整為零
page 3	美國援歐即簽協定先派代表去看看需要甚麽訂妥購買辦法物資即起運
page 3	中等教育片論
page 3	原子能頌杜魯門說人類有福了
page 3	戴洛被捕罪名是破壞和平
page 3	美總統預選史塔生呼聲高
page 3	希臘司法部長遇刺政府說兇手是共黨在雅典頒布戒嚴令
page 3	巴黎交通工人罷工慶祝五一
page 3	美減徵所得稅自本月起實行
page 3	美國的另一面和平運動蓬勃鼓吹組織世界政府
page 3	印京閒話
page 3	十一國分日賠償品檢查竣事運輸有待要等遠東委會決定分配比率
page 3	日整肅工作據說將完成
page 3	日立憲一周年蘆田表示自豪
page 3	日代表團抵印向各業拉生意
page 3	審了兩年多日戰犯還未能定讞草擬判決書需時三個月開庭八百次文件一大堆
page 3	撤退前夕反增防地中海英軍馳援聖地自雅法登陸保護耶路撒冷
page 3	三個月嬰孩纔重一磅半四盎士毒藥殺死七萬人
page 3	美扶日成亞洲工廠怎能保它不會黷武英報請美國拿出實據來
page 3	南韓阢隉不安濟州島又起大騷動
page 3	法重修馬奇諾防線據說可以抵禦原子彈
page 4	三工業團體電赴英代表美國扶植日本工業請英政府速採對策
page 4	徐季良談話日貨成本低廉抑價傾銷南洋
page 4	三輪車將被取締
page 4	爛樓被人佔據業主無法修理不打官司就須出錢遷移
page 4	偽毫票又在市面發現
page 4	節水聲中自來水洗街
page 4	華人牙醫公會選出二屆職員
page 4	今後兩年建築屋宇需用鋼鐵廿四萬噸
page 4	洋衣群研工會選出下屆職員
page 4	餐室職工會五週年紀念
page 4	澳門來港廣東輪上一少將跳海留下遺書六封自說是白崇禧同學因無法養家自殺
page 4	港九各方電京詢問總統就職確實日期
page 4	安靜的海灘新界的幾個游泳場
page 4	肺病纒身生味索然紗布莊會計員自殺遺書三封說明自殺原因
page 4	一男一女糾纏上警局她說他是丈夫他說他是處男
page 4	廣州跳樓的李亮以前在香港做工他的知友向記者談他的身世
page 4	渡海各小輪更訂班期
page 4	醫師寓所失竊牽涉其他同行
page 4	陳福善畫展今日起舉行
page 5	南洋輸入必需品傳我政府准許不受限額限制商人由港購貨經菲轉運華南
page 5	經濟要員集中南京商討華南金融決策
page 5	限制日貨輸入港府觀點和工商界相反日貨侵銷威脅本港工業發展
page 5	玻璃工業首遭打擊
page 5	滬甯路公債將抽籤償還匯豐銀行宣布
page 5	對日貿易以貨易貨事權係劃分辦理
page 5	經濟要談海客
page 5	美貨購運糧食總額一億餘元
page 5	世界橡膠產銷二月又見減少
page 5	桂林經濟地位非但不及梧州也遠遜於柳州
page 5	菲練金廠即將成立本年黃金總產額達千二百萬比索
page 5	中英貿易進展緩英來貨減少半數華貨輸英稍增加
page 5	國幣貨價升港幣貨價縮
page 6	全運會火炬長途接力跑昨順利完成第一段行程吳鼎昌主持元首訓詞遞送儀式
