page 2	社評送別詹森大使
page 3	大批英軍開到星洲夏威夷空軍亦增強艾登警告日本英國決不讓步並將竭力援助中國反抗侵略
page 3	美飛行堡壘廿一架已駛抵夏威夷準備應付遠東可能之危機
page 3	蔣委員長手令加強農工組織
page 3	襄河會戰大勝各路日軍全潰退晉南及東江戰事無變化
page 3	本多訪謁松岡日報傳義將在寧設領
page 3	閩政視察團已到達永安
page 3	滬杭火車又觸雷爆炸
page 3	蘇聯聲明滬領館無恢復意
page 3	諸暨以南我全線反攻大殲滅戰即將展開
page 3	閩省我軍迫攻連江贛東日軍又圖蠢動
page 3	社會服務處已成立四百餘所
page 3	高斯離滬來港
page 3	陳經畬在滬被架
page 3	滬又一兇案王政劭被刺殞命
page 3	陪都新聞界盛會慶祝本報獲米蘇里獎章當場決議電慰上海同業
page 4	巴本謁土總統傳已提出合作建議
page 4	艾登報告伊拉克局勢巴勒斯丁英軍加緊佈防
page 4	艾登與希斯會面英首相將發聲明
page 4	美援華團體成立聯合組織擴大籌募援華救濟費
page 4	美國加緊製造四引擎轟炸機已列入緊要生產名單之首計劃每月製成五百架
page 4	希斯此次奔英帶有重要情報
page 4	美國務卿接見蘇大使為年來之首次會談韋爾斯亦被邀參加
page 4	發現希斯農民忙於接見記者
page 4	維希投奔軸心對德密切合作德法談判超出經濟範圍以外貝當授權達蘭完成未竟事宜德方以交還巴黎為餌
page 4	蘇德又舉行經濟談判會後蘇代表返國
page 4	北非戰事成拉鋸狀態德軍進攻不逞英軍繼採主動
page 4	通用汽車公司罷工醞釀尚未消除
page 4	直布羅陀新總督已就任
page 4	魏南援英演講博得英方好評
page 4	艾登之聲明
page 4	英聖詹姆士宮被烈性炸彈擊中
page 4	泰國親日結果荷印拒售煤油
page 5	推進滑翔運動川分會成立盛況桂滇甘三分會亦將籌備成立韋鼎等將作四省拖曳滑翔
page 5	展開廣東政治新階段三五月十二日李主席在省府擴大紀念週訓話
page 5	發動捐募滑翔機四十架
page 5	桂林籌獻滑翔機露天歌舞大會準備盛大演出
page 5	官輪流講援關於滑翔問題滑翔展覽觀眾極為踴躍航委會政治部及青年團
page 5	南丁格爾誕辰桂市護士熱烈紀念
page 5	韶郊五里亭深夜大火災場廣約百畝焚燬汽車多部
page 5	黃旭初報告出巡桂南觀感提出應注意事項三點
page 5	曾磊舞弊案被扣始末
page 5	星美空航實現行程八日旅費八百美金全機可容搭客七十四人
page 5	粵省驛運加速開展
page 6	詹森大使昨招待記者對中國前途樂觀在港候晤新大使高斯定二十一日乘機返美
page 6	上書美總統十萬青年簽名運動現積極進行中六青年團昨舉行會議決定分十處開始簽名
page 6	籌商勸募戰債僑團聯席會議即席認捐共得十五萬元教會團體昨亦聯合開會
page 6	鄺炳舜抵美
page 6	青山大埔兩公路工務司加緊於年底修妥建築原料缺乏影響築路
page 6	華商會請五行商會報効炒飯萬碗華商會小組會昨開會積極協助一碗飯運動
page 6	港澳藝術界舉行獻機會音樂會改定二十八日在利舞台華南管絃隊廿五日演奏
page 6	洋服工人昨日復工資方答允加薪
page 6	官柴總代理處大量推出松柴應市零售每元至少四十五斤昨日發出通告港九柴商
page 6	輔政司史美談當局考慮貶低米價各地米石將源源輸港不變更直接售米計劃
page 6	美洲華僑購航救債達一萬萬餘元林福元陳雁聲返港談話
page 7	中英田徑慈善賽週末開始舉行協會選定李玉峯等為對抗代表屆時由賈乃錫將軍頒獎
page 7	我國婦女健康問題
page 7	東南西北集吳年入星島發行所任職炭弟鎮祥努力軍部工作
page 7	學界排球皇仁英皇敗北
page 7	南華南征球隊今朝始克成行
page 7	中學籃球比賽興華南贏仗
page 7	外匯牌價俱無變動美圓續跌申匯仍穩
page 7	股票市況再略好轉買戶活躍成交漸增
page 7	國幣市況略趨下游
page 7	四四金市猶屬靜寂
page 7	聞話排球裁判
