page 2	敬謝中國之友的英國人
page 3	蔣委員長電全國呼籲厲行國民精神總動員誓行國民公約確立抗戰意志
page 3	孫總理逝世紀念全國各地沈痛誌哀
page 3	邊疆文化促進會昨在渝成立陳立夫等出席講演
page 3	四存學校員生在冀南創Ｘ衝鋒肉搏陣亡十餘人忠勇壯烈樹一新楷模
page 3	乍浦克復殘Ｘ退嘉興
page 3	新運節約獻金產生新紀錄最後一日獻七十萬兩週共獻二百餘萬
page 3	王外長在渝廣播下駁斥東亞新秩序謬說
page 3	Ｘ軍在華北已經腐化了非法的橫徵暴斂增強民眾的反感
page 3	馮副委長為建軍嘔心血練兵日記積成二千餘頁
page 3	徐永昌談整軍工作完成鄂中戰事又轉沈寂洛陽昨遭Ｘ機狂炸
page 4	捷克局勢嚴重斯族繼續反捷運動當局否認集中軍隊
page 4	斯洛伐克新閣成立杜堪斯基攻擊政府
page 4	德對捷局密切注意柏林否認軍隊開捷
page 4	英報評論捷局前途法國當局保持緘默
page 4	義向法提要求說雙方均否認義報對殖民地問題又施武力恐嚇慣技
page 4	併奧一周年回憶驚心的一幕上舒斯尼格是怎樣屈服的
page 4	教皇加冤禮盛況將為前所未有各國代表齊集教京
page 4	美國務部贊助為南美各國造艦海長主在大西洋設根據地
page 4	瑪德里局勢漸定共黨黨部向當局投誠傳弗朗哥已開始進攻
page 4	美軍火出口歐洲英法居首
page 4	英工黨議員主張英美法應合作制裁日本全英中國大會中一致對我表同情
page 4	我軍新戰術
page 4	希特勒的意嚮
page 5	西江Ｘ擬犯四會鄧龍光出巡前線金利馬房我軍堅陣以待佛山商民被迫財產多遭侵佔
page 5	澳門當局公布條例禁業主加租迫遷業主加租不能超過一成二
page 5	澳門當局籌備慶祝葡國獨立百年紀念
page 5	庚款補助五萬建昆明圖書舘聘李書華等籌備
page 5	粵臨時參議會即將成立當局慎選候圈人
page 5	大霧中Ｘ炸潖江糊裏糊塗投彈結果無一中的
page 5	新會匪劫電輪
page 5	龍岡圍捕賭徒
page 6	總理逝世十四週年港僑昨隆重紀念葉恭綽勉僑胞繼續奮門鄭洪年何香凝報告史略
page 6	港府擬增建難民營收容露宿之貧民
page 6	新亞藥廠籌備開幕典禮
page 6	惠陽商會董事首次會議選出各部職員
page 6	檳城華僑工程隊返國服務抵港一行三十三人均有職業能擔任汽車駕駛等工作
page 6	無線電活動布景美爾頓分校發明完全用國貨製成
page 6	回教互助會
page 6	本港積極進行組織空軍後備隊與義勇軍航空隊不同詳細計劃審查研究中
page 6	金山輪定明日晨三度赴粵運糧接濟沙面外僑
page 7	聖約瑟無心戀戰東方會淨勝五球春風又春雨球場冷落車馬稀
page 7	甲組聯賽目下形勢
page 7	美國遣派世運選手將超過四百人羅斯福任贊助人芬蘭表示欣慰
page 7	海外體壇形形色色
page 7	公開男子籃球比賽今晚鍾聲出戰南華
page 7	我國對外貿易一月份出口額大見增加其中以動物產品為最多
page 7	桂茶油出口激增達二百餘萬元去年產量豐饒價略下降
page 7	Ｘ南侵影響粵省臘味去年外銷銳減
