page 2	社評擴充科學研究
page 3	長江日艦觸雷沉沒我神鷹隊揚威湘北炸毀日軍糧秣汽油軍械庫
page 3	緬政府將遣派代表團來華討論商務交通問題
page 3	寧劇之一幕
page 3	興築滇緬鐵路全線完成需時
page 3	日方所扣美輪經美抗議獲釋
page 3	盧作孚赴蓉調查川西康糧食
page 3	滬法租界又徇日本要求任意搜查捕人
page 3	荷印積極設防軍隊正加緊機械化日代表在荷印猶放煙幕
page 3	提高教職員生活國立院校十足發薪
page 3	美國新軍的胚胎二
page 3	劉佐人談粵北民眾抗建情緒熱烈
page 3	日議會將重開內閣設三相會議以便應付大政會發生大風波小　辭職內部呈動搖
page 3	國內懼空襲國外學閃電
page 3	翁文灝返部辦公孔招待經部各司長僅章元善因事未到
page 3	蘇日漁約談判毫無進展蘇機會制止日漁船
page 3	設立華僑建設公司海外閩僑熱烈贊助
page 3	冀省兩縣長抗戰有功國府令于晉級
page 3	海外傷友運動成績優異募得國幣逾四百萬
page 3	美建亞洲艦隊倫敦極為重視認為遠東如一旦有事該艦隊將駛往新加坡
page 3	租借軍用品問題將賦總統以全權
page 3	美堅定態度日方惴惴不安
page 3	美　會將擴大援華運動在渝建緊急救護站
page 4	巴爾幹氣壓愈低傳德軍已開保羅匈間又起新磨擦希軍已佔領克裏蘇拉
page 4	泰軍陸空兩路向柬埔寨猛襲但雙方均否認正式宣戰泰外長表示不拒絕談判
page 4	一場歡喜葡輪忽傳歐戰結束消息搭客受愚一時歡喜若狂
page 4	蘇德商約延長至明年八月
page 4	蘇聯阿根廷將恢復貿易關係
page 4	美陸長宣佈充實運河區防務統一指揮集中防空力量美西半球防衛將益增強
page 4	赫金斯在倫敦迭晤英當局傳達總統羅斯福意見
page 4	阿比西尼亞部隊奮起抵抗義軍阿王抵埃及從事策劃北非英軍越過多布魯克四下哩
page 4	邱吉爾為駐美英使解說並非一協妥主義者
page 4	美駐英大使將由魏南繼任
page 4	英報贊揚邱吉爾演說英美關係影響世界並非一種修辭空想
page 4	英泰換文勘定泰緬新界
page 4	美總統電貝當望法重享自由美大使晤貝當詳談巴黎發生反德運動
page 4	德軍開保
page 4	邱吉爾的表明
page 4	建川交不了卷
page 5	桂救濟災難兒童創設教養院三所分在臨桂南寧龍州三處成立每年經常臨時等費六十五萬
page 5	上海國旗飛揚熱烈慶祝元旦愛國青年散貼傳單標語推動節約救難良心獻金
page 5	粵新聞事業近態全省共有報紙達七十家平均不到二縣有一報紙
page 5	澳門麵粉弛禁出口市價亦告回跌
page 5	寶安深圳日軍一部撤退我機不時飛往偵察
page 5	桂林施政新計劃建設新市區將分學校工廠住宅三區一俟省府批准即可動工
page 5	粵軍民合作站訂定中心工作
page 5	日機不斷肆虐濫炸惠淡鯊線數日來投彈達八十餘枚
page 5	西江形勢略緊我已嚴為戒備袁帶彭霖生召開會議商今後一切攻守計劃
page 5	禺南附日軍被匪襲擊市橋一帶日益混亂
page 5	韶興公路月中可以修竣
page 5	桂節建儲蓄已逾四百萬
page 5	澳消防局籌設公共報警電話
page 6	譚雅士對記者談移民例決如期實施華商總會再次請求無效廢曆年貨商有通融辦法
page 6	小販陳新長期義賣節食五角本金溢利六百餘元
page 6	鯊淡途中
page 6	廢歷年關在邇滅火局加緊操練添置特製汽車協助救火勸諭居民提防發生火災
page 6	代督岳桐中將函謝各廠商贈品未能再臨國展表示失望希望華南工業與英嫓美
page 6	運銷本港多由小販販售
page 6	廢曆新年年宵市場已規定本港設在灣仔高士打道九龍市場地點分為兩處
page 6	水上運輪統制專員兼理船隻徵用事務
page 6	港府華工組織慈善社
page 6	各影戲院極得市民好感去年大獲厚利
page 6	巴城僑領丘元榮昨來本報參觀
page 7	甲組聯賽獨幕戲約瑟重戰米軍下午四時正在加路連山演出友誼賽中業對東方乙
page 7	明日快活谷中星南大會戰雙方各出全力惡鬥難免誰輸誰贏關係奪標前途
page 7	南華田徑班昨日開始訓練
page 7	球圃菜根集十四
page 7	公開女籃球南商戰南華
page 7	籃球裁判會開週年聯歡會即席選出本屆新委員籃聯今午開會議
page 7	學界籃球戰華仁奏捷多贏西南一分
page 7	滬足球義演華聯慘敗二比五西聯勝
page 7	外匯牌價仍無變更美匯淡靜申匯穩定
page 7	股票市況穩靜買戶多存觀望成交不多
page 7	去年一月至十一月全國對外貿易概況
page 7	四四金市復略傾疲
page 7	國幣市況昨稍趨淡
