page 1	日本真急需獲得食鹽嗎
page 2	陳誠等抵青視察膠東激戰國軍固守東北渡江軍尚未積極進攻
page 2	適應軍事之措施陸軍總司令部職權擴充收復區人員授權辦法展期一年
page 2	張治中昨由京返新疆
page 2	鴨綠江的寂寞
page 2	白崇禧返京
page 2	政局一角王雲五已呈辭
page 2	滇省防制共黨活動中共人員限期登記護送出境不登記者政府不負安全責任
page 2	中共人員一批由渝返延
page 2	救濟人員人數談判仍未協議中共提議在滬留八人
page 2	三中全會斯近中樞研議提案日內完成提交中常會通過包括處理中共問題及實施憲政等
page 2	民主同盟發表時局宣言
page 2	台人代表紛謁陳儀或提意見請求採納楊亮功奉派抵台調查
page 2	西康衝突中之悲劇有人於投誠後全家仍被燒死鄉　武裝報仇糧盡餓斃甚眾
page 2	李濟深發表時局意見
page 2	湘謀穩定農村經濟普遍恢復倉儲制度王東原主席過漢之談話對天祜垸問題謂省府無成見
page 2	安定經濟中樞商訂根本方案俟三中全會後公布緊急措施方案屆時即廢止
page 2	沒收漢奸逆產夏勤稱不必情託居正夏勤昨由平飛京
page 2	中英民航談判就緒協定草約不久可簽字
page 3	安理會討論美託管建議我代表郭泰祺表示贊同英蘇有修理意見法無異議澳主張對日和約未成立前暫不討論
page 3	杜魯門等商討希臘問題將決定以槍砲軍需援助
page 3	論縣級民意機關財政監督權
page 3	希內戰將擴大
page 3	鮑萊提辭呈杜魯門已接受
page 3	夏威夷列為一州美內長提出國會
page 3	英比將開同盟談判比國有意先與蘇聯締約史巴克在捷京談判比捷協定
page 3	印報論印局旁遮普省在騷亂中
page 3	商業使用原子能美　軍首先試驗
page 3	英法軍備標準化一個否認與一種看法
page 3	蘇波協定軍事條款英認為係軍備標準化之初步
page 3	匈牙利政潮內幕社會共產兩黨與小地主黨衝突反襯出國際間美蘇兩國之對立
page 3	瞻望莫斯科外長會議規定的議程與各國所抱的態度
page 3	關於巴勒斯坦美盼英提切實方案敘利亞代表亦附議
page 3	貝文昨抵莫斯科馬歇爾今飛蘇京在柏林與美軍將領會談
page 3	蘇外交專家論對德和約
page 3	捷波互助條約波官方宣布十日在華沙簽訂兩國一切懸案均將獲得解決
page 3	汎亞洲會議定廿三日開幕
page 3	婦女節京婦女界開會慶祝
page 3	粵省參議會為金潮通電
page 3	下關坍堤慘劇發生後沈怡市長報告處理辦法分臨時防護及治本工程兩項海軍碼頭亦已有裂陷之趨勢
page 3	二五減租政院令川省府今年必須實行
page 3	閩腦膜炎流行廈門學校已停課一週
page 3	滇西救濟工作老百姓不滿意
page 4	昨為國際婦女節婦女界熱烈慶祝紀念會外並有遊藝表演國際婦女亦多參加演說
page 4	市婦女會上午開紀念大會並映忠義之家
page 4	女青年會各國代表演說報告婦女狀況
page 4	婦女節制會舉行會員聚餐
page 4	行總救濟事業轉移問題將提社會福利會討論
page 4	便利發電報新增兩代收處
page 4	稅務人員考試十五開始報名
page 4	日用品價格社局將設評議會組織意見已呈市長
page 4	配給煤球指定四廠製造
page 4	警局刑事股人事大更動
page 4	上月勞資糾紛共有二○九起屬於解雇者幾佔半數
page 4	孤軍接收碼頭工作僵持兩日尚未解決軍警昨在碼頭警戒未生事端
page 4	船舶修理所解雇糾紛獲有協議
page 4	舞業清淡有的請退業有的領新照
page 4	英法總領慶賀簽訂盟約盛會招待各界
page 4	滬廣通話時間增長浦東電話昨阻斷
page 4	趙瑪麗爭遺產案昨日審訊
page 4	複製業用紗紡建已有答覆將根據生產情形分別配售對定價問題避免正面答覆
page 4	精藝鋸木廠藏液體燃料經濟部正在吊查帳目
page 4	窩藏賊贓吳陳氏被拘捕竊賊逍遙法外
page 4	為了戲子輟演懷恨打出人命證人當庭指明兇手本案諭定十五宣判
page 4	潘次來滬討論外棉及紗布問題
page 4	進出口商行將招待報界並要求實行連鎖制
page 4	財部視察金融全國劃十二視察區分別派員常川視察推進業務
