page 2	社評慰勉文化前線的戰士
page 3	改進戰地黨政工作軍委會積極推進中編整人民武裝提高游擊隊素質晉東南豫西戰事續有進展
page 3	夏威返桂談西江防務鞏固桂學生軍積極訓練中
page 3	行政院會議改組國立西北聯大任命胡庶華為校長
page 3	在呂梁山麓中央社特派員郭從周
page 3	鶴山實踏記二
page 3	南路慰勞團向滇省將士獻旗馬超俊致詞勗勉
page 3	西江偽警紛紛反正
page 3	晉省美僑亦被驅逐
page 3	Ｘ炸英輸一彈掠過英艦
page 3	Ｘ桃色政策少女來華勞軍
page 3	殺身成仁吳榮保壯烈犧牲
page 3	Ｘ出雲艦昨自虹口開出
page 3	汕頭漢奸與英兵衝突
page 3	訂印鈔票說中行正式否認
page 3	刺范石生案楊維騫承認殺人
page 3	文化提携大批書籍刊物已由英國運華
page 3	八一三將屆滬租界嚴加戒備四郊形勢益形緊張南市Ｘ軍全被調走
page 3	中國藝展在蘇聯開幕
page 4	東京談判復開無期倫敦態度慎重天津日軍對存銀問題將英法租界並為一談
page 4	Ｘ軍人愈跋扈竟要挾政府五相會議昨舉行結果尚不得而知
page 4	英努力加強新加坡防務新兵四隊由印度開到空軍力量亦大加充實
page 4	歐洲民主國家積極推動大聯合蘇聯邀波蘭參加軍事談話英法土共商保衛薩羅尼加
page 4	驚濤駭浪中的暹羅僑胞二
page 4	空軍舉行偉大演習
page 4	調艦隊來遠東問題
page 4	海軍增加服役人員
page 4	日對蘇再屈膝北庫頁島煤油權問題已在原則上表示讓步
page 4	德以全副精神應付但澤問題但澤國社黨領袖抵德晉謁希特勒
page 4	傳暹羅加入反共協定倫敦方面未證實
page 4	菲島獨立問題英報表示憂慮菲島人民若不三思而行將為日本垂手攫得初步
page 4	史德隆經瑞京返英
page 4	歐洲民主自由最後必獲勝利貝奈斯在英演說
page 4	義演習結束法報認義當局太誇大都靈一地仍易被襲擊
page 4	如此盟兄盟弟義國竟用野蠻方法驅逐南泰羅爾德僑
page 4	美財長抵英將赴丹麥一行
page 4	保代表團抵莫斯科
page 4	暹羅之謎
page 4	適當措置
page 4	兩幕雜劇
page 5	盤踞容桂之Ｘ發砲轟擊南頭江會方面Ｘ軍增防新鶴路
page 5	河內公安局傳訊刺汪四志士着在原處表演謀刺經過
page 5	淪陷後的潮汕
page 5	汪逆密派爪牙在暹活動
page 5	浙東溫嶺縣民心振奮本民族英雄戚繼光之精神各鄉鎮壯丁自動請纓殺Ｘ
page 5	潮汕民間財物被Ｘ劫奪一空藉名借用強搬旅館傢私排英空氣邇來益形濃厚
page 5	粵省府推行中心工作劃粵北為模範區
page 6	促進華僑教育港九教聯昨成立雷通羣詳述今後目的張一麐勉以普及教育
page 6	澳督昨晨抵港港澳英葡官紳冒雨歡迎曾訪港督今晨乘輪回澳
page 6	國立各院校考試新生第二日考生精神奕奕秩序整齊今日繼續舉行下午口試
page 6	永祥金鋪劫案學徒詳述經過華探鄧家與匪激戰受傷案情未畢今日下午續審
page 6	天津Ｘ軍嚴查旅客學生五人被扣
page 6	Ｘ派多人在港搜購廢鐵本港輸出泰半運往Ｘ國五月份資Ｘ竟達萬餘擔
page 6	紀念八一三獻金明日開始各區獻金台已開始佈置機器洋務工友熱烈獻金
page 6	渝港菲無線電話本月十五日通話
page 6	太平戲院十一日兩聲收入全部作獻金之用
page 7	足球聯賽期近第一週秩序排定甲乙丙三組比賽共二十場港滬埠際賽今年恢復舉行
page 7	南華師次星洲衝破第一關一比零馮二叔智取中華麥蘇天王合夥力保江山
page 7	萊城網球比賽中沙賓意外輸球拒戰摩萊失去台杯候選資格掃桑頓約請賽力格斯組敗北
page 7	小小新聞
page 7	白城國際運動會美國獲第一一英里賽中伍特遜又遭慘敗轉灣時互相擠軋觀眾喝倒彩
page 7	北圻隊征港節目增加擬作募帳義賽
page 7	國際賽鎗會蘇聯創新紀錄
page 7	申匯市況略趨淡各銀行拋出二百萬元英匯與美匯市況微緊
page 7	八九金市略穩但靜買賣較多價格微漲
page 7	英金不動銀價均漲
page 7	股票市仍靜寂買家與賣戶多存觀望全日成交不及二萬元
