page 2	國民參政會第三次大會
page 3	海南苦戰粵南勢緊蘭州我空軍擊落Ｘ機六架蔣光鼐即就戰區參謀長職
page 3	英政府對滬港事件不退讓日對租界仍事恫嚇有田向克萊琪道歉
page 3	廈血魂團槍殺Ｘ偵探
page 3	英報輿論
page 3	參會重要提案討論情形紀詳
page 3	國民精神總動員綱領及其實施辦法一二月二十一日重慶抗訊
page 3	日本已枯竭顧大使對合眾記者談我操最後勝利之把握
page 3	潘公展已到中宣部視事
page 3	東北四省我義勇軍活躍
page 3	郭大使演說我抗戰形勢希望國際繼續積極援華東亞安危影響世界和平
page 3	英經濟援華伯特勒在眾院宣佈準備再貸三百萬鎊
page 3	中美文化協會選出名譽會長
page 4	張伯倫籲請國民以武裝求和平英國必需有充實軍備始能保障權利與自由
page 4	蘇日漁約糾紛仍在僵持中東鄉晤李維諾夫長談雙方仍堅持原來立場
page 4	英阿猶代表舉行非正式會議對整個局勢加以檢討阿猶仍堅持原有態度
page 4	王外長對美廣播闡述世界和平不可分之理請美國人民積極制裁Ｘ日
page 4	傳英法將承認弗朗哥英大使訪法外長商談法內閣明日開會討論
page 4	美參院軍委會通過擴軍修正案總數共達三萬萬餘元民意多不滿孤立政策
page 4	法不畏威脅不割讓寸土達拉第發表演說表示願維持和平
page 4	世界民主國家有組聯邦必要美國際問題專家著書主張聯合抵制侵略國
page 4	美女明星娜瑪希拉獲獎法宮豔后一劇被選最佳傑構
page 4	齊亞諾啟程赴波訪晤華沙當局討論經濟問題
page 4	德羅商務談叛結果失敗德代表遄返柏林
page 4	英國調解法義爭端已將調解計劃提交義國政府
page 4	日本對英道歉
page 4	蘇日漁約糾紛
page 5	粵省府移韶後政治設施漸上軌道朱暉日最近出巡西江南路各屬秘書處增設第五科專管自衛團
page 5	平山被炸死傷平民數十人
page 5	三水Ｘ退我收復平山兩龍
page 5	夏威赴南路視察防務
page 5	粵游擊區各縱隊司令發表
page 5	韶潮客車今日起直接通車
page 5	西江無戰事鄧部佈置新防線小北江各重要據點均在我手中
page 5	蘇聯攝影記者卡爾門在韶關受文化界歡迎
page 5	浙鹽外銷收運處正設法籌運
page 5	粵北紀行上
page 5	澳門慰問難民
page 5	中山學校紀念
page 5	惠陽烈女殉節
page 5	廣州灣商務蕭條
page 6	日總領為轟炸羅湖昨向港府正式道歉軍事當局實施邊境防禦步驟日間將舉行大規模防空演習
page 6	許世英等深圳慰問
page 6	救濟難民辦理經過
page 6	本港人口增廿五萬港難民約共一萬
page 6	瓊港間航運停頓太古渣甸輪船改泊北海生豬來源短絀市價暴漲
page 6	教育當局辦師範學院增高私立學校師資擬定九月期內開課
page 6	正月份入口劇烈退縮較去年減二千萬今年貿易將低降
page 6	英賑賣物會定二十六日開幕羅旭和主持典禮
page 6	財政評論第三期出版
page 6	獻利市運動昨日結束
page 6	孫總理逝世紀念賑聯會決議擴大舉行負責籌備團體已推定
page 6	李漢魂撥十萬元辦理港澳工賑昨電華商會商定辦法
page 6	林樹森扮演三國戲精華
page 6	飛行酒店
page 7	賑難杯排球決賽嶺南力克培英隊結果三比二全局緊張美妙今天壓軸戲冠軍迎戰選手
page 7	閒話籃球裁判
page 7	菲律賓隊籃球健將對抗港聯日期未定
page 7	滬聯足球賽甲組現勢西福斯保持不敗
page 7	全港網球比賽單雙打秩序昨編定公佈
page 8	申匯不動暹匯略漲其餘匯價均低縮英匯美匯市況依然略趨緊上海投機家向港吸進英匯
page 8	英金不動英銀近跌遠平
page 8	股票市仍靜寂股價依然穩定全日成交僅九萬八千元
page 8	八九金市略形堅挺買家頗眾價稍上漲
