page 2	社評鄂中鄂北大勝的重要性
page 3	鄂北我軍調動神速台兒莊後重要戰果
page 3	五月份下半月各戰場戰績湖北方面戰事激烈斃Ｘ官兵約五千名
page 3	湘北之戰粉碎Ｘ軍進攻計劃傷亡總數二千以上
page 3	滬三報紙定今日復刊
page 3	上海日幣逐漸跌落中Ｘ阻止日幣流入租界對於出貨堅持付法幣
page 3	告日本人民俘虜植進上尉在渝廣播講演
page 3	朝鮮義勇隊奮勇救護戰士Ｘ兵一名負傷遇救彌留之際表示懺悔
page 3	黔桐梓壯丁自動請纓殺Ｘ
page 3	我游擊隊轉入冀東創Ｘ
page 3	Ｘ酋岩松在瓜州遇刺重傷
page 3	華僑機師二千餘人蒞滇
page 3	西雅圖上海間將有新輪船行駛
page 3	黔企業公司昨在貴陽成立
page 3	張孟涯在滬被刺身死原因尚未查明
page 3	全國各地標準時間推行辦法擬定
page 3	滬杭路硤石段被我軍破壞青年鐵血團團員四人在筧橋機場炸毀Ｘ機
page 3	甘省銀行昨晨開幕典禮
page 3	旅菲華僑舉行照片展覽藉資擴大宣傳
page 3	對於遠東問題美決不袖手旁觀現行政策將堅持到底以保障其固有之權益
page 3	偽邊戰事係日方造謠意在融和國內黨派意見
page 3	英使館武昌在察被Ｘ扣留英方已提出嚴重抗議
page 3	綸昌紡織廠工人受Ｘ誘脅未能加期復工
page 4	莫洛托夫演說堅持原來立場英蘇談判繼續進行中蘇方週末可正式答覆
page 4	蘇聯積極援我決心保衛外蒙邊境警告日偽勿妄挑釁
page 4	英輿論仍樂觀雙方意見雖有出入乃係方式而非實質
page 4	法官方不氣餒蘇聯態度在意料中雖有暗礁不難解決
page 4	美國印象終須實現德義官方保持緘默
page 4	中英的友誼倫敦中英協會席上史耐爾貴族的演說三
page 4	法土協定法國對土讓步日內即可公布
page 4	羅斯福返京準備歡迎英王月內將出巡西部各州傳與下屆競選事有關
page 4	國會休會期約下月中旬
page 4	對南美西岸國家美助修武備俾抵抗太平洋方面進攻
page 4	英對德照會起草完竣對德廢止海約全部加以駁斥
page 4	羅外部批准德羅商約
page 4	有田函斯外長承認該國獨立政府
page 4	美邀請十國舉行棉業會議討論國際間合作計劃考慮訂棉花市場協定
page 4	莫洛托夫的演詞
page 4	Ｘ人宣傳的墮落
page 5	新鶴戰況穩不定式Ｘ軍增援防我反攻進兒子汾水篁莊均經擊退西江下游沿岸祇小接觸
page 5	羅為雄有任汕市長說
page 5	今之卜式蟻光炎歷捐鉅欵贊助粵省善事業
page 5	台灣學生携毒菌入雲南滇省府分令嚴防
page 5	多行不義必自斃Ｘ飛機師溺斃遂溪魚塘
page 5	海南島重要軍訊我佔優勝Ｘ肆焚殺
page 5	中山前線實踏記下
page 5	瓊崖偽軍譁變
page 6	中華義學考試地點昨公佈報名踴躍今日下午截止將來各區校址亦已決定
page 6	廠商聯會理事會昨會議澳門設廠規例分寄會員審查荷印考察團章程
page 6	迫遷並非事實工廠大可放心市政衛生局主席托特談劃定工業區事並未討論
page 6	紅樓夢太平戲院今晚義演
page 6	新界農協上年度財政充裕
page 6	中英庚欵會議前日起在本港舉行年會杭立武等參加會畢離港
page 6	張富花園附近建築兵房預算需款二千萬元英倫柯近公司投得
page 6	教師節慶祝會在娛樂舉行
page 6	新世界戲院期滿再投競爭者多結果仍由舊人投得
page 6	姊弟八人返國從軍聖保實祿女中師生昨日特開會歡送
page 6	女飛行家鄭漢英
page 7	美田徑界新計劃撑竿跳不用沙杭張網竿下以減少意外傷害世界紀錄將因此突飛猛晉
page 7	芬蘭人以沐浴作為一種訓練
page 7	女子籃球義賽舉行無期乙組入圍決賽決定五日開始
page 7	上海小足球表演賽名將雲集麗都逞能
page 7	銀礦灣新闢游泳場
page 7	學界排球賽培項華仁均獲勝
page 7	外匯牌價仍不動英美匯市況穩滯申匯微淡銀行拋出三百萬元
page 7	八九金市依然不振買賣仍少價格微漲
page 7	股票市更堅挺各種低價股票買家最為矚目存戶不允多拋全日成交較少
