page 2	社評三點認識與一個決心
page 3	新年後第一奇功我空軍轟炸運城Ｘ機四十餘架悉遭炸燬三水Ｘ軍圖犯四會肇慶
page 3	晋南我陸空軍聯合作戰大挫Ｘ人
page 3	黃主席談話謂全會收穫甚豐團結精神益增強
page 3	粵省府即移韶關東江各地滿目荒涼李主席迅求恢復中
page 3	英大使抵平天津市民聯名致函希望英國積極援華
page 3	全國各大學校長會議蔣委員長定期召集
page 3	冀省我軍創Ｘ鉅鹿附近戰況激烈漕河車站亦被攻入
page 3	貴陽萬縣被炸
page 3	Ｘ反戰運動Ｘ軍在大沽譁毛變江陰Ｘ司令被殺
page 3	漢奸的下場錢華遇刺身死兇手數人開槍後逃逸
page 3	京滬日人大受栓舉
page 3	滬Ｘ運軍火被我游擊隊截奪
page 3	滬租界警備車昨遭日人槍擊
page 3	日潛互撞八十一人失踪
page 3	國防最高委員組織的內容以總裁為委員長中央常委等參加
page 3	七君子案結束川高法院撤銷起訴
page 3	Ｘ扣留外輪滬發言人對記者稱不負賠償損失責任
page 3	陳恪寅任牛津教授華人任英大學教座第一人
page 3	滬Ｘ捕捉農民
page 3	送竈對聯滬偽市府無恥
page 4	西閣員退法境形勢急轉直下有請英法幹旋之說外長進行和平談判
page 4	閣員軍隊入法法國邊境完全開放
page 4	叛軍各線推進加泰隆納完全佔領
page 4	法代表與叛軍會晤結果甚為圓滿
page 4	英將貸款叛軍俾克進行復興工作
page 4	義德外交攻勢時機成熟即將發動
page 4	捷匈又衝突匈軍事長官提出抗議雙方代表將會同調查
page 4	抗戰時期教育統計教部統計室昨發表
page 4	反共協定捷克亦有加入可能
page 4	巴勒斯丁會議今晨開幕阿人主張建獨立國家猶太人要求保証獨立
page 4	蘇日漁業糾紛更形嚴重日本態度轉強將有具體決定
page 4	美國會將討論羅斯福外交政策參眾兩院將有激辯輿論界抨擊胡佛等
page 4	英國炸彈案嚴密搜查中已獲線索將績有發展蘇格蘭密探部已動員
page 4	蓋達之狂妄著文恫嚇民主國家獨裁國將聯合自衛
page 4	英國會改選定十月間舉行
page 4	新空軍的姿態
page 4	西戰將終了
page 5	Ｘ機襲擊岐關客車新會縣城又被狂炸翠亨村崖口附近共有六人受傷西河口中八彈並遭機關槍猛射
page 5	惠陽新縣長接事舉行善後座談會招考自治書記二百設站屯糧疏散難民
page 5	粵第三次省務會議
page 5	禺北紀事
page 5	江門情報九江Ｘ軍射擊傑洲中山龍江Ｘ無異動
page 5	定安新建市鎮
page 5	揭陽煙苗遍地
page 6	英駐華艦隊將離港參加遠東海軍會操
page 6	中英空航將成立港滇仰新空線聞短期內即可開班行走中航購新機加入渝緬線
page 6	許世英昨再視察深圳
page 6	中央振濟委員會報告賑務概況賑濟難民款達千萬被賑難民六百萬餘
page 6	廣州大學考驗新生
page 6	胡愈之昨請國際現况
page 6	青年會服務團舉行遊藝會籌賑馬頭涌孤軍
page 6	英賑會中國總會將在滇成立渝亦設分會何明華談在滬開會情形
page 7	港埠際足球代表隊正式陣容已選出港聯人選昨亦產生定九日舉行練習賽
page 7	麗華杯決賽提前三月底舉行
page 7	滬麗都足球隊招兵買馬
page 7	今日甲組聯賽米杜息戰海軍下午四時一刻在掃桿埔球塲
page 7	美國台杯隊教練倦勤錦標希望又一打擊
page 7	英國足球甲組賽結果
page 7	黃伯長將赴檀島比賽
page 7	上海學生網球隊今日戰葡體會比賽雙打三場單打一場
page 7	港籃球聯會修改會章
page 7	英菲網球賽
page 7	我遣派足籃球參加世運
page 7	輕重量拳擊錦標比賽
page 7	外匯牌價全不動英美匯先穩後靜申匯市再略淡華商尚多吸進
page 7	昨股票市靜但穩淡友多不願吸進全日成效僅十餘萬元但各股價大致尚穩定
page 7	八九金市靜但平穩買賣俱少微漲一仙
