page 2	社評太平洋集團的形成
page 3	英增強馬來亞防務大批澳軍開到星洲美國討論與英海軍合作計劃
page 3	李普曼氏撰文嚴厲警告日本
page 3	日本猶圖掩飾英報無情揭斥
page 3	注意行動不理恫嚇韋爾斯對日本之答覆
page 3	美太平洋根據地宣告加緊戒備總統下令禁外國輪機駛近
page 3	關島增防在考慮中
page 3	荷屬東印港口禁止日船駛入
page 3	泰越談判尚無結果美派武官赴泰日艦四艘泊湄南河
page 3	滇緬鐵路滇境已完成一段
page 3	日本內閣向議員送禮決將任期延長一年
page 3	蘇聯報紙論太平洋局勢
page 3	美艦九艘今晨抵滬滬人心轉弛
page 3	統一招生暫停舉辦一年
page 3	管理廢金屬規則行政院例會通過
page 3	土公使抵渝
page 3	渝星無線電經已試驗成功
page 3	我軍兩路反攻淡水即可克復游擊隊一度襲擊廣州市區
page 3	新運七週年陪都各界開會紀念
page 3	寇里詹森赴蓉考察戰時建設滬美僑邀威爾基來華
page 4	德圖利用土保宣言壓迫希臘屈服希政府強調否認言和
page 4	美準備實施租借案委出駐英聯絡專員將英國所需報告政府
page 4	歐戰通訊之十六封鎖中的戰時法國七
page 4	德國空防緊張畏懼英機飛襲敦促人民迅速疏散
page 4	孤立分子忽視事實極力反對租借法案
page 4	新運推行七週年蔣委員長對全國廣播
page 4	英海相廣播海上交通線已日形鞏固德國侵英勝利將無把握
page 4	達蘭抵巴黎德法談判重開德電台發出恫嚇論調要求作較密切之合作
page 4	奎松競選問題黨內拒絕擁護奧斯米納將來可望獲得折衷辦法
page 4	史托克談話美軍艦讓英事目前尚無可能
page 4	日本又一煙幕
page 4	日排斥思想
page 4	川康經建會移蓉辦公興業公司尚待促成
page 5	粵省擬定計劃發展貿易金融實施貿易管理靈活地方金融擴展儲蓄網吸收游資及僑匯
page 5	湘興辦水利撥欵疏鑿滬水險灘廣造船隻溝通航運
page 5	蔣委員長新運廣播
page 5	丈夫不甘戴綠帽菜刀砍死親妻周牛行兇後亦舉刀自殺澳門又一件桃色兇殺案
page 5	桂省職業教育在建教合一之政策下已具有良好基礎
page 5	桂南各縣中學相繼恢復
page 6	港軍部發言人談將以全力保衛香港完成一切人力所及準備必要時將疏散大量人口
page 6	代督批准防空局設消防隊刻已積極進行組織隊伍隊員分守侯及救火兩組
page 6	海港設計專家屋雲爵士已抵港如對港口問題有意見者可以書面送交半島酒店
page 6	移民局行政各方面多表不滿孖剌西報質問總代理權限立法局非官議員將予批准
page 6	桑普爾赴菲稍事逗留赴星轉英
page 6	米珠薪桂日趨嚴重當局施行救濟辦法運柴來港禁止米石出口煤價亦隨柴價稍見上升
page 6	商賑會舉辦之春節節約成績欠佳截至現在止僅八十五元勝利年章收入千餘元
page 6	醫務演講會京博士演講產科學
page 6	太平洋水腳增價各項貨品均行增加
page 6	普濟檸檬精售價略漲銷路甚佳
page 6	九龍青年會籌辦記憶力講習班
page 6	寶安第五區義民救濟會日內開始散振
page 6	工務局調查失修屋宇通知業主修理以免發生危險
page 6	戰稅局長談商人填報多不確如能列舉理由可予原諒繳溢利稅者以華商為多
page 6	再造社舉行畫展並歡迎方人定歸國
page 7	體協會執委會明日召開會議六團體退出事件作最後討論籌備招待緬華足球隊
page 7	南華議決接納派隊遠征澳洲
page 7	滬國際杯複賽中葡成和局延長時間三比三戰和戴麟經妙射挽回厄運
page 7	白蘿仙杯賽尖傑言和結果二比二
page 7	緬甸華僑足球隊四月初可抵港定三月杪出發先征檳城轉戰港星行程四十五天
page 7	中美籃球義演女分區賽人選昨產生
page 7	美匯市況繼續傾談申匯仍穩英匯沉靜
page 7	四四金市先淡後靜
page 7	股票市況呆滯昨日成交四萬餘元
page 7	國幣價格昨日微跌
