page 2	英美在太平洋的合作 
page 3	越南北部戰事激烈法軍司令下令抵抗 安藤不滿法日協定聲言進攻
page 3	法國屈服不足還向日本女郎諂諛夢想日本尊重越南完整 
page 3	日人剛進越南竟又關心緬甸得寸進尺野心絕無止境
page 3	美國雖表憂慮空言無濟於事禁運並不能使日本屈服
page 3	滬西區各捕房作特別戒備哈特上將今日由青抵滬
page 3	渝越航空暫告中斷
page 3	以死報國潯紳鞠藻枝寧死不受辱
page 3	滬工潮擴大電車工人要求尚未解放公共汽車工人復告罷工
page 3	行政院例會
page 3	鄂中痛殲日軍晉城展開巷戰
page 3	徐昌成返滇談發展郵務方針加強西北西南郵務機構增設郵站開闢海外郵線
page 3	滬孤軍問題仍在交涉中
page 3	日軍無侵川可能
page 3	西原赴瓊島與安藤會晤
page 4	西非發生激戰英艦砲轟達卡爾港高爾將軍登陸未成
page 4	德義西合作條件已商妥直布羅陀三國共管西取得法屬摩洛哥
page 4	美對滇緬路問題態度始終不變反對封閉任何貿易路線霍華德氏促政府注視遠東危機
page 4	甘納第有日內辭職說
page 4	柏林被空襲甚烈倫敦德機復活躍
page 4	泰親善訪問團行抵緬甸將赴印度
page 4	烏露圭提防納粹活動德人八名因嫌疑被捕
page 4	里賓特羅甫由羅馬返柏林即進謁希特勒
page 4	國內郵資決定增加
page 4	新加坡逮捕日間諜日竟提抗議日報又展開反英論調 
page 4	滬日領易人堀內抵滬履新
page 4	貝當的無恥
page 4	歐戰東延了
page 4	不要再空嚷
page 4	英方砲火威力猛烈
page 4	孫中山先生發展東北之遺教一
page 5	日機艦窺伺　州廣州灣人心浮動租界當局業已宣布戒嚴海南村大火災民待救濟 
page 5	日艦襲來謠言蠭起
page 5	赤坎米荒商會平糶
page 5	前山日軍昨又撤退祇留少數困守寨內
page 5	西康畜牧專家經驗談調整馱運工作工具以騾馬驢為主國立牧場應事繁殖
page 5	粵公務員增生活費月薪百元以下者每月津貼二十元
page 5	粵禁煙會月底結束積欠禁戒經費或將減成發還
page 5	西康日記一七八第九編九龍木裏途中
page 5	粵新戰區余漢謀王俊李煦寰展期下月初同時就職
page 5	寒衣運動在桂林各方熱烈響應如火如荼大會決定徵募辦法多項
page 5	粵自下月起實行禁酒令釀酒販酒飲酒均在禁止之例
page 5	徵募辦法
page 5	各方響應
page 5	粵互勵社今日在韶開幕
page 5	談郎擎天
page 5	廣州灣總公使羅庇和斯傳有倦勤之意
page 5	瓊崖難民又遇火災
page 6	港越交通無變動帝航機港曼線昨日停航電報恢復輸船依期來往
page 6	港九教聯會推行平民教育暫設一校收五六年級生正尋覓校址下月初開課
page 6	招考免費生今日截止報名
page 6	堅尼地城建儲穢池衛生局昨議決市政衛生局昨日下午舉
page 6	省振會登記義民第二批昨晨出發路線更改沿途均須步行護送首批義民頗為順利
page 6	代督電慰英王及后賀其安全脫險
page 6	九龍倉恢復擴充計劃工程下月開始
page 6	港韶空線約於下月初開航
page 6	代督加入防癆協會為該會永遠會員
page 6	東安輪今晨入塢暫由西安輪代班
page 6	廠聯懇親大會國慶日假建國酒家舉行各廠報效出品拈鬮索獎
page 6	我政府獎勉文藝界人士本港由文協辦理
page 6	中國文協今日舉行年會
page 6	婦女慰勞會賣花捐款閨秀盧淑偉獲冠軍
page 6	霍亂疫症未盡樸滅醫務當局勸市民注意列防範傳染八大要點
page 6	中央新設短波電台向南洋及菲島播送國內新聞
page 6	華南工商界對於會計應有的認識上
page 7	陳德輝率領新陣容南華今日戰海軍東方起用新人試戰聖若瑟三俠遇霧延期今午抵港 
page 7	銀牌籃球賽今日仿友對警察
page 7	上海草地網球雙打決賽李王敗於卡史
page 7	外匯牌價瑞匯略縮美匯沉寂申匯穩靜
page 7	四四金市買賣不振
page 7	國幣價格仍甚堅穩
page 7	越南局勢緊張股票市況靜穩昨日成交總值七萬餘元
page 7	中青週年水運下月舉行全部秩序共廿項
page 7	全港游泳冠軍賽今晚開始決戰共有男子二項女子三項
page 7	後半局勢 
page 7	精彩演出
page 7	盛況一斑
page 7	上海籃球熱烈百樂門擺擂台友聯出打頭陣力戰而退售票所得悉數救濟難童
page 7	球國春秋
