page 2	日本南進政策的發展性
page 3	越南局勢演進迂緩日艦環集海防海面德國經濟調查團已抵河內
page 3	我軍事發言人駁斥日方宣傳我軍入越
page 3	滬越界築路區警權問題工部局方面已考慮完畢將向滬市府提出答覆
page 3	東京發生流行睡眠病
page 3	安慶日軍一夕數驚
page 3	粵黨部發動農會公耕
page 3	今日美術節
page 3	渝市各銀行限制提現今日起一律取消
page 3	湘航建分會徵求會員薛岳自兼總隊長
page 3	兩小時內捐得四十四萬餘元滇省各界踴躍為寒衣輸將
page 3	姚克被擊案滬捕房正調查中
page 3	美學生代表柯雷斯返渝
page 3	日內閣情報部決定改組草案明日交閣議通過
page 3	蘇各界發動勸募寒衣
page 3	蘇報評論日新體制為軍部控制政務
page 3	德商將向日本購貨
page 3	晉綏我軍活躍冀魯堅強苦鬥
page 3	日本缺紙將減少出版物
page 3	蘇真理報編輯易人
page 3	聖公會副主教沈嗣信逝世
page 3	上海賭場營業不振南市小賭場已停閉
page 3	鹿連茹率部反正
page 3	炸彈毀滅不了的行都三個月來日機肆虐下的總報告二 
page 3	日報鼓噪懼美干涉
page 4	數千架德機猛烈襲攻英倫投彈約數百萬公斤倫敦東部發生大火
page 4	羅保割地協定已正式簽署保恢復一九一二年疆界領土割讓手續月底完竣
page 4	芬總統病狀已有進步瑞典使館否認逝世說
page 4	羅鐵衛軍狙擊加羅爾衛兵力拒卒告脫險羅新總理表示效忠德義
page 4	緬總理辭職眾院通過不信任案
page 4	美工人罷工巴拿馬運河區國防工事停頓
page 4	美眾議院通過徵兵法案修正案再交參院討論美洲國家得使用美新根據地 
page 4	難希政府拘禁萊諾等三人法新內閣人員就職沒收財產令將實施
page 4	巴拉圭總統失事殞命總統夫人亦遭難
page 4	盧森堡德當局排斥猶人不准行醫不准為吏
page 4	色厲內荏
page 4	謠傳何來
page 4	斯比上將兵官私行逃脫
page 4	義圖攫取紅海控制權揚言封鎖地中海中段義國務會議增強空防
page 4	世界大戰與回教前途一
page 4	英機襲柏林時死傷人數頗眾
page 5	粵政務視導團四區主任月中出發東區胡銘藻南區鄭豐西區高信北區劉佐人 
page 5	日軍懼我突襲岐關車仍不敢開中山沿海日艦麇集
page 5	江門日軍抽調一空
page 5	惠陽發動中秋獻金
page 5	泰國使節團行抵西貢大談泰越友好即將逕赴河內
page 5	西康日記一六六第八編九龍見聞
page 5	桂北兩縣環境衛生軍政民合力改善省政府頗為嘉許
page 5	粵幹訓團決於十一月續辦
page 5	澳門馬會展期開彩
page 5	浙限制公務員潛入租界非特准者扣留核辦
page 5	瓊崖聯中仍在麻章開學招收免費學生
page 5	澳門附近新圍海面帆船七艘被劫搭客船員均安全抵港損失共約國幣萬餘元
page 5	白蕉日軍趕築工事
page 5	日艦環泊中山沿海
page 6	首批歸僑明日成行三十餘人由本港至韶關省賑會港處派專員指導
page 6	葉蘭泉談義民滯港原因
page 6	留東同學會昨舉行四次聯誼會
page 6	全港英僑昨舉行祈禱禮代督岳桐中將親臨參加
page 6	工賑維持會清潔樓梯運動以工代賑維持難婦生活同時並可防止肺癆傳染
page 6	廣九路英段日內恢復通車
page 6	東北江導行社舉辦學生赴韶登記
page 6	防範霍亂蔓延取締違例小販衛生警察當局實行合作拘捕大批小販今晨控案
page 6	時局動盪米價略漲越米二萬包將抵港
page 6	嶺南大學秋季新生揭曉取錄者共一百二十一人今明選課註冊後日上課 
page 6	水產學校新生四十人赴汕尾
page 6	戰時香港九龍劃分十二消防區當局積極加強滅火機能在本港英倫增製滅火車
page 6	因戰事影響失業海員粵籍者達五千人
page 6	學生賑濟會民眾夜校十二日晚上課
page 6	記者圖書館積極尋覓適中館址
page 6	民間畫會九次畫展今日舉行
page 6	救濟學生會二次審查結果津貼學費或旅費者共四十一人十五屆清貧生登記開始
page 6	深水埗破獲私娼魔窟女華民親自搜查捕獲妓女十二人
page 6	津貼學費者
page 6	津貼旅費者
page 6	港大今日開學學生人數大增去少來多共達六四二名各英文中學亦相繼上課
page 6	東江交通訂定伕役工資
page 7	東方跨海北伐成功五比一光華挫敗亞滔如狐金海如狼各建雙功大告若鷹福全若鶴允稱兩難
page 7	桑榆曰
page 7	埠際小球試賽選手敗於工程
page 7	東方會足球部主任尚未定奪
page 7	籃球聯會今日召開會議
page 7	本年一月份至五月份港工業品出口增加總值六百萬元運銷英國最多
page 7	中華體協會今日召開執委會
page 7	夏令籃球精武擊敗華僑
page 7	西川足球隊重振旗鼓 
page 7	德權鼎賽昨日三場結果
page 7	四次棒球義賽美艦奏凱歌港隊烏合之眾演出鬆馳結果三比六卒為人所乘
page 7	足球義賽舉行無期 
page 7	比賽過程
page 7	袁倫仁談
