page 1	中共九屆一中全會選出中央機構毛主席主持會議作了極重要講話中央委員會主席毛澤東中央委員會副主席林彪中央政治局常務委員會委員毛澤東林彪陳伯達周恩來康生
page 2	戴高樂被迫下台法郎英鎊受壓力可能引起金融危機英財相與美會商商人紛拋法郎英鎊巴黎瑞士金價報漲
page 2	日學生闖美軍宿舍屋頂懸起紅色標語
page 2	巴黎羣眾舉行示威警察開拉丁區鎮壓打傷五十人議長波埃暫代法臨時總統職務
page 2	我國工農業科技新飛躍中東非洲商人興奮讚揚說平等互利互通有無貿易政策很好盼多做生意
page 2	要求美國歸還沖繩東京學生昨大示威數千人與警察戰鬥佐藤官邸被襲擊催淚彈槍聲響徹市面
page 2	戴高樂去職消息傳來英國政府患得患失癡想加入共同市場阻力會減少又擔心金融危機說危險將無盡
page 2	今後政經局勢將有混亂
page 2	五月風暴後聲望低降
page 2	改革方案擴大個人權力
page 2	執政十一年五次公民投票
page 2	戴高樂下台的背景
page 2	政治報告和最新指示團結的大會勝利的大會之二
page 2	毛主席林副主席當選是我們最大的幸福穗羣眾歡呼大喜訊在穗港澳愛同胞祝願祖國更加繁榮富強
page 2	港澳同胞參加慶祝年老華僑喜有靠山
page 3	美資希爾頓酒店鷹巢夜總會出新聞洋經理橫蠻毆打工友資方更迫40人停上班工人極為不滿對資方企圖均表密切注意
page 3	似此荒唐事出現澳門街活人死鬼成親少女與警員男友齟齬後潛服藥油斃命男方自咎之餘竟鋪張演出成親活劇
page 3	青年突遇襲頭部受重傷
page 3	老婦病後立意輕生吊頸被救終躍樓死
page 3	印務廿三屆代表會號召學好九大文件
page 3	飛仔嗌交之後開片四人合力刺傷一人
page 3	上月建築圖則批出六十七份
page 3	工場失玉價達五千
page 3	在壓力下想出一度絕招南華不反對職業波但要足總清一色化事涉修章問題足總打退堂鼓
page 3	如能將球員資格弄清楚港協考慮恢復足總會籍
page 3	澳洲菲律賓兩乒隊先後抵港作訪問賽澳隊明晚在伊館球場首戰香港菲中華隊五月二日起共賽六場
page 3	公開團體乒乓賽週日秩序已發表
page 3	兩項籃球賽今舉行頒獎加插男女表演賽各一場
page 3	此人嘴臉醜惡洋大律師潘黎義被檢控坐霸王車在警署擺架子自稱純白種壓人
page 3	六案九人昨日分別提堂貪污案空前繁榮包括移民局警務署徙置處的幫辦職員警員區長等貪污名目手法繁多涉及款項自五十元至逾萬元不等
page 3	筲箕灣大開片案四青年被控謀殺
page 3	盜匪橫行夜行小心裁縫夜歸遇刺斃命死前透露兇手是飛仔劫殺成份大
page 4	黨中央機構選出的喜訊傳來同胞歡呼堅決擁護要認真學習林副主席的政治報告及新黨章各業工人電影界中總等昨集會祝九大閉幕
page 4	依約往領五十元生活費又撲空嘉民數百工人追欠薪工務局昨仍拖延未發工人被欠工資已數月家庭生活日益困苦
page 4	歡呼林副主席政治報告文藝工作者即創作演出昨在慶祝九大匯演時受到歡迎今晚續演兩場明後天票今仍有售
page 4	啟德機場大廈擴建
page 4	日商貿易代表團今赴穗轉往北京
page 4	三週報失四少女這僅僅是觀塘區的數字
page 4	港英高級公務員宿舍餐廳美籍經理藏械被拘一支自動手槍及七發子彈被搜出
page 4	火水車突着火司機鎮定消災
page 4	林副主席政治報告單行本出版今發行九屆一中全會新聞公報單行本同時出版
page 4	嘉民工人昨續到公司追討欠薪
page 4	新沙皇暴行必須示眾讀者渴望早看紀錄片紛紛來信或電話詢問有關該紀錄片情況
page 4	堅決響應九大號召掀起活學活用高潮
page 6	提防國際匯率波動歐商少放貨盤港商訂歐貨比月前減縮
page 6	歐洲金融波動港金融界注視戴高樂下台將使金融波動加劇
page 6	食米買賣轉暢正盤成萬五包內地米佔近半數
page 6	法國政局動盪港股市頓轉靜交投總值昨日減至四百餘萬
page 6	國產食油市道平穩
page 6	蓮子續暢
page 6	國產特綸縐首批已到港莨紗近亦繼續成盤
page 6	西德訂貨尚多漂染廠仍較忙美英訂單寄來只得少數
page 6	成盤達二三萬兩金市又起漲風K金價越過三二五元關
page 6	湖南橙續到大連蘋果成數千盒
