page 2	社評羅斯福談話與歐局
page 3	美新機至少四百架決定移讓我國政府內包括波音式飛行堡壘六架羅斯福總統演詞斥責侵略者謂美決盡力援助亞歐民主國
page 3	各國之反響英表示熱烈歡迎認為對英可貴鼓勵
page 3	德官方極為注意各報或將避不刊載
page 3	蔣光鼐由韶飛渝
page 3	桂林戰利品運抵桂林展覽
page 3	戰時英國租稅二十一月二十八日倫敦航訊
page 3	汪黨羽強佔滬律師公會
page 3	遠東局勢演變中傳德積極鼓勵日南進
page 3	日法談判開始舉行
page 3	美國注意德輪企圖
page 3	荷屬東印度統制輸入適應貨物凡十七種日指為不合作表示
page 3	要聞簡報
page 3	黔桂努力自足自給農產增加成績滿意
page 3	日對泰居心叵測圖推翻泰國政府鼓動政變建親日政權合眾社記者由越來港之報告
page 3	戴古將赴西貢泰越又起衝突
page 3	日機襲川曾在鄂西恩施投彈
page 4	廣州日軍一部傳又調往瓊島增城日兵北犯受創
page 4	東方文化協會成立包括中日韓台越緬印籍會員推泰戈爾等九人為名譽會長
page 4	德機襲倫敦投彈數千枚到處縱火企圖燒毀全城猛烈情形九月來所僅見
page 4	日圖攫奪被看守人制止
page 4	蘇擬撤退駐羅外交代表認羅為被占領國家
page 4	緬記者訪華團謁蔣委長致敬呈獻頌詞及珍禮渝報界聯合會設宴招待
page 4	英國海陸空軍的組織三
page 4	墨索里尼委出食糧獨裁者以應付戰時需要
page 4	蔣委員長通電禁烟計劃完成今日為禁烟最後一日嗣後種運吸售均處死
page 4	沙第阿拉伯王險遭暗算事發人犯被處死義乘機誣捏英國
page 4	津美僑商會抨擊松岡演詞華北已成曩日之東三省日人眼中絕無自由貿易
page 4	英泰晤士報批評法德談判德國顧慮法屬反響對法不敢過事壓迫
page 4	法大使戈思默抵港對時局不願發表意見
page 4	馬賽寒流過境泉源凍結食水供給發生困難
page 4	日本最難受
page 4	禁政完成
page 5	日機轟炸中山八區斗門形勢頗緊張江會日軍增援揚言進攻四邑我方嚴密準備各鄉疏散婦孺
page 5	邱昌渭電告視察桂南情形劫後上思災情最為慘重省府繼續撥款救濟災區
page 5	廣州灣危機四伏米價飛漲不已
page 5	滇蠶桑改進所育苗工作著效
page 5	桂都安縣發現古生代煤層並獲珍貴化石甚多
page 5	粵省公路提高養路費徵收率元旦日起實行
page 5	瓊崖日軍竄擾遭我分頭痛擊
page 5	桂林籌備慶祝元旦舉行戰利品展覽並慰勞軍人抗屬
page 5	桂林簡訊
page 6	今日除夕市民準備迎新歲警署加派警探維持治安
page 6	青年協進會昨開首次理事會選出第一屆常務理事元旦電林主席及蔣團長致敬
page 6	流浪兒參觀紅字會慈幼院記
page 6	小學生年更會三百六十小朋友代表十一間校會
page 6	舊曆年關已近柴價未見回跌山樹被伐且有盜棺木者柴業鉅商已向東江辦運
page 6	國展會尚餘三日昨日觀眾依然絡繹不絕學生五百餘人結隊往觀
page 6	江南名醫包農輔返港籌設國醫圖書室
page 7	足球總會昨開會新春秩序排定農曆元旦日舉行麗華杯賽對賽隊及場地由月會決定
page 7	南華會三角四徑對抗明年三月舉行
page 7	除夕感言
page 7	女籃球賽一月四日開始秩序昨已編定
page 7	南大籃球征澳四戰四勝日昨奏凱言旋
page 7	洋水兵加強戰陣週末迎抗星島英倫名將披頓下海助陣透般米杜頓又捲土重來
page 7	港記者征澳隊明晨大軍啓行
page 7	股票仍欠靈活昨日成交總值七萬餘元人心尚好市底尚屬堅挺
