page 2	社評地中海拉丁集團的展望
page 3	太平洋空氣愈呈緊張美國加緊設防造艦積極撤退遠東僑民野村到美後兩國關係更惡化
page 3	傳泰將根據地供給日本使用泰宣傳局加以否認泰對澄田企圖守緘默
page 3	馬來亞防務益形鞏固英機續向北部增調澳當局聲言應付戰禍
page 3	日艦一隊泊在海防
page 3	英泰關係泰方謂無更變
page 3	統甲債票抽籤還本十一日在滬舉行
page 3	湘驛運發展衡邵段開始運輸
page 3	日對荷蘭狀類兒戲忽而抹煞忽而承認
page 3	歐戰通訊之十六封鎖中的戰時法國三本報駐法特約通訊員孝
page 3	美當局欲以貸款對華作永久投資寇里在渝會談注意我國資源美向我購物料合同正式訂定
page 3	日機襲滇
page 3	新運七週年擴大慶祝蔣會長將向全國廣播
page 3	日圖對阿富汗經濟侵略引誘阿代表赴東京
page 3	國府十日明令公佈勳章條例
page 3	日軍種種在晉東豫北縱火殘殺
page 3	統計學會將開第十屆年會
page 3	蔣夫人返渝
page 3	西江戰事激烈我軍克復蘆苞豫南駐馬店殘日在圍殲中
page 3	我代表團赴緬報聘由商震率領
page 3	國內大雪為勝利年豐收之兆
page 3	孤島雜訊
page 4	義西談話結束據稱兩國意見已一致佛朗哥到法晤貝當
page 4	巴爾幹緊張英保關係不絕如縷
page 4	德義兩國排斥美國對歐貿易
page 4	日將召地方長官開緊急會議議會定月杪閉會工商省擬設石油公司
page 4	美國朝野贊同對英及時援助租借法案可望迅速完成手續威爾基籲請共和黨領導援英
page 4	日北海道煤礦爆炸礦工遇難百餘人
page 4	端諾萬由埃抵伊拉克
page 4	阿拉木圖旬日雜記二
page 4	威爾基主撥艦援英諾克斯表示不贊同
page 4	霍金斯途中飛機發生障礙明晨始能抵達紐約
page 4	倫敦蘇使館招待郭大使席間曾談政治問題
page 4	勞合追悼會邱吉爾夫婦亦參加
page 4	美國繼續購買樹膠
page 4	美凍結外資租借案成立後傳即付諸實施
page 4	李察森將就任新職主持陸軍情報
page 4	伊里特利亞英軍迫近克倫鎮截斷阿斯馬拉交通線格拉祥尼飛返羅馬
page 4	盼泰國自重
page 4	英議員促政府聲明和平目標政府認尚未到發表時期
page 4	索科夫升任紅軍參總長年前對日作戰有功獲得蘇聯英雄榮銜
page 4	德國徵用丹麥艦隊
page 5	廣州灣歐美市場被日貨乘機奪佔赤坎匪風盛熾當前一大隱憂遂溪廉江聯防維持地方治安
page 5	廣西大學第八屆畢業典禮畢業生三十九名
page 5	日軍增兵中山斗門近郊激戰日機狂炸各地災情慘重泥灣井岸北澳亦遭浩劫
page 5	西康日記二二七第十二編永寧雜寫
page 5	中央軍校留桂同學舉行春節懇親大會加強團結統一意志力行節約共同勉勵迎接勝利年之來臨
page 5	桂林衛生展覽會速寫桂林二日航訊
page 5	粵省藝術學院提高大眾水準積極造就大批藝術師資普遍推行社會藝術教育
page 6	中航島格拉斯機一架前日由港飛渝失蹤想念在香港桂林間迫降駕駛員為華人乘客三名
page 6	中華青年會今日開始徵募會友五千人港幣六萬元聘王正廷博士為總隊長
page 6	出發盛典
page 6	新聞記者公會擴委會昨開會會員重新登記人數甚眾各同業入會者亦甚踴躍
page 6	我便衣隊襲擊深圳日軍分路向日軍司令部進攻焚燒日軍糧庫損失甚大
page 6	義郵船康特羅梭在義領海沉沒滿載難民駛往西西里島途中觸雷乘客多人溺斃
page 6	歐亞機撞及船桅只一翼略受微傷
page 6	蔡廷鍇離港返防先赴韶關轉往某地
page 6	傳染病建設計劃已擬定院赴九龍醫院隔壁山上全座樓高六層床五百張
page 6	本港民眾多患營養不良工人膳費均由工值扣除有人建議鼓勵東主供給
page 6	日軍百餘人開進南澳鯊魚涌形勢無改變
page 6	重慶寰球幻術團出國宣傳反侵略昨日抵港公演後經菲赴美在渝表演收入達五十萬元
page 6	中紅會中國紅十字會定本月十五日
page 7	廿世紀霍斯籃球隊下週過港表演比賽地點在中青或港大球房港方將派隊出場迎戰
page 7	光華排出戰陣後日迎抗東方
page 7	緬隊犯港比賽日期商定
page 7	紐約聖比亞廣場黑大力士慘敗記
page 7	外匯牌價仍無變更美匯沉寂申匯好轉
page 7	四四金市先靜後淡
page 7	國幣市況復略堅挺
page 7	股票微露生氣均益貨倉行將開派股息買戶競相吸進成交頗多
