page 2	外交戰與外交煙幕
page 3	英日談判繼續進行倫敦否認已獲結論星期泰晤士報闡述英國立場
page 3	滬美日軍官仍賡續會商意見似猶未趨一致
page 3	海外僑團電慰空軍
page 3	滬醫師護士赴渝參加救護工作現已行抵浙省金華
page 3	海外各地僑胞紛電中樞致敬
page 3	汪兆銘發表二次偽通緝令海內外各界續紛紛通電討汪
page 3	日軍航空兵向我投誠
page 3	贛勞軍團分兩組出發前線
page 3	青海各界歡迎陳立夫等政務巡視團日內赴甘肅
page 3	轟炸下的新生鼓起渝市民眾的精神齊一渝市民眾的生活
page 3	豫募款勞軍成績頗佳各界人士熱心贊助
page 3	豫東偽軍續有反正
page 3	日人將加強統制華北禁止匯款至其他各地
page 3	義小麥收穫結果較預期為多
page 3	日本鋼鐵荒中小工業最受影響勢將陷於停閉絕境
page 3	師範畢業生必須照章服務否則不准參加升學試驗
page 3	上海法僑慶祝國慶情形冷落遠不如昔
page 3	空軍與海軍
page 3	抗戰第四年開始南北戰場均報捷軍委會發言人談最近戰況
page 4	美艦隊將演習羅斯福總統再申明決不派兵參加歐戰
page 4	多佛海峽上空發生激烈空戰英倫沿岸航運遭襲擊英機再飛炸基爾船塢
page 4	義大利宣傳對英威脅謂義已將地中海切斷英國霸權將受到打擊
page 4	德義心目中之新歐洲形勢極權主義將領導一切各國唯德義主意是從
page 4	非洲義軍損失慘重
page 4	納粹報紙抨擊貝當內閣警告法國勿過放肆拉弗爾亦難免非議
page 4	近衛文磨延期返東京新黨運動有變化
page 4	日本國內汽油邇來更形缺乏汽油代用品試驗成績不及我優良
page 4	日火山爆發詳情尚未悉
page 4	倫敦法僑舉行國慶紀念邱吉爾特致慶祝辭高爾演講賡續鬥爭
page 4	自力更生
page 4	人與獸
page 4	日本對美的威脅三
page 4	麥克納特謂延長對菲統治或可謂一種智舉
page 4	美民主黨中反對連任者勢力微弱擁護羅斯福代表紛至芝加哥出席
page 5	東江醞釀大戰我生力部隊源源到達嚴密控制東增寶各線
page 5	蔣廷黻巡視抵桂出席省府致訓歷述此次巡視所得觀感並闡明經濟戰爭之重要
page 5	經濟力量
page 5	國外運來
page 5	慰勞前方
page 5	節約情形
page 5	龍泉偽軍全部撤退我軍固守背坑防線
page 5	日軍壟斷中山糧食
page 5	商人採運
page 5	川省新縣制推行順利各縣積極訓練國教師資酌量提高小學教員待遇
page 5	民教兩廳長赴各縣視察
page 5	將訓練師資一萬七千人
page 5	日偽劫持下廣州現狀粵北慘敗傷兵充斥陳彭兩逆傾軋甚烈
page 5	廣東省振濟會訓練技工人材籌備成立技工養成所
page 5	設法收容佛山義民
page 5	通貨膨脹
page 5	財政方面
page 5	人民生活
page 5	地方廣袤
page 5	最近歐洲
page 6	國立院校統一招生報名者未見踴躍去年最被數日亦曾如此教部對學生資格訂有補救辦法
page 6	去年情形
page 6	僑生資格
page 6	大學規程
page 6	補救辦法
page 6	廣西銀行秘書龐宜之昨溺斃擬赴石澳中途汽油告罄改赴南華泳場竟爾沒頂
page 6	向來體弱有心臟病
page 6	死者之妻痛不欲生
page 6	世界語學會會員大會修改會章改選執委通過向外徵求會員
page 6	港府華員職員聯愛會昨舉行成立典禮
page 6	香港目前必無問題
page 6	防空當局印發小冊子促居民注意十二點
page 6	二天堂主人借薪職工以為貯糧之用
page 6	聖約翰救傷隊
page 6	新界禾稻
page 6	華人機器會
page 6	荃灣五工廠
page 6	日機昨日轟炸鯊魚涌及葵涌死十人受傷者甚眾目標為鯊魚涌貨物
page 6	由深夜到天明前程萬里在進行中名導演蔡楚生氏之新作一部暴露的諷刺的影片
page 7	昨日棒球龍虎鬥中華慘遭失利五比七敗於美水兵岷甸奴港啤十三比二贏香港
page 7	夏令籃球激戰僑星勇克仿林心嘉杯賽東方勝漢華
page 7	公開籃球賽今晚乙組三場
page 7	一月份至五月份本港貿易概況進口以糧食油類疋頭為大宗物價飛漲造成十年來新紀錄
page 7	學界女籃球賽延遲舉辦
page 7	東方臨別秋波勝怡保冠軍二比零李四阿許建功在星再賽一場即返港
page 7	滬網球前奏我國戰將如雲
