page 2	社評海參崴與美日關係
page 3	華盛頓空氣機微野村謁見美總統呈遞近衛親筆函傳談話內容涉及一般局勢美方根據四原則進行交涉
page 3	日閣緊急會議近衛豐田解釋美日談話東京抽象說明近衛函之內容
page 3	韓國臨時政府領袖金九在渝招待報界表示在反侵陣線下奮鬥
page 3	我國政府歡迎美軍事代表團
page 3	國勞大會我代表已派定
page 3	十年來僑匯達六十億元
page 3	荷印太平洋問題的紐結一
page 3	中國訪緬團飛往仰光在緬勾留旬日左右各大城市均擬前往
page 3	全國慰勞總會撥款籌辦抗屬子弟教育
page 3	全國滑翔運動正積極推進中
page 3	美國態度堅定倘日干涉海參崴貨運必將遭遇嚴重之危險
page 3	日陸軍發言人承認我軍採取攻勢太湖西岸克復兩據點閩省敵軍向沿海潰退
page 3	粵水利建設積極推動中
page 3	汪偽組織內訌未已
page 3	法軍侵擾粵邊我提嚴重抗議保留要求賠償損失之權
page 3	中加交換使節首任公使正徵詢中我正式承認捷克新政府
page 4	伊朗問題大體解決條件尚待商談聞英蘇要求控制戰略要點直到環境許可時再行撤兵
page 4	美國加強生產機構總統令組七人委會由副總統華萊斯任主席
page 4	德軍攻勢受挫蘇軍把握主動中南區蘇軍反攻勝利低義莎外圍戰情激烈
page 4	蘇聯工業的新分配三
page 4	澳洲總理孟席斯辭職或將改任駐英公使
page 4	德軍攻勢再衰三竭蘇聯戰局前途樂觀
page 4	蘇聯破壞水電工程不異犧牲澈底焦土
page 4	美洲國家一致贊同徵用軸心船隻二十一國代表已擬就計劃英已準備放棄交戰國權利
page 4	直布羅陀防務愈鞏固克里特一幕勢難重演
page 4	駐挪德軍薄弱深恐英國進攻
page 4	卡特羅抵大馬色與政界領袖交換意見
page 4	維希倒行逆施濫殺愛國分子法奸拉氏伐爾傷勢無變化
page 4	近衛的信
page 4	伊朗問題解決
page 5	粵明年度修路計劃提前冬季興工南韶星坪兩路將繼續修築韶興路二期工程著手進行
page 5	余漢謀報告粵省軍事近況各線敵偽四出焚掠被我痛擊廣州敵軍濫用商工編入偽軍
page 5	協約國態度愈強硬太平洋戰事愈可免澳洲參議員在星洲廣播謂英荷兩屬積極備戰中
page 5	中山偽軍勒收軍糧
page 5	逐溪廣州灣獻糧勞軍共得國幣萬餘元
page 5	中美關係與將來上我國駐火奴魯總領事梅景周播講
page 5	西江敵軍增兵下游
page 6	孫院長發表時局演講論我抗戰之偉績日本南北進均屬無辦法孫氏昨主持中青救護團授旗禮
page 6	中航港桂新線下月六日開航第一班客位已告滿額
page 6	婦女會幻術振籌一訪問傅天奇幻術家暢論中外幻術源流
page 6	該團女助演員楊燦宇
page 6	柴薪統制當局表示柴薪供應無虞來源充裕黑市當可消滅商會主席為柴價謁當局
page 6	滇緬路由下月起加緊限制商運美國援華物資大量待運某運輸公司負責人返港談話
page 6	港督下月離港屆時舉行隆重歡送儀式輔政司史美暫代理港督
page 6	新界黃金產量日增月產五千餘安士
page 6	的士司機工潮談判陷僵局
page 6	香港大學增設熱帶醫藥科由羅伯遜教授主持
page 6	我運蘇藝術品安全全部物品存於安全地方中蘇文協電復本港詢問
page 7	國際棒球大決戰中國對抗美國下午三時在漆咸道陸軍球場錦標在望尚望我軍努力加鞭
page 7	鐵城杯籃球賽平正中青奏捷
page 7	光華會新職員公布
page 7	足球大戰將爆發南華朝氣蓬勃實力依然強勁下週開始練兵光華兵馬比去屆堅強
page 7	聖約瑟極力整頓軍容佳氏加入助陣
page 7	星甲組足球聯賽華人大破英商連盛雙喜臨門國材梅開二度英商最後僅八大漢支援殘局
page 7	銀行公會會員游泳比賽
page 7	居聯泳場開音樂晚會
page 7	外匯牌價俱無變更申匯市況略見好轉
page 7	股票尚稱堅穩需求續增惟供貨仍少昨成交總值七萬餘元
page 7	國幣市況先穩後堅下午價格略漲
