page 1	"克服困難的心理準備"
page 2	"二季援華撥款確定今後三個月可以動用基金共七千二百七十九萬餘美元購買糧食肥料棉花及石油"
page 2	"翁院長昨晚廣播闡述國內外形勢謂時機重要不下於抗戰但社會心理卻並不團結"
page 2	"解決物價問題應從平衡預算著手"
page 2	"各項支出均須認真緊縮"
page 2	"監院即可復會各省市監委行署人員將由非本籍委員擔任"
page 2	"物價高漲皆因通貨膨脹"
page 2	"立院昨天宣告休會二次會期九一開始關於開徵臨時財產稅一案等起草實施條例後再討論"
page 2	"廸化通信新疆一件婚變案"
page 2	"下半年預算數額傳達九百餘億元政府將裁駢枝機關及冗員同時改善前線士兵的生活"
page 2	"漢口水位漲江漢關碼頭水已平岸"
page 2	"天津金管局破獲金鈔黑市機關人犯中有猶人及韓人五個並抄得美鈔黃金銀元一批"
page 2	"內政部設調查局立法院廿二次會議通過"
page 2	"杭州警察總罷勤起因是軍警發生衝突警察一被殺死一受傷"
page 2	"濟南外圍又告緊張冀境國軍重入清河"
page 2	"大型颱風吹近台灣暴風半徑達二五○公里最大風速每秒五十公尺"
page 3	"美第三黨定名為進步黨華萊士接受候選人提名華氏表示願赴蘇會晤史達林"
page 3	"華萊士抑或戰爭黨員說美人必須選擇其一民主共和兩黨是一丘之貉"
page 3	"狄托與情報局難有調協機會"
page 3	"英軍中東總部改組擴大轄權"
page 3	"日航業界十年計劃恢復四百萬噸船隻預算經費需一千餘億日圓"
page 3	"美蘇冷戰將有發展克萊請示後返柏林據說將續尋求解決方法"
page 3	"蕭翁自稱半死幽默地否認他的死謠"
page 3	"東德改革幣制新馬克將為唯一合法通貨佔領當局宣布換錢的辦法"
page 3	"法新內閣尚未組成馬里向議會提政綱中間派及右派表示支持"
page 3	"和平展覽會波蘭在布城舉行"
page 3	"南韓總統就職李承晚老淚縱橫登場道白大罵北韓政權"
page 3	"太太跳樓壓死丈夫戰犯表功希圖減罪"
page 3	"聖城砲火又烈阿猶均指對方攻擊"
page 3	"軍事清剿行不通馬來總督主用政治說要建立更好的社會環境瓊斯證實宣布馬共為非法"
page 3	"歐洲復興計畫會議霍曼夫在巴黎召集舉行受援各國報告實施情形"
page 3	"日蝦夷土王鳴不平為被壓迫八千族人請命訪謁我駐日代表團團長"
page 4	"衛生局英籍幫辦詹臣受賄在庭認罪被判入苦工獄二年律師說被告神經不健全"
page 4	"撕毀二百元鈔終被警方查出"
page 4	"調查飛機失事澳警避捕三人認為失事可能由於被劫"
page 4	"楊元忠昨會港督"
page 4	"違背旅館限價可能罰金萬元"
page 4	"伏騎樓睇戲一女生跌傷"
page 4	"汽車牌照更換辦法"
page 4	"工商展覽報名踴躍原有攤位恐將不敷青年會準備擴大場地"
page 4	"保良局賣花成績香江女中獲冠軍"
page 4	"炸沉民光輪的水雷可能是美空軍所投"
page 4	"警員奮不顧身獲得勇敢勳章"
page 4	"沙頭角恢復平靜"
page 4	"夏鼎來港推行新華文字"
page 5	"國幣內匯步步回升申匯直逼一零元關滬銀根奇緊港賣主極稀"
page 5	"台省出口貿易輸管會決扶助放寬包裝材料輸入"
page 5	"穗市銀根仍緊港幣先跌後昇昨晨七八至八○萬間下午回漲至九五萬元"
page 5	"撙節外匯維護國產取消抽水機等入口穗處認為影響華南工業生產"
page 5	"檳榔嶼六月份對外貿易統計輸出二千七百餘萬元入超二百九十餘萬元"
page 5	"穗央行自明日起無限制收兌小鈔對於拒用四萬元鈔認為投機份子作祟"
page 5	"南京市場禁賣銀元"
page 5	"砂糖輸入"
page 5	"食米輸入"
page 5	"錫輸出"
page 5	"南京物價已趨平穩"
page 5	"印尼對外貿易出超九百萬盾香港輸入八二萬盾中國輸入六六萬盾"
page 5	"漢市米價四千萬元"
page 5	"廣州在物價狂潮裏"
page 5	"滬和談謠言瀰漫物價大跌"
page 5	"金市況寂美匯呆滯"
page 5	"金市一週述評週初狂升週末猛降市場心理先好後淡"
page 6	"我世動隊在英苦練籃球隊竟敗於埃及足球隊明日對美友賽樓文敖試跑成績平平"
page 6	"世運會旗竟然被竊宿營問題已告解決"
page 6	"美田徑教練豪語無人可以擊敗美國"
page 6	"游泳比賽程式已抽籤排定世界短途泳家將碰頭女子項目參加者較少"
page 6	"國防體育會議前日在英召開董守義江良規等出席"
page 6	"美國女將首逢勁敵"
page 6	"我派代表出席國際大學會議"
page 6	"籃球賽昨全部停止今天按表又有三場"
page 6	"培正中學舉行全校行政會議"
page 6	"世運火炬遞到米蘭"
page 7	"四萬元鈔成了濕柴廣州貧民叫苦連天市府請央行無限制收兌小鈔否則即將公告市民說明責任"
page 7	"增城也拒用四萬元鈔一小時內物價漲一倍"
page 7	"新會械鬥日趨惡化省港同鄉奔走調解無效何彤昨已率兵趕往彈壓"
page 7	"械鬥第一日出動火箭砲轟毀蓮子塘沙民扶老攜幼逃難牲畜稻穀燒掉不少"
page 7	"屠宰稅將跟物價漲"
page 7	"貧窮的縣政府沒有水災也要振款政院撥二四零億振水災"
page 7	"省警保處改組有期定下月一日改組為保安司令部宋子文黃鎮球張炎元分任正副司令"
page 7	"粵漁業有進步獲魚量逐月增加"
page 7	"鶴山高明邊境共軍企圖生根並揚言保護收割"
page 7	"建設示範鄉村工業廣東工作隊到廣州將去順德曲江興寧調查"
page 7	"綏署提解吳履遜軍法處派員經港赴汕陳偉烈來港又指責喻英奇喻英奇將到廣州親作報告"
page 7	"楚材粵用擴編保警十六團要向湖南去募兵"
page 7	"械鬥第二日槍砲聲更緊"
page 7	"穗市公共汽車定今天起加價"
page 7	"實習班的學費也以港幣計算開平窮學生讀不起"
