page 2	社評英王訪美
page 3	豫鄂戰事順利進行棗陽克復續向隨縣壓迫粵境我軍進抵新會城郊
page 3	贛北之Ｘ在我軍控制中南昌爭奪戰Ｘ傷亡慘重
page 3	蘇境我軍繼續挺進
page 3	滬租界恢復原狀動員警戒試驗滿意鼓島事件可望解決
page 3	Ｘ機狂炸下的重慶二五月七日重慶航信
page 3	英使昨離滇
page 3	上海日圓跌價的裏面
page 3	字林西報評四報停刊事代工部局解脫
page 3	從軍樂各地壯丁奮起踴躍參加兵役
page 3	Ｘ艦擾閩沿海Ｘ機炸福州馬尾
page 3	長江Ｘ艦被我砲兵邀擊一艘中彈受傷
page 3	Ｘ五相會議昨晨閉幕發表聲明對歐仍採騎牆政策
page 3	滬Ｘ捕我同胞指為放火團員
page 3	國聯明日開會王部長發表聲明我抗戰勝負關係世界望各會員國履行義務
page 3	反侵略運動中國分會今晚代表大會英國分會積極助我鼓勵對日經濟制裁
page 4	哈里法克斯赴法會商英蘇問題巴黎政界表示樂觀蘇駐英大使亦抵法
page 4	首相張伯倫在眾院解釋英蘇誤會希望早日完成
page 4	英眾院通過信任案政府改變政策波羅態度轉好
page 4	從大別山裏送來的俘虜中央社特派員范世勤
page 4	邱吉爾艾登促政府欲謀保證安全不能摒棄蘇聯
page 4	德義軍事協定明日在柏林舉行簽字兩元首繼續視察邊防
page 4	小相嶺內外續西康踏入記二
page 4	德對英蘇談判強作鎮定戈培爾不愧為宣傳大家竟能顛倒黑白無中生有
page 4	英工聯會通過參加國防工作否決實行罷工以反對徵兵法
page 4	英王抵渥大瓦蒞臨議會發表訓辭希望團結効忠帝國
page 4	Ｘ國的對歐方針
page 4	色厲內荏
page 4	立外長赴德簽德立商約解決米美爾各項問題
page 4	獨立第一
page 4	Ｘ國的對歐方針
page 5	江會全線昨戰更烈我軍冒雨衝入會城江佛新鶴兩路我均攻擊前進中山台山沿海尚有Ｘ艦肆擾
page 5	Ｘ艦發砲威脅中山
page 5	川滇東路八百里二脚踏車週覽記
page 5	賊至不空回汕頭市又遭轟炸過境Ｘ艦亦派四機飛來擲彈炸毀燒却民房頗多傷人十餘
page 5	海口之Ｘ恐嚇英輪
page 5	陸空激戰遂溪縣擊墮Ｘ機噴烟冒火不義自斃防空部隊建立大功
page 5	粵財廳督收中順新屬沙田捐林建略奉派抵中山
page 5	蔡廷鍇出巡抵廉江
page 5	北海關查獲私鈔泰生輪搜出約萬元海關已定限制辦法
page 5	粵北我軍進逼江村廣州Ｘ築近郊工事
page 5	中山整理交通
page 5	澳門調查戶口
page 6	本港新聞擴築中環堤岸港府頒佈填海法例因私人權利有所請求者在兩月之內函達工務局
page 6	戰區退出員生教廳續辦登記教員派往臨時學校服務介紹學生借讀並予補助
page 6	錦田難民營難民離營返鄉由惠陽商會給川資遣送無家可歸者均送墾殖場
page 6	英艦舉行砲擊演習星期二及星期三
page 6	本港各界追悼尚仲衣參加代表百餘人
page 6	救亡劇團昨招待各界報告出國任務提高海外僑胞抗戰情緒以抗戰實況向僑胞報道
page 6	陰雨連綿水塘水量劇增前夕至昨晨得水二寸餘預算昨日可獲一寸以上
page 6	一九三九年太平紳士題名中西共達二百七十名新委六人華人五十四人
page 6	郎靜山影展閉幕昨日觀者數百人
page 6	本港女青年會十九週年紀念會報告戰時服務及財政等並有歌詩國防劇等助興
page 6	復旦中學定期舉行國民宣誓
page 7	今日南華足球隊出戰海軍干和艦南征人選將以此賽為藍本臨別義賽對港聯因雨改期
page 7	我台盃網球隊雙打又敗績許蔡心餘力絀三比零被淘汰第三週中法國將遇英國
page 7	台杯錦標預言却令治週澳洲遇美國勝負關鍵繫于雙打賽
page 7	英國網協會提倡用新球
page 7	今天棒球聯賽南華對岷甸奴第一場西洋先戰香港會
page 7	荷匯牌價縮一咽英美匯市況穩靜申匯再略趨淡買賣仍然不多
page 7	過去一週間股票市況穩靜成交總值六十餘萬元存戶少拋出股價穩定
page 7	八九金市略穩但靜買賣猶少價格微漲
page 7	滬銀行利用游資開發西南經濟西南各省總分支行現已激增
page 7	英金不動英銀俱跌
