page 2	社評抗戰兩週年
page 3	今日抗戰第二週年紀念蔣委長發告友邦書我國決不計犧牲打擊侵略者友邦急起制裁日閥必將崩潰
page 3	今日七七滬租界緊急戒備蔣夫人在渝廣播
page 3	抗戰第二週年紀念日告日本民眾書
page 3	汪逆徬徨歧途現仍匿居滬虹口偽聯委會將在青舉行
page 3	粵公務員實行淩晨出操
page 3	桂學生軍決定擴充名額
page 3	廣州新把戲
page 3	上月對外貿易輸出入均增加
page 3	林主席電慰蔣委員長
page 3	我軍迫近廣州新會江門仍在激戰中
page 3	調整對外貿易辦法全國商界一致擁護
page 3	粵省各團體電英法使節慰問天津外僑
page 3	溧陽一帶戰事激烈進展
page 3	Ｘ機昨晨襲渝曾投下炸彈多枚市內有兩處起火
page 4	東京談判先聲反英運動擴大津日軍代表今抵東京發言狂妄圖向英恫嚇
page 4	英眾院討論天津租界問題四嫌疑華人決不引渡英對我法幣觀點不變
page 4	顧大使訪法外長龐萊會商遠東問題
page 4	Ｘ陸相板垣發表荒謬談話即滅亡中國意猶未足竟欲打倒援華第三國
page 4	不降必勝論紀念七七兩週年作
page 4	蘇駐日代辨即將返國
page 4	波未雨綢繆已決定行動計劃
page 4	美國將宣布購銀新價格
page 4	美中立法修正案遭參院延宕改期至明日討論參院通過折衷案
page 4	英對莫斯科談話作最後努力主先發聯合宣言暫擱置保證問題
page 4	蘇蒙軍反攻結果奪回原陣地三日來日軍損失極大
page 4	緬甸總督月內將訪印督討論防務問題
page 4	英對波羅等國將予經濟援助內閣對貨款問題已作有利的決定
page 4	菲島各界集會主張抵制日貨並上書羅斯福總統要求對侵略國實行軍火禁運
page 4	以勝利紀念七七
page 4	關於英日談判
page 4	我們的歉仄
page 5	抗戰二週年紀念蔣委長告全國軍民書
page 5	抗戰第二週紀念日告日本民眾書
page 5	中國戰時財政與友邦在華之利益
page 6	抗戰兩周年今日各僑團隆重紀念七七素食售花義演停止娛樂公祭陣亡將士死難同胞
page 6	前杭州美術院長陳天嘯由菲來港在菲展畫籌國幣五萬元今日赴滬轉美參加展覽
page 6	華商總會選出本屆值理百人李星衢所得票數最多定期十五日互推主席
page 6	學賑會組織暑期農村服務團團結各校同學服務農村擬定簡章今日開始報名
page 6	李子方代理定例局華人代表代李樹芬假期內職務譚雅士今日離港赴英
page 6	運蘇藝術品港徵集處昨開會招待贊助人及審查員等亟盼各界人士踴躍贈送
page 6	獻劍領袖籌委昨晚開會
page 6	中航機
page 6	中學生的出路女學團召集座談會討論男學生決動員回國服務
page 6	中新學院同學會成立今日開成立大會
page 6	南華學院改稱南華大學
page 6	國華藝術社書畫義展
page 7	溫布爾頓網球賽美國包辦男單打朋西克亨克爾啞子吃黃蓮力格斯勢雄雙料冠軍有望
page 7	網球雜感
page 7	南華會陳漢明任總會委員職
page 7	蓋爾斯世界紀錄
page 7	公開水球聯賽域多利勝仗六比二鍾聲會輸得慘
page 7	港籃球聯會明夜開會議
page 7	下季足球賽隊伍增加
page 7	上海業餘游泳協會港滬埠際賽九月七日起在滬舉行滬選手賽前兩週選定
page 7	外匯牌價全無變動英美匯俱穩靜申匯買賣略少匯豐銀行吸進申鈔五十萬元
page 7	何謂八九金
page 7	英金微弱銀價暴跌
page 7	八九金市仍淡且靜買賣稀少價格微降
page 7	國幣昨漲因傳釐定七便士毫券亦隨之稍升
page 7	股票市況好轉買戶久靜思動吸進較多成交數量較前日多四倍
page 7	七七的破格娛樂品到皇后戲院看東亞霸主夢的ＸＸ
page 9	抗戰到底對僑胞的幾種希望
page 9	戰地政治工作與抗戰前途為紀念抗戰二週年作
page 9	勿忘浴血應戰的前線將士
page 9	勿忘顛沛流離的後方難胞
page 10	抗戰二年來幾個根本問題的檢討政治部陳部長告全國軍民廣播詞
page 10	我的戰場觀
