page 2	桂南二次告捷
page 3	桂南加緊包圍殲滅賓陽附近全部肅清
page 3	贛鄂日勢已疲屢次竄擾均遭痛擊潰退
page 3	綏西展開血戰冒險深入日軍死傷慘重
page 3	滬郊我游擊隊衝入龍華機場以手溜彈炸毀日機數架
page 3	桂南此次大捷意義極為重大證明我作戰確有計劃今後戰局樞紐操我手
page 3	山西的新軍二
page 3	于院長關懷王開疆遺孤
page 3	湘桂缺鹽桂禁私鹽運湘
page 3	李主席報告出巡經過災區善後正竭力恢復中本年財政方針面目一新
page 3	春禮勞軍運動各地成績均佳
page 3	粵省政當局通電討汪西訂舉行討汪大會
page 3	汪登場日期又傳在四月初滬西連日群奸畢集
page 3	義報論汪無法削弱抗戰實力
page 3	行政院常會
page 3	農民銀行努力復興農村先後貸款不下一萬萬元並擬協助農民興利除弊
page 3	日機二十七架又襲滇越路在開遠上空被擊落一架閩浙各地迭遭騷擾
page 3	莊俞病逝昨日在滬入殮
page 4	美參議院開會討論對華貸款史托克斥責日暴行堅主擴軍備戰軍鞏固關島
page 4	日議會又起波瀾牧野指責軍人干政小山盛氣譏刺有田
page 4	英法聯軍增兵近東澳紐英軍大部抵埃敘利亞法亦駐重兵
page 4	美擴充空軍航空工廠加緊趕製供應國內海外需求
page 4	一碗飯運動美舊金山僑胞籌款救濟難民
page 4	倫敦日記四一月十六日劍橋航信
page 4	英土商務協定本月十九日起生效
page 4	蘇德商約簽字德以機器及工業製成品易蘇油類礦苗草料等物
page 4	瑞典興築博頓防線工事進行迅速
page 4	加拿太公祭狄資米爾
page 4	瑞典船隻損失奇重計達三十四艘
page 4	希特勒電墨索里尼交換和平運動意見傳羅斯福希望六月獲得和平
page 4	蘇對芬蘭加緊軍事壓力在卡列利亞續集大軍曼諾海姆線攻勢尤烈
page 4	淺間丸事件谷正之昨晤克萊琪磋商釋放德人手續
page 4	寒潮重襲西線僅有前哨接觸聯軍舉行前線軍事會議
page 4	甘納第有參加競選說
page 4	德輪四百艘匿處中立港
page 4	拉商務代表將赴倫敦英當局表示歡迎
page 4	芬蘭之命運
page 4	日議會雜景
page 4	日各地騷亂火災時起物價高漲
page 5	南洋華僑回國慰勞團各地代表已選出籌賑總會現正積極徵募藥物鑄製紀念品呈獻委座
page 5	日艦砲轟中山江會形勢略緊
page 5	日軍進窺浙東攻勢已頓挫蕭山被劫受害慘重杭州城內市面蕭條
page 5	粵長途電話飛速發展重要幹線已陸續完成
page 5	粵今年施政中心工作共決定十八項
page 6	東華三院新舊總理敘會李耀祥當選主席本月廿二日舉行交代禮周兆五致辭作臨別貢獻
page 6	難童工藝救濟院賣物會今日開幕會場假干諾道中華商總會各種用品外並有名流書畫
page 6	集賢工籌辦義學十二間推黃克強夫人任董事長許兆賢籌一校一年經費
page 6	克得蒲爵士改二十四日來港
page 6	國展義賣共獲二千餘元
page 6	中美文協今日招待大使
page 6	衛生局昨開會騎樓禁設間隔亦不許用作浴室廚房等違者須改善申辯皆無效
page 6	綠野仙蹤皇后平安今日聯映
page 7	東方體育會準備派隊征菲雙方經已接商四月中成行同時並組織女籃球隊出發
page 7	星工商籃球隊攻打爪哇下月廿三出發
page 7	銀聯籃球賽郵匯戰華僑
page 7	大生杯排球賽週末繼續開戰英皇逢鬥平山有看頭
page 7	閒話裁判員
page 7	體協會足球部開軍事會議商討華聯人選迎戰西貢下午五時半華人行聚義
page 7	星足球聯開始角逐
page 7	球迷來信討論華聯戰陣
page 7	英美匯市轉趨呆滯申匯仍淡牌價略漲
page 7	昨日本港股票市況仍蓬勃人心趨好買胃暢旺
page 7	八九金市昨日仍甚沉寂
