page 2	社評日本之煙幕外交
page 3	桂南反攻又獲勝利克復八塘奪獲械彈如山積日軍主力已退集邕寧四郊
page 3	晉攻長子長治綏克麥達昭站
page 3	保衛大西南筑各界開宣傳大會入夜舉行火炬遊行
page 3	無價不漲滬豆腐店亦停業聲稱將整頓市價
page 3	張惠長被控走私溺職省府下令撤職
page 3	軍委會發言人說明出擊意義日人所以故甚其辭適暴露其恐慌心理
page 3	西北歸來
page 3	陳誠李濟深過桂赴前線視察黃主席報告桂軍民配合必能殲滅冒險深入日軍
page 3	日機飛川肆虐十架偵察京滬路
page 3	湘桂路桂柳段試行通車
page 3	國民外交協會聘定各分會籌委
page 3	渝新聞界公宴宇巴雀
page 3	行政院會議
page 3	滬槍殺案迭出朋家春被擊殞命王沛恒無人認屍
page 3	廣州偽警譁變焚燬偽司令部市內景況蕭條
page 3	中央將在滇黔設置行營內定由龍雲兼主任滇省情形氣象一新
page 3	綏西郵電網業已加以改善
page 3	溺職被捕邕寧某局長解省
page 3	漢法租界應日方要求舉行大搜查
page 3	對開放長江問題美仍保持緘默日軍部報紙警告野村如美不改態度請辭職
page 4	芬蘭北部危急戰事延至挪威邊境中部芬軍反攻獲勝
page 4	北海上空英德空軍大戰英機飛襲海裏哥蘭灣擊落德驅逐機十二架
page 4	北歐國家反對蘇聯侵芬瑞典挪威最感關切對芬主張實質援助
page 4	蘇艦隊在黑海演習
page 4	張伯倫訪晤達拉第
page 4	日本民生日蹙各地發生搶米暴動物品缺乏囤積風盛
page 4	美機運芬共四十四架
page 4	愛沙尼亞盛傳蘇軍民暴動政府派員赴芬查究莫斯科否認有騷亂
page 4	淪陷區域經濟政策之再檢討續
page 4	西線大風雪常有巡哨戰
page 4	曼谷僑胞公祭蟻光炎
page 4	吉卜齡之妻昨在英格蘭逝世
page 4	菲律賓火災無家可歸者甚眾
page 4	英德艦在南美交綏事美洲國家抗議希特勒等會商斯比事件阿根廷扣留德艦長船員
page 4	英潛艇擊沉德新式軍艦邱吉爾講英德海戰加拿大遠征軍抵英
page 4	駐渝外籍記者聯宴中宣部長王世杰致答詞希望宣揚正義
page 4	蘇日漁約談判傳其中最大障碍為中東路款糾紛
page 4	北平英軍一部續撤南下
page 4	所謂冬季攻勢
page 4	粉碎一切讕言
page 4	英德空戰
page 5	我軍反攻江會戰事各路均續有進展日軍封鎖內河省江交通斷絕
page 5	省防空協會頒布疏散避難要點不宜聚集叢林致招捐害防空壕坑必須偽裝隱蔽
page 5	粵中等學校行政組織教廳實行改善
page 5	西康日記廿
page 5	虎口餘生中山偵查團長劉胥平脫險記
page 5	全國遍設辦事處大量收購豬鬃川黔收貨處業已成立
page 5	粵省立醫院籌備完成定明年元旦開幕
page 5	改進川省公路短期內將補充大批車輛困難問題不難圓滿解決
page 6	節約建國儲蓄券港政府禁止發售財政監理官畢打士談稱與非常時金融條例牴觸
page 6	油蔴地亞洲旅館一少婦被勒斃前晚與一男子投宿昨午被害兇手疑係情人原因不明
page 6	市衛生局昨日開會在地下設臘味店須為三合土建築
page 6	中華回教青年會響應募衣運動已於十五日起至月底止定三十日晚舉行遊藝會
page 6	婦女慰勞會賣物會成績約有七八千元
page 6	各界賬聯會昨日開會議決多案促各會員踴躍出席
page 6	駐港英海軍追悼同僚昨在聖約翰堂舉行
page 6	德輪華員三百人解僱返港
page 6	荷屬瓊僑匯欵救鄉王大顯等匯來千元
page 6	理髮店重新訂定價目由昨日起實行
page 6	業餘聯誼社定期歡迎新社友
page 6	崇正總會救濟難民委員會捐軍毡並濟難民
page 6	培正中學成立五十週年紀念
page 6	九龍冬季施食會將施飯救濟貧民擬於夜間至各街道巡查以認出確實需要救助者
page 6	鍾聲慈善社新職員題名
page 6	冼秉熹律師今晚廣播講演
page 6	花卉展覽明年三月間舉行香港蒔花會昨日下午五
page 6	必麗素明日起照新價發售
page 6	蘇聯空軍中央戲院今日放映中央戲院今日五塲放映
page 6	萬有文庫簡編已開始出書
page 7	聖誕節國際杯賽我軍點將備戰蘇葡兩戰陣昨亦產生
page 7	民大慰勞團足球義賽定耶誕日舉行
page 7	瓊海籃球隊打勝復卅七比卅四跑馬地瓊海中學校籃球
page 7	沈瑞慶明日娶婦
page 7	越華僑籃球決賽白鷹榮膺冠軍卄三比卄一潮光受挫國手尹鴻祥表演出色
page 7	中國青年體育之動向五
page 7	尖事記
page 7	記者小球隊今日集中訓練
page 7	特別銀牌足球首週賽程排定
page 7	美菲荷匯牌價續漲英匯市況沉寂美匯亦復趨淡申匯市況好轉銀行頗多拋出
page 7	八九金市況沉寂下午全無成交
page 7	股票轉趨下游存戶圖利心切買家乘勢壓低成交數量減退市底亦屬靜寂
