page 2	廣東文展閉幕感言
page 3	邕賓路日軍又蠢動七八塘間戰況猛烈江南我軍襲滬杭路予日重創
page 3	進步的新疆第二三年計劃實施一年人民豐衣足食無一失業
page 3	地理家談日本人種來源與地理形成
page 3	榆林各界歡迎中電攝影隊並放映電影 
page 3	汪派罪狀綁架三歲幼童隨意開槍殺人
page 3	群奸內鬨三角式醋劇正在調解中
page 3	川康政工會議在蓉開幕會期五日 
page 3	吳忠信電中央報告旬日內離藏
page 3	川華大前校長畢啓捐款興學國民政府明令嘉獎
page 3	晉南日軍毒化政策強近人民種煙
page 3	政府發言人斥日人造謠抗戰決心始終如一
page 3	滬大劫案老鳳祥銀樓損失六萬元
page 3	開封日司令厭戰自殺
page 3	川出征壯丁日內開赴前線渝市盛大歡送
page 3	日人無中生有誣衊陳雲裳陳女士否認在滬灌片
page 3	日本假仁假義菲人洞燭其奸中日間問題可為殷鑒對菲無野心難以置信
page 3	李霞卿將由美國飛南美為祖國捐募款項
page 3	滬漢間郵件橫被延宕漢美總領同日交涉
page 3	東京警視聽編制汽油的新花樣組夜行者步行俱樂部行人不得以汽車代步
page 3	滬法租界維護民生成立物價評委會
page 3	陸子冬發明煤炭人油爐費用極為節省
page 3	教部將在渝設音樂學院
page 3	本港南華早報社評痛斥日汪亡華詭計
page 3	新運與兵役軍政部何部長廣播演說
page 4	韋爾斯抵羅馬晤墨索里尼及齊亞諾英法各報一致歡迎
page 4	英法充實近東防務義極感不安英將掌握義非交通義擴張計劃受打擊
page 4	泰樂抵梵蒂岡定期進謁教皇
page 4	北歐英艦監視德海軍
page 4	美外部發表秘密外交文件藍辛石井談話
page 4	傳德保證瑞典中立
page 4	芬軍退守新線維堡危在旦夕蘇砲攻猛烈全城被毀德任調解說喧傳仍盛
page 4	權威方面認為無據
page 4	德義經濟協定德以煤斤易義原料
page 4	日最高軍參會舉行會議討論重要問題
page 4	羅保商約成立羅方代表返國
page 4	保南將締協定促進兩國文化關係
page 4	韋爾斯抵羅馬
page 4	德在丹麥邊境構築工事並令居民隨時準備
page 4	齊藤事件複雜
page 4	西藏紀行一
page 4	英空軍襲德攝得德方寶貴照片歸航途中險遭不測
page 4	丹瑞挪三國外長聯合發表宣言期望蘇芬戰事能解決秉公正態度維持中立
page 5	雙水口戰事平靜三埠形勢趨穩定古井日軍全部退回江會
page 5	滬商會提倡集團購洋米有效平定米價惟此一法奸商抬高限價判處拘役
page 5	二期平糶集團購米
page 5	滬煤價飛漲漫無止境旅館浴室均告加價
page 5	抬高米價奸商受懲
page 5	瓊島日軍搶劫糧食被我誘擊死傷甚重
page 5	韶關婦女界籌備紀念三八節
page 5	中央訓練團黨政訓練班桂省保送十一人
page 5	變賣逆產賑濟順德貧民
page 5	傜民的福音記連陽安化教育區下
page 5	工作計劃
page 5	西康日記六一
page 5	化傜先要傜化
page 5	澂江中山大學疫症流行學生死亡已達數十人
page 5	甬紹電話暢通地方安謐竄擾臨浦日軍即可肅清滬甬輪隻減少土貨滯積
page 5	市場公告嚴禁抬價豆米茶會市場昨發第一
page 6	鶴園新電廠昨舉行開幕典禮特請港督蒞場到來賓千餘人中華電力公司開辦已四十年
page 6	八十二年前人口祇八百
page 6	華商籌賑會勸募隊開始工作昨得國幣一萬三千餘元期滿可望超出國幣十萬
page 6	工業之發展多賴以推動
page 6	惠陽博羅兩縣積極恢復一切政訓員從事訓練民眾張敬之來港談當地情形
page 6	英海軍對德的作戰英國遠東情報局播講
page 6	粵文物展昨日宣告閉幕
page 6	李應林博士昨歡宴港督及港大校董到港大嶺大兩校各院長等
page 6	因來源短少本港鐵價飛漲傳澳洲四月間禁鐵出口每擔售價有漲至廿元者
page 6	旅美華僑朱耀渠返回視察的印象重慶斧鑿之聲鎮日不停春禮勞軍車夫到處獻金
page 6	今日之九龍已遠非昔比
page 7	週末足球精采戰南華南鬥米軍星期日舉行乙組錦標決賽南華磨拳擦掌抗工程
page 7	港網球賽徐氏兄弟退出
page 7	滬史高托盃賽東華慘敗記葡萄牙寫意大勝八比一況悶的九十分鐘
page 7	而今而後
page 7	加油加油
page 7	徐潤培昨在臬署訂婚新人葉潤卿
page 7	銀行業餘聯誼會舉辦小型球賽籃球定廿八頒獎
page 7	港籃球聯會週末開會議
page 7	英匯美匯市況沉寂申匯仍淡牌價微漲
page 7	八九金市昨日交易寥落
page 7	股票市況蓬勃買胃暢旺股價俱告大漲全日成交達七十餘萬元
page 7	復旦單車隊旅行新界下午五時返校
page 7	論位置戰法為南華得旭和杯而寫
page 7	彼此彼此
