page 2	義大利參戰問題
page 3	我軍再度克復棗陽渡襄河殘日圍殲中我空軍大編隊飛鄂北助戰
page 3	晉南迫近晉城正圍殲殘日中
page 3	上海兩租界決嚴守中立滬法使館發言人稱絕不變更對華政策
page 3	六三禁煙紀念蔣委長頒發訓詞禁煙猶如抗戰必須繼續奮鬥打擊日偽陰謀促成復興大業
page 3	僑慰三分團今日由甘赴寧夏
page 3	周恩來抵渝
page 3	滇各界舉行禁煙紀念大會三青團並實行化裝宣傳滇省禁種成績頗為完滿
page 3	內政部禁煙會首次常會開幕
page 3	傳美政府考慮對日道義禁運將禁止機器等輸日
page 3	石友三等通電討汪
page 3	政務巡視團由湘抵贛吉安
page 3	滬槍殺案三極無線電學校校長學生被擊傷
page 3	日首相米內談對歐戰態度不介入是不得已辦法對美對蘇尚存幾分顧忌
page 3	暴風雨前的英國二劍橋五月十三日航信
page 3	滬日本軍人包庇歹土睹窟娛樂監督命令無效傳山木業已實行辭職
page 3	良口附近續克要點我軍展開包圍陣勢
page 4	義參戰空氣益濃英法沉著應付在地中海增強兵力巴爾幹各國態度堅定
page 4	美國加緊運機赴英法已有數百架在途中英派代表赴美接洽
page 4	義國郵船按期由菲來港
page 4	美國艦隊仍留駐夏威夷
page 4	歐戰告一段落德準備新攻勢海峽聯軍大部已撤退萊諾貝當赴前線勞軍
page 4	開萊孤軍英勇卓絕
page 4	德軍損失六十萬人
page 4	英先遣隊奉命撤退
page 4	艾登廣播海峽之戰
page 4	蘇聯同意英使人選克利浦斯將赴蘇
page 4	美國輿情贊成援助聯軍在各名人之主張中包括由放款至參戰
page 4	比國王儲現仍在巴黎
page 4	棗陽再克復
page 4	日組黨運動
page 4	日本醞釀一黨運動擁近衛為魁首
page 4	勒塞爾區伏屍無數
page 4	提倡模型飛機運動
page 4	西班牙囂張但不致改變中立
page 4	土耳其注視義行動賽丹促國人作準備
page 5	佛岡新豐形勢穩定良口以南混戰中日聯絡被切斷不難全數就殲我連克要點掃蕩得手
page 5	節約儲金運動粵擴大推進計劃吸收社團基金公產息金韶關各行商會商討競賽辦法
page 5	壯丁訓練成績檢查粵省列為乙等
page 5	良口慰勞團前日已出發
page 5	蟻光炎被刺案上訴勝利鬧市行兇蔑視警權罪無可赦兩被告加刑六年十五天
page 5	江會方面戰事沉寂我軍部署反攻
page 5	東北江振務陳志臯出發視察南路四邑 擬設辦事處
page 5	粵省貿易去年出超突破歷年紀錄
page 5	桂林建築廣西劇場九月初可完成
page 5	經部平價購銷處協助土貨改良資助鄉建學院訓練人才外購平價貨物即將到渝
page 5	桂省裁撤各區公所另設鄉村政務督導員
page 5	西康日記九九
page 5	第四編康定及其附近西康風俗概述
page 5	一一○康定榆林宮途中
page 6	羲皇台一刀三命案關麗珍昨日初審嫌夫寵妾輕妻時起爭吵林蓮桂受刀傷七十一處
page 6	因避戰禍來港同居
page 6	調解無效下街呼救
page 6	小童老婦傷重而死
page 6	英王誕辰慶祝儀式規定史美檢閱駐軍
page 6	茶樓聚談曾發牢騷
page 6	吵鬧起因為事甚微
page 6	完整菜刀現已缺口
page 6	英服務團尚有兩人留港
page 6	婦女節制分會展賣會月中舉行為華南難民社募建築費各校允贊助並表演遊藝
page 6	本港銀行公會通告提早開市收市時間
page 6	戰稅局分發所得稅填報表寄與應納薪俸稅之居民如未接到者可通知該局
page 6	各界振聯會常務理事會商討籌款辦法
page 6	工業合作社舉行慈善換物會地點中華中學日期八九兩日為籌募工合香港單位基金
page 6	薪俸稅率
page 6	嘗怨其夫寵妾輕妻
page 6	江心美女士訪問記上關於武漢合唱團的又一報道
page 6	死者生前並無病徵
page 7	日本之無聊把戲汪記小漢奸日本出醜代表團在東京受監視
page 7	東方在岷第四戰七比一勝華聯金海三球李四文治各建兩功華聯個人球藝不壞聯絡太差
page 7	東方遠征隊在星賽程排定
page 7	記者伶星賽球
page 7	美菲荷匯牌價回縮英匯沉寂申匯趨淡
page 7	國幣續跌最低為二三元
page 7	八九金市依然沉寂
page 7	孤島畸形繁榮全國一大漏巵錦衣肉食之流浪費國力對外貿易入超數額驚人
page 7	昨日股票市況先鬆弛後回穩
page 7	九龍高級學籃裁判員成問題
page 7	夏令籃球七日開始報名
page 7	澳培正籃球隊今日乘輪歸去昨戰鍾聲未完場又下雨廿四比廿三培正贏一分
